gml_id,sa3_name16,sa3_code16,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c97,Queanbeyan,"10102","851","6428","7791","2976","1969","20019","1995","22008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c98,Snowy Mountains,"10103","419","2721","2749","1080","603","7575","1363","8931"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c99,South Coast,"10104","1383","11423","10565","3130","1294","27793","3137","30934"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c9a,Goulburn - Mulwaree,"10105","887","4294","4643","1842","1102","12771","1327","14096"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c9b,Young - Yass,"10106","555","3759","4955","2154","1300","12728","1252","13977"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c9c,Gosford,"10201","4816","23548","22314","7032","3712","61429","4929","66351"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c9d,Wyong,"10202","3694","21241","20316","6729","3730","55710","5125","60836"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c9e,Bathurst,"10301","1002","5325","5955","2246","1268","15791","1627","17419"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5c9f,Lachlan Valley,"10302","1302","6967","7322","2712","1580","19877","2756","22633"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca0,Lithgow - Mudgee,"10303","1178","5695","6129","2234","1260","16498","2582","19078"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca1,Orange,"10304","1222","6836","7862","2679","1434","20039","2110","22145"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca2,Clarence Valley,"10401","1179","7996","7003","2209","1025","19402","2199","21605"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca3,Coffs Harbour,"10402","1936","12687","11921","3472","1673","31692","3331","35019"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca4,Bourke - Cobar - Coonamble,"10501","956","3221","2791","1056","564","8587","1822","10408"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca5,Broken Hill and Far West,"10502","818","3335","2482","732","369","7735","1029","8767"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca6,Dubbo,"10503","1589","8358","8885","3313","1759","23908","2934","26844"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca7,Lower Hunter,"10601","1398","9511","11583","4400","2587","29476","3050","32529"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca8,Maitland,"10602","1323","8218","10628","3502","1864","25528","1796","27330"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ca9,Port Stephens,"10603","1114","9584","9826","3235","1842","25595","2839","28428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5caa,Upper Hunter,"10604","658","3601","4115","1449","732","10556","1280","11833"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cab,Dapto - Port Kembla,"10701","2328","9080","9194","3334","1801","25731","2075","27808"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cac,Illawarra Catchment Reserve,"10702","0","0","0","0","0","5","0","5"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cad,Kiama - Shellharbour,"10703","1617","10038","12119","4223","2550","30548","2435","32984"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cae,Wollongong,"10704","4504","17464","16427","4945","2467","45805","3974","49785"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5caf,Great Lakes,"10801","815","5830","4254","1265","508","12668","1444","14110"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb0,Kempsey - Nambucca,"10802","1180","7474","6366","2023","986","18039","2223","20265"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb1,Lord Howe Island,"10803","26","83","24","0","3","129","19","150"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb2,Port Macquarie,"10804","1891","12421","11110","3205","1472","30104","2923","33027"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb3,Taree - Gloucester,"10805","1263","8005","7566","2396","1154","20387","2045","22428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb4,Albury,"10901","1677","8475","8433","2658","1274","22523","2216","24735"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb5,Lower Murray,"10902","314","1382","1773","621","373","4471","753","5229"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb6,Upper Murray exc. Albury,"10903","851","5791","6062","1985","1053","15745","2205","17950"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb7,Armidale,"11001","890","4779","4683","1613","917","12882","1391","14266"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb8,Inverell - Tenterfield,"11002","972","5275","4995","1877","1089","14212","1877","16085"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cb9,Moree - Narrabri,"11003","647","2878","3204","1227","734","8686","1616","10302"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5cba,Tamworth - Gunnedah,"11004","1752","9963","10830","3789","2065","28389","3533","31926"
