gml_id,sa3_name16,sa3_code16,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d57,Queanbeyan,"10102","441","5609","6047","5815","1044","6859","3201","311","3514","3176","210","3385","1433","82","1514","651","44","695","14716","7295","22008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d56,Snowy Mountains,"10103","159","2520","2688","2305","812","3116","931","273","1206","804","273","1079","380","154","537","171","133","309","4762","4177","8931"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d55,South Coast,"10104","685","9252","9940","10715","2057","12770","3161","365","3524","2547","203","2752","1145","87","1233","675","40","709","18925","12002","30934"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d54,Goulburn - Mulwaree,"10105","256","4039","4293","4236","690","4922","1767","171","1938","1573","106","1681","760","52","814","418","29","447","9002","5092","14096"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d53,Young - Yass,"10106","239","3475","3717","4313","701","5016","1782","178","1957","1751","123","1876","914","52","965","425","17","447","9422","4557","13977"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d52,Gosford,"10201","1216","17563","18780","18862","3003","21870","9296","760","10055","9140","457","9598","3892","179","4073","1894","85","1976","44306","22046","66351"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d51,Wyong,"10202","952","15337","16288","17402","2977","20379","8408","738","9144","8195","455","8650","3945","172","4120","2166","87","2255","41071","19766","60836"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d50,Bathurst,"10301","282","4646","4929","4878","966","5839","2305","280","2583","2215","174","2387","1025","68","1093","551","41","588","11249","6176","17419"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d4f,Lachlan Valley,"10302","349","6704","7054","6843","1350","8192","2607","322","2924","2137","211","2343","1267","99","1365","703","55","759","13900","8733","22633"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d4e,Lithgow - Mudgee,"10303","299","5751","6050","5384","1204","6589","2298","301","2598","1998","220","2219","983","110","1089","486","42","527","11444","7633","19078"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d4d,Orange,"10304","368","5899","6265","6323","1051","7372","2874","295","3166","2861","190","3048","1430","92","1515","735","40","768","14581","7563","22145"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d4c,Clarence Valley,"10401","342","5989","6330","6839","1867","8707","2414","307","2720","1948","175","2125","1009","70","1085","602","40","645","13158","8450","21605"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d4b,Coffs Harbour,"10402","653","9168","9828","10248","2582","12832","4504","521","5017","3950","314","4262","1795","148","1935","1061","89","1147","22200","12821","35019"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d4a,Bourke - Cobar - Coonamble,"10501","157","3278","3439","2564","1141","3698","1094","207","1299","858","130","990","480","68","550","381","42","422","5537","4870","10408"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d49,Broken Hill and Far West,"10502","168","3000","3169","2439","567","3004","1000","123","1121","795","68","866","353","27","377","218","16","230","4973","3794","8767"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6d48,Dubbo,"10503","522","7047","7571","7606","1702","9312","3542","441","3978","3023","252","3274","1574","125","1701","947","50","999","17223","9620","26844"
