gml_id,sa3_name16,sa3_code16,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5deb,Queanbeyan,"10102","16069","44985","1693","3149","1314","2658","3008","5807","1058","1718","547","931","1045","1815","17","36","2665","4500","30","46","84","124","38","103","29","77","189","354","85","191","22008","55834","2633","24638","55834"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5dec,Snowy Mountains,"10103","6757","16516","214","421","286","760","501","1185","804","1956","110","301","75","211","4","3","994","2470","77","138","154","404","20","40","33","68","283","645","396","732","8931","21550","2330","11266","21550"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5ded,South Coast,"10104","25136","58360","1704","2671","1049","1801","2754","4467","1597","2485","98","155","31","49","11","21","1732","2707","423","701","403","631","111","189","80","155","1021","1676","283","563","30934","67770","10054","40983","67770"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5dee,Goulburn - Mulwaree,"10105","12400","30781","843","1365","140","264","981","1627","335","525","80","106","0","0","3","3","420","641","59","88","43","73","32","76","49","92","190","333","112","237","14096","33610","2816","16913","33610"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5def,Young - Yass,"10106","12737","32750","580","927","20","26","595","949","366","550","0","0","0","0","0","3","369","554","56","81","33","59","29","57","39","90","157","286","120","263","13977","34803","2087","16071","34803"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5df0,Gosford,"10201","49160","133475","5933","9941","3643","7347","9572","17288","4059","6956","1181","2093","1033","1930","44","71","6317","11051","128","203","533","882","141","148","184","458","984","1691","325","606","66351","164114","9608","75962","164114"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5df1,Wyong,"10202","49709","134363","4032","6973","2375","4915","6408","11885","2502","4036","502","892","750","1356","29","57","3786","6337","338","530","151","272","68","111","78","181","641","1083","292","519","60836","154195","7611","68452","154195"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5df2,Bathurst,"10301","14751","38638","1254","2186","357","644","1610","2828","704","1084","30","31","3","13","0","3","737","1128","42","87","8","22","8","16","25","54","82","171","235","395","17419","43169","2528","19949","43169"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5df3,Lachlan Valley,"10302","20369","49552","575","940","40","49","613","982","938","1251","25","27","0","0","3","9","971","1295","200","330","45","88","40","67","104","230","390","717","290","648","22633","53195","3507","26142","53195"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5df4,Lithgow - Mudgee,"10303","16843","40819","862","1336","113","188","975","1526","405","620","33","39","0","0","0","3","437","659","136","191","69","119","31","63","385","932","622","1302","192","396","19078","44703","2850","21926","44703"
