gml_id,sa3_name16,sa3_code16,m_0_299_ds_ds_sept_house,m_0_299_ds_ds_sd_row_tce_hs_t,m_0_299_ds_ds_flat_apart,m_0_299_ds_ds_other_dwg,m_0_299_ds_ns,m_0_299_tot,m_300_449_ds_separate_hse,m_300_449_ds_sd_row_tc_hse_th,m_300_449_ds_flat_apart,m_300_449_ds_other_dwg,m_300_449_ds_ns,m_300_449_tot,m_450_599_ds_separate_hse,m_450_599_ds_sd_row_tce_hs_th,m_450_599_ds_flat_apart,m_450_599_ds_other_dwg,m_450_599_ds_ns,m_450_599_tot,m_600_799_ds_separate_hse,m_600_799_ds_sd_row_tc_hs_th,m_600_799_ds_flat_apart,m_600_799_ds_other_dwg,m_600_799_ds_ns,m_600_799_tot,m_800_999_ds_separate_hse,m_800_999_ds_sd_row_tc_hs_th,m_800_999_ds_flat_apart,m_800_999_ds_other_dwg,m_800_999_ds_ns,m_800_999_tot,m_1000_1399_ds_separate_hse,m_1000_1399_ds_sd_rw_tc_h_th,m_1000_1399_ds_flat_apart,m_1000_1399_ds_other_dwg,m_1000_1399_ds_ns,m_1000_1399_tot,m_1400_1799_ds_separate_hse,m_1400_1799_ds_sd_rw_tc_h_th,m_1400_1799_ds_flat_apart,m_1400_1799_ds_other_dwg,m_1400_1799_ds_ns,m_1400_1799_tot,m_1800_2399_ds_separate_hse,m_1800_2399_ds_sd_rw_tc_h_th,m_1800_2399_ds_flat_apart,m_1800_2399_ds_other_dwg,m_1800_2399_ds_ns,m_1800_2399_tot,m_2400_2999_ds_separate_hse,m_2400_2999_ds_sd_rw_tc_h_th,m_2400_2999_ds_flat_apart,m_2400_2999_ds_other_dwg,m_2400_2999_ds_ns,m_2400_2999_tot,m_3000_3999_ds_separate_hse,m_3000_3999_ds_sd_rw_tc_h_th,m_3000_3999_ds_flt_apart,m_3000_3999_ds_other_dwg,m_3000_3999_ds_ns,m_3000_3999_tot,m_4000_over_ds_separate_hse,m_4000_ov_ds_sd_rw_tce_hs_th,m_4000_over_ds_flat_apart,m_4000_over_ds_other_dwg,m_4000_ds_over_ns,m_4000_over_tot,mort_rpmnt_ns_ds_separat_hs,mrt_rpmt_ns_ds_sd_rw_tc_hs_th,mrt_rpmt_ns_ds_flat_apart,mort_rpmnt_ns_ds_other_dwg,mort_rpmnt_ns_ds_ns,mort_rpmnt_ns_total,tot_ds_separate_hse,tot_ds_sd_row_tce_hse_thse,tot_ds_flat_apartment,tot_ds_other_dwg,tot_ds_ns,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f3f,Queanbeyan,"10102","260","21","11","5","3","294","110","16","9","0","0","135","99","13","14","0","0","122","161","39","17","3","3","219","232","33","38","0","3","313","679","75","147","6","3","904","877","206","73","0","4","1163","1570","256","49","3","6","1887","1068","62","13","3","7","1147","1156","53","20","5","0","1227","634","23","0","0","3","657","303","25","11","3","3","344","7151","818","403","29","31","8424"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f40,Snowy Mountains,"10103","100","4","0","0","3","106","68","0","3","4","0","78","70","0","0","0","3","77","160","0","7","0","8","173","212","7","11","4","3","232","455","16","19","0","3","493","313","16","7","0","3","340","325","9","6","3","4","342","120","0","3","0","4","135","82","0","0","3","0","86","54","0","0","4","0","67","110","0","3","5","4","116","2069","56","63","27","35","2247"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f41,South Coast,"10104","472","24","13","3","9","522","246","23","11","0","0","281","196","14","6","0","0","222","395","16","15","6","0","432","544","33","9","3","9","601","1335","56","38","13","20","1460","1281","40","19","8","8","1365","1175","18","8","7","9","1223","400","3","3","0","3","408","275","3","3","0","0","285","151","0","3","0","3","160","352","11","5","0","3","371","6825","250","136","52","66","7323"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f42,Goulburn - Mulwaree,"10105","160","5","0","3","0","167","94","10","0","0","0","103","101","3","0","0","0","102","182","8","3","3","0","194","284","7","3","5","0","303","771","29","4","3","4","811","875","23","0","3","0","901","781","8","3","3","8","805","279","6","0","0","0","286","199","3","0","0","0","201","106","0","0","0","0","103","191","3","0","0","0","198","4019","96","19","24","11","4167"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f43,Young - Yass,"10106","275","9","0","3","3","287","133","5","0","0","0","142","116","5","0","0","3","125","221","3","3","0","3","233","355","3","5","0","3","364","738","11","0","7","3","762","715","0","0","6","5","726","762","9","3","5","6","776","407","0","0","0","0","405","417","0","0","0","0","421","222","0","0","0","4","226","226","4","0","0","3","229","4586","57","15","22","30","4712"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f44,Gosford,"10201","900","79","51","9","3","1044","370","36","22","4","0","436","291","61","26","4","0","379","572","53","28","0","0","656","776","66","49","10","8","906","2255","231","143","11","0","2641","3180","280","174","16","7","3661","4853","255","148","16","8","5272","2482","60","70","3","3","2628","1936","60","48","4","4","2054","1057","19","12","6","0","1095","753","50","30","3","0","836","19421","1250","803","89","36","21598"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f45,Wyong,"10202","769","45","26","3","3","839","349","39","10","0","0","396","297","21","12","0","0","335","602","56","21","3","4","676","866","64","32","0","3","963","2806","174","79","3","3","3064","3942","180","72","5","3","4199","4815","140","34","9","3","5003","1795","27","13","0","3","1846","1069","31","3","0","3","1106","467","11","7","3","0","488","771","33","18","7","0","832","18544","819","330","31","20","19747"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f46,Bathurst,"10301","219","13","0","0","3","234","93","6","3","0","0","103","100","3","3","0","3","105","199","14","4","0","0","217","297","19","5","4","0","325","938","40","11","0","9","998","1077","47","7","0","7","1132","1166","22","4","4","9","1207","504","5","3","0","3","516","280","0","0","0","3","285","148","3","0","0","0","149","199","5","7","0","3","208","5232","173","41","9","26","5484"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f47,Lachlan Valley,"10302","406","0","3","5","6","419","253","0","0","0","7","267","255","0","0","3","5","264","485","0","0","3","8","500","681","10","0","4","3","700","1305","9","4","4","11","1340","788","3","0","0","4","804","582","3","0","0","3","594","205","0","0","0","0","208","142","0","0","3","0","145","113","0","0","3","3","119","323","0","3","0","7","333","5542","32","19","35","56","5687"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f48,Lithgow - Mudgee,"10303","205","3","5","3","0","219","178","3","0","0","0","179","140","5","0","7","0","147","250","12","0","9","3","272","362","6","0","12","0","382","898","9","3","36","6","958","861","7","4","40","5","920","927","7","3","24","6","969","404","0","0","3","3","417","263","0","0","7","4","272","148","0","0","0","7","153","229","3","0","5","0","234","4869","59","17","138","40","5129"
