gml_id,sa3_name16,sa3_code16,separate_house_nofb_0_i_b,separate_house_nofb_1,separate_house_nofb_2,separate_house_nofb_3,separate_house_nofb_4,separate_house_nofb_5,separate_house_nofb_6_or_m,separate_house_nofb_ns,separate_house_total,se_d_r_or_t_h_t_1_s_nofb_0_ib,se_d_r_or_t_h_t_1_st_nofb_1,se_d_r_or_t_h_t_1_st_nofb_2,se_d_r_or_t_h_t_1_st_nofb_3,se_d_r_or_t_h_t_1_st_nofb_4,se_d_r_or_t_h_t_1_st_nofb_5,se_d_r_or_t_h_t_1_st_nofb_6_m,se_d_r_or_t_h_t_1_st_nofb_ns,se_d_r_or_t_h_t_1_st_total,se_d_r_or_t_h_t_2_s_nofb_0_ib,se_d_r_or_t_h_t_2_sts_nofb_1,se_d_r_or_t_h_t_2_sts_nofb_2,se_d_r_or_t_h_t_2_sts_nofb_3,se_d_r_or_t_h_t_2_sts_nofb_4,se_d_r_or_t_h_t_2_sts_nofb_5,se_d_r_or_t_h_t_2_st_nofb_6_m,se_d_r_or_t_h_t_2_sts_nofb_ns,se_d_r_or_t_h_t_2_sts_total,se_d_r_or_t_h_t_tot_nofb_0_ib,se_d_r_or_t_h_t_tot_nofb_1,se_d_r_or_t_h_t_tot_nofb_2,se_d_r_or_t_h_t_tot_nofb_3,se_d_r_or_t_h_t_tot_nofb_4,se_d_r_or_t_h_t_tot_nofb_5,se_d_r_or_t_h_t_tot_nofb_6_m,se_d_r_or_t_h_t_tot_nofb_ns,se_d_r_or_t_h_t_tot_total,flt_at_1_or2_st_bl_nofb_0_ib,flt_at_in_1_or2_s_b_nofb_1,flt_at_in_1_or2_s_b_nofb_2,flt_at_in_1_or2_s_b_nofb_3,flt_at_in_1_or2_s_b_nofb_4,flt_at_in_1_or2_s_b_nofb_5,flt_at_in_1_or2_s_b_nob_6_m,flt_at_in_1_or2_s_b_nob_ns,flt_at_in_1_or2_s_b_total,flt_apt_3_st_bl_nob_0_ib,flt_apt_in_3_st_bl_nofb_1,flt_apt_in_3_st_bl_nofb_2,flt_apt_in_3_st_bl_nofb_3,flt_apt_in_3_st_bl_nofb_4,flt_apt_in_3_st_bl_nofb_5,flt_apt_in_3_s_bl_nofb_6_m,flt_apt_in_3_st_bl_nofb_ns,flt_apt_in_3_st_bl_total,flt_apt_4_or_m_s_b_nofb_0_ib,flt_apt_4_or_m_s_b_nofb_1,flt_apt_4_or_m_s_b_nofb_2,flt_apt_4_or_m_s_b_nofb_3,flt_apt_4_or_m_s_b_nofb_4,flt_apt_4_or_m_s_b_nofb_5,flt_apt_4_or_m_s_b_nofb_6_m,flt_apt_4_or_m_s_b_nofb_ns,flt_apt_4_or_m_s_b_total,flt_apt_at_to_a_h_nofb_0_ib,flt_apt_at_to_a_hse_nofb_1,flt_apt_at_to_a_hse_nofb_2,flt_apt_at_to_a_hse_nofb_3,flt_apt_at_to_a_hse_nofb_4,flt_apt_at_to_a_hse_nofb_5,flt_apt_at_to_a_hs_nofb_6_m,flt_apt_at_to_a_hs_nofb_ns,flt_apt_at_to_a_hse_total,flt_apart_tot_nofb_0_i_b,flt_apart_tot_nofb_1,flt_apart_tot_nofb_2,flt_apart_tot_nofb_3,flt_apart_tot_nofb_4,flt_apart_tot_nofb_5,flt_apart_tot_nofb_6_or_m,flt_apart_tot_nofb_ns,flt_apart_tot_total,other_dwelling_nofb_0_i_b,other_dwelling_nofb_1,other_dwelling_nofb_2,other_dwelling_nofb_3,other_dwelling_nofb_4,other_dwelling_nofb_5,other_dwelling_nofb_6_or_m,other_dwelling_nofb_ns,other_dwelling_total,dweling_structu_ns_nofb_0_i_b,dweling_structur_ns_nofb_1,dweling_structur_ns_nofb_2,dweling_structur_ns_nofb_3,dweling_structur_ns_nofb_4,dweling_structur_ns_nofb_5,dwelig_struct_ns_nofb_6_or_m,dweling_structur_ns_nofb_ns,dweling_structur_ns_total,total_nofb_0_i_b,total_nofb_1,total_nofb_2,total_nofb_3,total_nofb_4,total_nofb_5,total_nofb_6_or_m,total_nofb_ns,total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-695b,Queanbeyan,"10102","47","239","1133","5516","6193","1453","349","1136","16069","0","125","798","560","46","8","3","149","1693","5","81","565","514","46","3","0","102","1314","5","207","1368","1072","97","9","3","252","3008","24","422","422","59","11","0","0","116","1058","3","131","331","17","3","0","0","67","547","0","214","664","43","0","0","3","112","1045","0","8","3","5","0","0","0","3","17","29","780","1425","116","13","3","5","297","2665","11","29","29","18","6","3","0","90","189","3","6","20","18","11","3","5","13","85","89","1260","3973","6744","6317","1477","364","1782","22008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-695a,Snowy Mountains,"10103","32","156","872","3027","1672","378","115","506","6757","0","35","86","52","8","0","0","28","214","0","29","82","124","19","6","0","30","286","0","61","171","174","27","6","4","58","501","3","78","179","87","17","0","4","437","804","7","21","37","30","8","0","0","13","110","3","20","14","14","15","0","0","8","75","0","0","0","0","0","0","0","0","4","16","117","224","137","46","3","7","450","994","52","81","64","24","21","3","0","41","283","5","44","56","47","25","3","52","162","396","105","454","1388","3406","1781","398","178","1219","8931"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6959,South Coast,"10104","97","572","3365","11446","6437","1179","250","1788","25136","19","146","820","510","30","3","0","175","1704","3","78","406","402","45","4","4","107","1049","24","227","1233","910","74","6","7","280","2754","17","220","781","334","25","5","6","220","1597","0","14","45","18","4","0","0","17","98","0","0","24","4","0","0","0","5","31","0","0","3","3","0","0","0","0","11","15","232","853","355","24","7","6","239","1732","93","229","287","113","25","0","7","276","1021","12","26","76","78","40","9","11","34","283","230","1288","5806","12903","6604","1204","274","2616","30934"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6958,Goulburn - Mulwaree,"10105","44","211","1387","5395","3666","652","172","866","12400","3","113","344","261","31","9","3","79","843","0","3","73","41","12","3","3","10","140","3","116","410","305","40","9","5","95","981","0","72","184","17","3","0","0","49","335","0","32","37","0","0","0","0","17","80","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","3","102","225","18","10","0","0","64","420","25","38","31","20","12","3","3","57","190","0","11","13","28","15","3","4","35","112","72","482","2069","5771","3741","668","181","1115","14096"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6957,Young - Yass,"10106","47","217","1344","5031","4007","983","247","858","12737","5","61","280","140","9","3","0","74","580","0","0","5","3","3","0","0","4","20","11","63","283","146","16","3","0","76","595","3","41","214","63","0","3","6","39","366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","41","217","63","0","3","6","39","369","15","31","23","27","10","4","8","39","157","4","7","30","31","24","4","3","19","120","85","354","1894","5295","4059","995","260","1040","13977"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6956,Gosford,"10201","84","780","5572","19730","15643","4024","853","2473","49160","14","256","2697","2425","69","11","7","448","5933","18","277","961","1923","184","10","5","271","3643","23","529","3661","4349","253","20","15","721","9572","70","592","1716","1105","124","15","8","433","4059","4","61","677","291","18","3","0","130","1181","0","62","584","282","9","3","0","93","1033","6","14","15","8","6","0","0","3","44","79","734","2979","1682","156","21","9","658","6317","43","210","260","129","48","8","0","291","984","15","61","77","49","39","5","3","73","325","243","2318","12552","25931","16133","4080","879","4218","66351"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6955,Wyong,"10202","77","765","5886","20357","16184","3062","641","2745","49709","15","334","1768","1316","75","16","13","502","4032","6","201","569","1202","151","15","4","224","2375","25","531","2341","2521","227","27","16","722","6408","7","325","1242","532","45","7","7","338","2502","0","41","331","57","3","0","0","70","502","9","69","474","112","3","0","0","83","750","0","10","9","3","3","0","3","4","29","15","444","2050","711","50","9","6","495","3786","57","159","161","64","22","0","3","174","641","21","46","63","53","18","3","0","86","292","188","1957","10505","23700","16498","3104","665","4229","60836"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6954,Bathurst,"10301","37","187","1200","5887","5119","1063","229","1032","14751","5","102","636","332","40","4","0","137","1254","6","78","89","115","24","6","3","40","357","10","175","727","452","64","6","0","171","1610","17","136","364","56","8","0","6","116","704","0","6","13","0","0","0","0","9","30","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","17","142","377","63","8","0","6","124","737","7","15","24","13","7","0","3","20","82","0","66","27","52","23","7","0","64","235","70","589","2354","6457","5215","1082","242","1406","17419"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6953,Lachlan Valley,"10302","40","319","2506","8826","5505","985","228","1957","20369","0","26","288","118","33","6","3","98","575","0","16","3","6","0","0","0","15","40","3","45","295","120","33","6","3","111","613","24","202","462","55","9","0","3","186","938","0","3","12","0","0","0","0","6","25","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","24","204","481","55","9","3","3","193","971","51","89","66","46","22","7","5","111","390","12","33","59","89","44","13","16","30","290","131","688","3407","9136","5604","1009","249","2406","22633"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6952,Lithgow - Mudgee,"10303","49","329","2443","7025","4243","756","190","1807","16843","13","109","391","212","6","3","4","114","862","4","25","38","28","3","0","0","14","113","13","139","433","244","9","3","4","133","975","6","71","172","70","6","3","0","72","405","0","10","10","0","0","0","0","4","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","80","187","70","6","3","0","79","437","23","75","76","191","105","11","0","149","622","4","17","33","58","30","4","4","43","192","100","637","3168","7590","4398","779","200","2216","19078"
