gml_id,sa3_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61e7,"10102","23171","23036","46207","12175","8253","20430","2532","5203","7741","739","912","1653","680","570","1245","16133","14935","31065","4891","6388","11282",4.2,3.8,4,69.6,64.8,67.2,66.7,62.4,64.5,"1493","1207","2700","478","814","1288","2638","3761","6403","1965","2564","4531","5351","2390","7743","175","380","554","291","587","879","5815","3357","9170","21606","21361","42966","4039","4142","8179","14217","14023","28242","10242","10501","20739",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61e8,"10103","14090","12211","26297","6303","3548","9852","1661","2998","4662","629","545","1170","246","187","432","8841","7271","16117","3122","3275","6394",2.8,2.6,2.7,62.7,59.5,61.3,61,58.1,59.6,"624","518","1148","217","324","539","1871","2162","4032","1012","1302","2319","3437","1351","4780","125","208","335","198","348","545","3760","1903","5661","11913","10595","22509","2096","2017","4116","8418","7416","15838","5082","4708","9789",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61e9,"10104","28837","30596","59434","8427","4974","13395","3894","7063","10963","835","876","1706","981","747","1730","14135","13653","27789","12487","14631","27116",6.9,5.5,6.2,49,44.6,46.8,45.6,42.2,43.9,"686","722","1402","423","777","1207","2414","3519","5936","1902","3052","4953","8288","3605","11892","295","581","875","550","1069","1618","9134","5250","14387","26604","27614","54222","4429","4735","9161","18523","18917","37441","11491","12462","23952",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ea,"10105","14777","14388","29168","6380","3412","9792","1606","3362","4969","404","450","853","523","446","967","8911","7667","16584","4797","5592","10388",5.9,5.8,5.8,60.3,53.3,56.9,56.8,50.2,53.5,"296","322","621","148","262","413","972","1431","2402","1040","1564","2607","3956","1908","5864","154","262","412","234","472","708","4346","2636","6987","13533","13404","26940","2326","2336","4666","9173","9000","18170","5892","6033","11927",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61eb,"10106","13748","14459","28208","6368","3684","10052","1620","3513","5137","474","529","1004","381","338","715","8845","8062","16905","3950","5365","9312",4.3,4.2,4.2,64.3,55.8,59.9,61.6,53.4,57.4,"424","464","896","186","362","549","1186","2035","3222","902","1397","2299","3501","1612","5110","122","247","369","213","434","644","3842","2288","6129","13827","14172","27996","2179","2372","4546","9808","9879","19688","5320","5886","11210",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ec,"10201","65205","71509","136714","27976","15669","43647","8134","18019","26162","1768","2107","3872","2567","2320","4888","40449","38119","78570","21272","29412","50690",6.3,6.1,6.2,62,53.3,57.5,58.1,50.1,53.9,"2272","2231","4503","826","1494","2323","7387","10136","17523","5488","8398","13886","17594","8582","26177","593","1195","1794","1266","2302","3563","19453","12082","31533","63180","67465","130639","10603","11479","22081","42175","45118","87287","28932","31406","60331",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ed,"10202","60237","66305","126549","24800","13401","38200","6934","15833","22774","1584","1927","3514","2667","2539","5205","35996","33702","69689","20668","28483","49147",7.4,7.5,7.5,59.8,50.8,55.1,55.3,47,51,"865","986","1848","418","816","1233","3510","6006","9522","3884","6500","10378","18104","9602","27700","599","1271","1866","1132","2076","3207","19834","12945","32776","58924","62447","121370","10205","11180","21383","38631","40599","79234","27461","30230","57685",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ee,"10301","18646","18763","37410","7911","4622","12529","1992","4665","6654","524","667","1193","733","608","1340","11166","10555","21715","6122","6740","12858",6.6,5.8,6.2,59.9,56.3,58,55.9,53.1,54.5,"479","532","1017","229","449","681","1469","2559","4032","1112","1800","2919","5001","2266","7263","192","408","604","292","616","906","5486","3293","8778","16780","17203","33981","3336","3470","6807","10964","11103","22068","8198","8704","16896",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ef,"10302","21941","22197","44139","9325","4546","13874","2080","4873","6951","655","722","1382","778","633","1410","12836","10781","23622","6970","9343","16307",6.1,5.9,6,58.5,48.6,53.5,55,45.7,50.3,"205","256","462","134","306","439","1077","2164","3245","971","1810","2785","5441","2702","8139","241","505","747","376","627","1005","6052","3835","9886","21265","21148","42410","2937","3178","6117","15268","14927","30199","7666","8141","15805",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f0,"10303","18901","18552","37447","7419","3410","10830","1777","4313","6095","505","545","1056","796","583","1375","10499","8858","19358","6470","7814","14281",7.6,6.6,7.1,55.5,47.7,51.7,51.3,44.6,48,"219","283","497","140","278","417","1046","1763","2810","966","1550","2514","5513","2307","7823","212","411","629","315","538","859","6046","3262","9302","17259","17034","34298","2763","2851","5612","11873","11437","23307","7101","7412","14515",Lithgow - Mudgee
