gml_id,sa3_code16,f_mgmt_cmrce_35_44,f_mgmt_cmrce_45_54,f_mgmt_cmrce_55_64,f_mgmt_cmrce_65_74,f_mgmt_cmrce_75_84,f_mgmt_cmrce_85_over,f_mgmt_cmrce_tot,f_scty_cul_15_24_yr,f_scty_cul_25_34_yr,f_scty_cul_35_44_yr,f_scty_cul_45_54_yr,f_scty_cul_55_64_yr,f_scty_cul_65_74_yr,f_scty_cul_75_84_yr,f_scty_cul_85_yr_over,f_scty_cul_tot,f_crtve_arts_15_24_yr,f_crtve_arts_25_34_yr,f_crtve_arts_35_44_yr,f_crtve_arts_45_54_yr,f_crtve_arts_55_64_yr,f_crtve_arts_65_74_yr,f_crtve_arts_75_84_yr,f_crtve_arts_85_yr_over,f_crtve_arts_tot,f_foodhos_psnlsvcs_15_24,f_foodhos_psnlsvcs_25_34,f_foodhos_psnlsvcs_35_44,f_foodhos_psnlsvcs_45_54,f_foodhos_psnlsvcs_55_64,f_foodhos_psnlsvcs_65_74,f_foodhos_psnlsvcs_75_84,f_foodhos_psnlsvcs_85_over,f_foodhos_psnlsvcs_tot,f_mix_fld_prog_15_24,f_mix_fld_prog_25_34,f_mix_fld_prog_35_44,f_mix_fld_prog_45_54,f_mix_fld_prog_55_64,f_mix_fld_prog_65_74,f_mix_fld_prog_75_84,f_mix_fld_prog_85,f_mix_fld_prog_tot,f_fld_stud_inad_desc_15_24,f_fld_stud_inad_desc_25_34,f_fld_stud_inad_desc_35_44,f_fld_stud_inad_desc_45_54,f_fld_stud_inad_desc_55_64,f_fld_stud_inad_desc_65_74,f_fld_stud_inad_desc_75_84,f_fld_stud_inad_desc_85,f_fld_stud_inad_desc_tot,f_fld_stud_ns_15_24_yr,f_fld_stud_ns_25_34_yr,f_fld_stud_ns_35_44_yr,f_fld_stud_ns_45_54_yr,f_fld_stud_ns_55_64_yr,f_fld_stud_ns_65_74_yr,f_fld_stud_ns_75_84_yr,f_fld_stud_ns_85_yr_over,f_fld_stud_ns_tot,f_tot_15_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_nat_phy_sci_15_24,p_nat_phy_sci_25_34,p_nat_phy_sci_35_44,p_nat_phy_sci_45_54,p_nat_phy_sci_55_64,p_nat_phy_sci_65_74,p_nat_phy_sci_75_84,p_nat_phy_sci_85,p_nat_phy_sci_tot,p_it_15_24,p_it_25_34,p_it_35_44,p_it_45_54,p_it_55_64,p_it_65_74,p_it_75_84,p_it_85,p_it_tot,p_egnr_rel_tech_15_24,p_egnr_rel_tech_25_34,p_egnr_rel_tech_35_44,p_egnr_rel_tech_45_54,p_egnr_rel_tech_55_64,p_egnr_rel_tech_65_74,p_egnr_rel_tech_75_84,p_egnr_rel_tech_85,p_egnr_rel_tech_tot,p_arc_bld_15_24,p_arc_bld_25_34,p_arc_bld_35_44,p_arc_bld_45_54,p_arc_bld_55_64,p_arc_bld_65_74,p_arc_bld_75_84,p_arc_bld_85_over,p_arc_bld_tot,p_agric_env_rel_stud_15_24,p_agric_env_rel_stud_25_34,p_agric_env_rel_stud_35_44,p_agric_env_rel_stud_45_54,p_agric_env_rel_stud_55_64,p_agric_env_rel_stud_65_74,p_agric_env_rel_stud_75_84,p_agric_env_rel_stud_85,p_agric_envir_rel_stud_tot,p_hlth_15_24_yr,p_hlth_25_34_yr,p_hlth_35_44_yr,p_hlth_45_54_yr,p_hlth_55_64_yr,p_hlth_65_74_yr,p_hlth_75_84_yr,p_hlth_85_yr_over,p_hlth_tot,p_edu_15_24_yr,p_edu_25_34_yr,p_edu_35_44_yr,p_edu_45_54_yr,p_edu_55_64_yr,p_edu_65_74_yr,p_edu_75_84_yr,p_edu_85_yr_over,p_edu_tot,p_mgmt_cmrce_15_24,p_mgmt_cmrce_25_34,p_mgmt_cmrce_35_44,p_mgmt_cmrce_45_54,p_mgmt_cmrce_55_64,p_mgmt_cmrce_65_74,p_mgmt_cmrce_75_84,p_mgmt_cmrce_85_over,p_mgmt_cmrce_tot,p_scty_cul_15_24_yr,p_scty_cul_25_34_yr,p_scty_cul_35_44_yr,p_scty_cul_45_54_yr,p_scty_cul_55_64_yr,p_scty_cul_65_74_yr,p_scty_cul_75_84_yr,p_scty_cul_85_yr_over,p_scty_cul_tot,p_crtve_arts_15_24_yr,p_crtve_arts_25_34_yr,p_crtve_arts_35_44_yr,p_crtve_arts_45_54_yr,p_crtve_arts_55_64_yr,p_crtve_arts_65_74_yr,p_crtve_arts_75_84_yr,p_crtve_arts_85_yr_over,p_crtve_arts_tot,p_foodhos_psnlsvcs_15_24,p_foodhos_psnlsvcs_25_34,p_foodhos_psnlsvcs_35_44,p_foodhos_psnlsvcs_45_54,p_foodhos_psnlsvcs_55_64,p_foodhos_psnlsvcs_65_74,p_foodhos_psnlsvcs_75_84,p_foodhos_psnlsvcs_85_over,p_foodhos_psnlsvcs_tot,p_mix_fld_prog_15_24,p_mix_fld_prog_25_34,p_mix_fld_prog_35_44,p_mix_fld_prog_45_54,p_mix_fld_prog_55_64,p_mix_fld_prog_65_74,p_mix_fld_prog_75_84,p_mix_fld_prog_85,p_mix_fld_prog_tot,p_fld_stud_inad_desc_15_24,p_fld_stud_inad_desc_25_34,p_fld_stud_inad_desc_35_44,p_fld_stud_inad_desc_45_54,p_fld_stud_inad_desc_55_64,p_fld_stud_inad_desc_65_74,p_fld_stud_inad_desc_75_84,p_fld_stud_inad_desc_85,p_fld_stud_inad_desc_tot,p_fld_stud_ns_15_24_yr,p_fld_stud_ns_25_34_yr,p_fld_stud_ns_35_44_yr,p_fld_stud_ns_45_54_yr,p_fld_stud_ns_55_64_yr,p_fld_stud_ns_65_74_yr,p_fld_stud_ns_75_84_yr,p_fld_stud_ns_85_yr_over,p_fld_stud_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_648f,"10102","847","902","504","215","59","20","3482","157","531","588","538","391","159","39","7","2409","47","154","155","92","72","39","11","5","573","141","239","188","129","70","35","6","3","811","3","3","3","7","7","3","7","0","28","9","40","57","49","27","10","3","0","185","314","376","315","353","334","265","152","80","2192","1156","2929","3113","3091","2197","1118","425","154","14186","42","163","234","244","196","120","24","9","1037","96","325","297","245","142","28","7","0","1135","184","737","750","865","690","376","154","38","3789","183","400","312","384","326","175","56","22","1852","49","104","158","155","110","60","23","4","669","111","375","403","478","414","196","94","25","2095","70","338","371","408","351","225","74","16","1838","304","1065","1283","1438","795","375","92","34","5382","225","769","934","921","668","325","80","8","3935","87","247","238","169","125","63","15","9","959","183","387","301","215","134","64","13","0","1301","3","6","4","6","12","3","3","3","46","26","82","109","116","60","24","10","3","433","671","794","758","891","744","566","301","128","4847","2225","5794","6163","6532",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6490,"10103","380","348","284","150","35","10","1617","114","220","227","192","188","88","16","3","1048","37","98","78","66","38","19","3","3","337","90","116","93","89","41","36","7","0","478","0","3","0","0","3","3","3","0","12","3","15","19","27","16","15","0","0","97","267","307","329","343","282","226","122","73","1951","782","1487","1676","1644","1426","907","300","118","8335","26","77","87","88","83","79","23","3","467","32","42","67","84","57","23","0","3","311","170","440","434","488","459","352","155","35","2537","77","212","214","193","206","120","48","5","1082","48","118","138","158","122","72","23","7","681","87","253","303","296","368","212","79","18","1624","38","169","228","251","308","211","48","9","1269","164","444","603","579","501","300","63","17","2675","171","339","338","294","309","201","39","5","1692","73","152","124","99","63","34","10","3","554","139","230","172","145","82","55","12","0","853","6","3","3","4","6","3","3","3","26","15","23","38","54","37","24","6","0","207","639","755","790","781","685","542","262","115","4568","1690","3269","3540","3517",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6491,"10104","541","662","782","568","185","61","3309","133","295","412","571","676","373","73","13","2546","14","88","99","113","146","76","51","17","599","140","236","226","211","186","137","40","10","1188","0","0","0","3","0","16","16","5","49","11","12","37","33","44","29","8","8","187","341","218","292","403","561","610","565","399","3393","946","1791","2457","3153","4117","2965","1395","659","17480","17","62","91","116","182","210","58","27","776","23","58","69","56","111","72","14","0","393","155","423","544","871","1151","1127","663","198","5136","130","349","338","519","664","467","225","57","2745","53","141","261","269","303","180","51","17","1275","84","322","448","686","940","594","278","85","3427","52","216","382","492","1015","756","265","56","3227","230","472","750","902","1136","955","291","92","4822","172","399","532","779","943","681","163","43","3714","28","128","140","162","229","161","76","19","948","213","386","373","362","335","239","73","18","1993","7","5","4","3","0","24","21","10","75","20","30","68","73","98","78","32","20","424","702","472","615","862","1117","1210","1054","595","6626","1873","3464","4618","6147",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6492,"10105","310","338","253","162","55","19","1566","117","295","301","300","227","106","23","6","1367","13","48","41","39","27","35","4","0","208","83","162","106","75","61","33","9","6","531","4","3","0","3","4","9","3","4","32","8","6","8","20","14","7","3","0","67","189","141","172","219","212","256","251","223","1658","653","1418","1372","1496","1442","958","502","308","8141","7","32","32","48","45","37","3","5","222","23","35","53","41","36","14","0","0","197","156","393","388","464","439","381","178","38","2438","110","188","185","180","185","117","58","17","1044","61","129","132","159","112","102","43","13","745","59","247","235","305","416","223","99","38","1622","39","175","206","214","312","198","71","17","1238","172","467","444","478","403","283","96","30","2374","153","436","484","440","352","162","52","8","2097","18","65","51","70","64","51","16","3","341","118","228","173","135","88","65","16","8","825","3","3","0","8","6","11","9","4","43","7","18","31","41","39","26","11","3","177","497","509","537","545","458","519","437","301","3808","1425","2934","2939","3148",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6493,"10106","369","432","256","148","41","12","1585","102","213","306","327","230","113","27","5","1304","25","48","59","47","33","25","9","7","254","78","99","106","82","43","32","5","3","456","0","0","3","3","3","5","6","0","21","6","13","13","19","13","5","0","0","78","213","119","170","205","194","217","193","155","1463","678","1198","1631","1748","1388","952","435","227","8258","16","28","100","114","84","75","21","3","442","18","48","79","80","46","29","9","0","308","130","313","383","466","411","327","130","34","2186","100","155","229","187","131","104","46","4","973","90","164","229","232","205","152","63","16","1157","62","211","243","293","352","210","82","20","1468","43","199","280","227","271","212","70","23","1324","133","332","523","634","402","229","78","19","2353","122","286","429","450","339","211","54","9","1905","33","78","70","72","50","37","13","10","359","104","156","161","137","89","69","23","5","737","0","0","3","3","5","10","9","0","37","6","30","44","55","40","22","5","0","201","416","244","337","404","451","440","345","220","2861","1286","2234","3114","3356",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6494,"10201","2116","2044","1685","1253","450","229","9925","508","1142","1331","1324","1100","517","145","42","6104","198","405","421","294","219","125","59","19","1746","382","666","599","549","328","266","82","40","2912","13","0","3","17","8","27","29","5","102","29","36","95","102","62","41","17","13","389","625","523","631","726","652","832","939","918","5849","2982","6862","8033","8124","7078","4850","2545","1545","42013","97","287","361","344","297","211","101","34","1739","121","420","554","435","200","109","19","0","1864","400","1340","1710","2270","2425","2050","1129","488","11810","355","1000","1131","1202","956","651","353","109","5754","150","318","387","324","224","139","67","16","1621","423","1610","1718","1870","1802","988","483","175","9063","195","1144","1253","1282","1672","1082","460","133","7220","863","2336","3283","3222","2756","2117","814","333","15725","669","1663","1877","1901","1593","904","299","100","9004","361","704","709","491","379","226","113","38","3019","540","996","927","824","525","414","153","66","4442","22","13","15","27","13","34","48","8","178","47","90","178","207","153","112","51","37","867","1375","1136","1321","1453","1437","1479","1544","1326","11063","5616","13048","15403","15852",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6495,"10202","1751","1544","1270","853","314","101","8035","648","1240","1239","1127","787","347","79","12","5470","136","245","231","153","113","79","35","6","1000","482","780","592","468","322","227","69","30","2969","10","13","10","11","18","28","30","12","140","13","32","41","57","48","27","7","12","242","715","531","609","720","765","956","1042","828","6164","3320","6374","6615","6235","5419","3646","2084","1166","34856","56","169","214","155","168","114","44","12","930","123","258","259","210","159","49","12","0","1060","474","1493","1619","2128","2093","1800","1091","345","11043","407","1071","1111","1020","856","640","367","105","5582","145","306","293","282","213","92","43","9","1390","415","1128","1259","1392","1316","664","288","91","6549","203","945","971","848","1006","636","268","85","4957","867","2163","2534","2309","1912","1337","503","160","11782","811","1607","1652","1492","1062","554","158","46","7378","258","391","350","243","218","132","69","18","1670","613","1070","915","737","526","414","156","35","4472","31","14","13","14","26","45","62","17","228","40","99","125","151","129","82","41","15","675","1466","1154","1237","1486","1487","1745","1768","1280","11626","5907","11861","12552","12475",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6496,"10301","491","489","375","203","67","28","2288","170","336","352","319","215","100","36","5","1541","53","79","93","77","40","50","11","3","398","146","166","136","105","53","28","15","4","651","4","8","4","4","4","4","5","0","34","8","24","12","27","12","13","3","3","104","440","170","187","233","247","260","228","151","1914","1269","1906","1972","2016","1773","1150","551","283","10917","16","53","74","69","66","57","17","0","350","26","104","71","54","54","24","3","0","334","201","594","570","664","639","434","178","51","3335","109","276","219","240","221","135","60","15","1275","50","111","148","140","121","98","54","7","739","188","382","345","411","440","258","98","45","2164","80","347","351","383","458","289","97","46","2047","281","653","727","733","563","344","114","41","3455","245","464","469","471","319","195","64","17","2236","89","127","129","110","64","72","19","5","608","198","268","230","187","105","68","35","13","1097","16","5","4","4","5","7","9","3","60","23","35","31","67","32","21","11","3","217","1124","757","606","592","520","543","372","222","4726","2635","4180","3972","4117",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6497,"10302","475","497","383","194","67","21","2211","145","315","283","306","249","108","19","3","1425","11","53","50","34","34","18","7","3","211","123","169","153","127","67","50","6","9","705","3","3","3","6","3","4","9","3","31","3","7","9","20","8","13","5","0","67","359","269","310","386","446","461","419","234","2886","1083","1929","2002","2119","2029","1369","781","371","11676","13","38","49","54","41","40","5","3","241","24","40","32","28","32","11","11","3","174","314","640","627","654","638","482","195","57","3607","90","183","204","185","218","151","71","18","1109","108","218","306","315","301","224","119","25","1605","127","329","309","387","452","291","132","63","2090","103","377","381","361","456","251","110","28","2067","244","568","627","664","535","307","99","29","3066","167","384","357","398","336","165","37","7","1860","23","66","72","46","45","29","6","7","298","144","242","220","197","138","91","28","13","1079","5","0","3","3","5","9","12","4","54","10","24","39","55","37","22","17","0","202","774","572","657","822","911","947","772","372","5831","2143","3687","3873","4166",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39b_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6498,"10303","357","423","335","217","65","19","1908","103","257","248","245","210","103","32","0","1197","12","62","53","51","45","32","11","0","269","138","191","156","117","60","41","4","6","716","6","3","0","3","3","6","7","0","26","8","10","18","17","20","13","4","3","78","327","267","306","363","385","428","310","128","2504","893","1657","1743","1850","1764","1242","618","221","9997","5","46","57","46","52","39","17","3","277","17","49","28","38","28","19","3","0","189","281","740","732","887","743","589","279","72","4327","89","201","188","215","179","130","66","19","1096","65","144","142","167","162","110","48","14","846","86","255","274","328","405","228","105","44","1712","49","189","293","287","366","209","83","22","1494","170","471","468","566","486","327","105","21","2623","117","329","328","339","291","178","55","7","1654","23","90","76","80","68","61","20","0","422","186","272","230","194","120","81","24","5","1118","11","5","9","8","9","8","11","3","58","8","31","35","45","47","22","9","5","212","735","726","747","837","841","890","562","198","5539","1865","3555","3612","4033",Lithgow - Mudgee
