gml_id,sa3_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-655f,"10102","4767","2591","955","289","29310",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-655e,"10103","3297","2232","767","228","18540",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-655d,"10104","8222","6749","3270","1235","35569",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-655c,"10105","2963","2184","1099","492","17175",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-655b,"10106","2893","2122","944","370","16326",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-655a,"10201","14434","10515","5620","2874","83364",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6559,"10202","11166","8289","4873","2220","69338",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6558,"10301","3599","2547","1119","470","22637",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6557,"10302","4133","3026","1625","630","23284",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6556,"10303","3790","2908","1391","425","21575",Lithgow - Mudgee
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6555,"10304","4283","2832","1440","507","26879",Orange
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6554,"10401","5108","3970","1880","698","24000",Clarence Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6553,"10402","8732","6227","3110","1293","43161",Coffs Harbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6552,"10501","1844","1337","583","154","10738",Bourke - Cobar - Coonamble
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6551,"10502","1684","1152","542","314","9112",Broken Hill and Far West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6550,"10503","5306","3484","1776","644","31706",Dubbo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-654f,"10601","6250","4020","1772","623","38492",Lower Hunter
