gml_id,sa3_code16,f_inad_desc_ns_15_19,f_inad_desc_ns_20_24,f_inad_desc_ns_25_34,f_inad_desc_ns_35_44,f_inad_desc_ns_45_54,f_inad_desc_ns_55_64,f_inad_desc_ns_65_74,f_inad_desc_ns_75_84,f_inad_desc_ns_85,f_inad_desc_ns_tot,f_tot_15_19_yr,f_tot_20_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_agr_fstry_fsh_15_19,p_agr_fstry_fsh_20_24,p_agr_fstry_fsh_25_34,p_agr_fstry_fsh_35_44,p_agr_fstry_fsh_45_54,p_agr_fstry_fsh_55_64,p_agr_fstry_fsh_65_74,p_agr_fstry_fsh_75_84,p_agr_fstry_fsh_85,p_agr_fstry_fsh_tot,p_min_15_19_yr,p_min_20_24_yr,p_min_25_34_yr,p_min_35_44_yr,p_min_45_54_yr,p_min_55_64_yr,p_min_65_74_yr,p_min_75_84_yr,p_min_85_yr_over,p_min_tot,p_manf_15_19_yr,p_manf_20_24_yr,p_manf_25_34_yr,p_manf_35_44_yr,p_manf_45_54_yr,p_manf_55_64_yr,p_manf_65_74_yr,p_manf_75_84_yr,p_manf_85_yr_over,p_manf_tot,p_elec_gas_wtr_wst_sv_15_19,p_elec_gas_wtr_wst_sv_20_24,p_elec_gas_wtr_wst_sv_25_34,p_elec_gas_wtr_wst_sv_35_44,p_elec_gas_wtr_wst_sv_45_54,p_elec_gas_wtr_wst_sv_55_64,p_elec_gas_wtr_wst_sv_65_74,p_elec_gas_wtr_wst_sv_75_84,p_elec_gas_wtr_wst_sv_85,p_elec_gas_wtr_wst_sv_tot,p_con_15_19_yr,p_con_20_24_yr,p_con_25_34_yr,p_con_35_44_yr,p_con_45_54_yr,p_con_55_64_yr,p_con_65_74_yr,p_con_75_84_yr,p_con_85_yr_over,p_con_tot,p_whl_trd_15_19_yr,p_whl_trd_20_24_yr,p_whl_trd_25_34_yr,p_whl_trd_35_44_yr,p_whl_trd_45_54_yr,p_whl_trd_55_64_yr,p_whl_trd_65_74_yr,p_whl_trd_75_84_yr,p_whl_trd_85_yr_over,p_whl_trd_tot,p_re_trd_15_19_yr,p_re_trd_20_24_yr,p_re_trd_25_34_yr,p_re_trd_35_44_yr,p_re_trd_45_54_yr,p_re_trd_55_64_yr,p_re_trd_65_74_yr,p_re_trd_75_84_yr,p_re_trd_85_yr_over,p_re_trd_tot,p_acc_food_svc_15_19,p_acc_food_svc_20_24,p_acc_food_svc_25_34,p_acc_food_svc_35_44,p_acc_food_svc_45_54,p_acc_food_svc_55_64,p_acc_food_svc_65_74,p_acc_food_svc_75_84,p_acc_food_svc_85,p_acc_food_svc_tot,p_trp_pos_wh_15_19,p_trp_pos_wh_20_24,p_trp_pos_wh_25_34,p_trp_pos_wh_35_44,p_trp_pos_wh_45_54,p_trp_pos_wh_55_64,p_trp_pos_wh_65_74,p_trp_pos_wh_75_84,p_trp_pos_wh_85,p_trp_pos_wh_tot,p_in_med_tcom_15_19,p_in_med_tcom_20_24,p_in_med_tcom_25_34,p_in_med_tcom_35_44,p_in_med_tcom_45_54,p_in_med_tcom_55_64,p_in_med_tcom_65_74,p_in_med_tcom_75_84,p_in_med_tcom_85,p_in_med_tcom_tot,p_fin_in_svc_15_19,p_fin_in_svc_20_24,p_fin_in_svc_25_34,p_fin_in_svc_35_44,p_fin_in_svc_45_54,p_fin_in_svc_55_64,p_fin_in_svc_65_74,p_fin_in_svc_75_84,p_fin_in_svc_85,p_fin_in_svc_tot,p_rnt_hrg_rea_est_serv_15_19,p_rnt_hrg_rea_est_serv_20_24,p_rnt_hrg_rea_est_serv_25_34,p_rnt_hrg_rea_est_serv_35_44,p_rnt_hrg_rea_est_serv_45_54,p_rnt_hrg_rea_est_serv_55_64,p_rnt_hrg_rea_est_serv_65_74,p_rnt_hrg_rea_est_serv_75_84,p_rnt_hrg_rea_est_serv_85,p_rnt_hrg_rea_est_serv_tot,p_prof_sc_tech_serv_15_19,p_prof_sc_tech_serv_20_24,p_prof_sc_tech_serv_25_34,p_prof_sc_tech_serv_35_44,p_prof_sc_tech_serv_45_54,p_prof_sc_tech_serv_55_64,p_prof_sc_tech_serv_65_74,p_prof_sc_tech_serv_75_84,p_prof_sc_tech_serv_85,p_prof_sc_tech_serv_tot,p_adm_sup_serv_15_19,p_adm_sup_serv_20_24,p_adm_sup_serv_25_34,p_adm_sup_serv_35_44,p_adm_sup_serv_45_54,p_adm_sup_serv_55_64,p_adm_sup_serv_65_74,p_adm_sup_serv_75_84,p_adm_sup_serv_85_over,p_adm_sup_serv_tot,p_pubad_saf_15_19,p_pubad_saf_20_24,p_pubad_saf_25_34,p_pubad_saf_35_44,p_pubad_saf_45_54,p_pubad_saf_55_64,p_pubad_saf_65_74,p_pubad_saf_75_84,p_pubad_saf_85_over,p_pubad_saf_tot,p_ed_trng_15_19,p_ed_trng_20_24,p_ed_trng_25_34,p_ed_trng_35_44,p_ed_trng_45_54,p_ed_trng_55_64,p_ed_trng_65_74,p_ed_trng_75_84,p_ed_trng_85_over,p_ed_trng_tot,p_hlth_cre_socia_assist_15_19,p_hlth_cre_socia_assist_20_24,p_hlth_cre_socia_assist_25_34,p_hlth_cre_socia_assist_35_44,p_hlth_cre_socia_assist_45_54,p_hlth_cre_socia_assist_55_64,p_hlth_cre_socia_assist_65_74,p_hlth_cre_socia_assist_75_84,p_hlth_cre_socia_assist_85,p_hlth_cre_socia_assist_tot,p_arts_rec_svc_15_19,p_arts_rec_svc_20_24,p_arts_rec_svc_25_34,p_arts_rec_svc_35_44,p_arts_rec_svc_45_54,p_arts_rec_svc_55_64,p_arts_rec_svc_65_74,p_arts_rec_svc_75_84,p_arts_rec_svc_85,p_arts_rec_svc_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_688b,"10102","22","51","69","78","117","61","15","3","0","422","867","1252","2907","3208","3660","2058","373","42","3","14370","13","19","50","49","106","119","121","41","5","524","0","7","20","19","23","10","5","0","0","81","93","83","216","230","235","168","50","7","0","1081","3","11","72","86","87","51","11","0","0","318","143","353","768","621","667","414","80","5","0","3062","20","39","105","100","134","82","13","0","0","501","441","387","461","349","398","291","70","16","0","2404","494","268","329","191","161","98","23","0","0","1568","21","51","181","215","282","237","64","3","0","1051","4","31","105","102","110","62","16","3","0","431","3","28","89","89","97","54","5","0","0","369","11","38","118","109","96","66","17","0","0","452","33","140","416","491","511","316","82","5","0","2004","19","66","147","161","227","183","39","0","0","844","45","256","1493","2093","2386","1025","121","7","0","7425","64","136","406","498","616","382","77","5","0","2181","85","284","593","585","695","519","84","7","0","2852","59","48","69","72","77","58","19","3","0","417",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_688c,"10103","11","9","18","44","32","34","8","5","0","167","390","725","1346","1490","1628","1124","340","42","0","7085","36","45","94","138","237","197","189","56","9","1010","0","3","33","40","29","14","3","0","0","122","37","58","132","139","133","106","22","5","0","631","3","21","68","86","110","61","9","0","0","355","35","101","258","287","243","176","55","3","0","1158","10","17","37","65","71","52","24","4","3","278","146","134","209","209","233","178","54","0","0","1176","269","475","554","277","285","195","66","11","0","2142","19","34","70","96","136","136","44","0","0","527","10","18","35","55","45","26","3","0","0","191","0","16","75","100","105","59","11","5","0","365","32","27","52","81","73","73","26","7","0","368","11","51","159","260","220","206","104","9","0","1015","16","30","88","90","126","89","24","3","0","462","9","62","289","329","353","237","44","4","0","1325","32","83","223","259","330","233","53","4","0","1222","20","94","274","316","355","371","69","8","0","1505","72","218","229","135","136","84","27","0","0","910",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_688d,"10104","31","20","39","59","83","97","36","4","3","375","859","725","1692","2405","3385","3147","637","63","7","12908","37","55","143","211","283","319","200","51","8","1310","0","3","18","12","13","11","0","3","0","58","76","119","254","286","394","333","54","11","0","1526","3","10","39","58","76","65","5","0","0","272","121","218","455","475","655","521","108","3","3","2554","19","16","63","88","108","102","32","0","0","424","509","284","430","543","693","661","140","15","3","3275","498","251","406","402","498","521","143","11","3","2741","12","29","81","158","229","267","98","7","0","891","24","33","50","44","54","55","15","0","0","277","9","12","51","63","109","52","14","0","0","320","8","15","46","74","99","97","42","9","0","380","9","36","145","196","270","308","133","14","0","1106","25","37","114","191","256","262","71","5","0","962","18","66","230","366","547","412","43","6","0","1681","27","54","235","438","532","625","97","13","0","2035","37","154","446","683","1131","1172","214","15","0","3846","20","27","53","77","108","93","39","6","0","425",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_688e,"10105","16","16","41","43","42","31","12","5","0","198","464","543","1399","1424","1748","1276","316","45","10","7224","36","54","135","171","218","287","246","84","12","1241","4","13","58","60","60","20","8","0","0","220","50","108","183","147","173","109","27","3","0","797","0","10","41","44","50","41","4","0","0","192","96","206","319","258","264","203","38","7","0","1381","11","24","59","66","56","54","13","4","0","281","219","168","264","269","303","238","49","4","0","1509","289","172","220","147","161","121","21","0","0","1129","10","26","102","176","191","171","58","9","0","744","11","14","27","21","41","24","3","0","0","139","0","9","45","49","58","22","8","0","0","193","4","20","27","43","37","36","23","3","0","198","14","43","112","114","148","112","55","15","0","599","20","32","74","89","136","78","31","0","0","473","15","52","355","511","540","298","32","4","0","1809","17","54","185","231","299","279","66","6","0","1145","46","128","425","419","605","498","77","6","0","2200","18","17","32","29","51","17","6","0","0","178",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_688f,"10106","17","24","29","49","59","35","16","9","0","241","474","588","1171","1688","1985","1340","401","69","16","7728","60","133","243","319","457","517","375","127","23","2255","0","6","20","18","27","15","3","0","0","91","59","64","121","110","113","79","35","4","0","585","0","13","41","48","61","44","3","0","0","209","68","165","320","373","310","196","50","9","3","1490","20","24","50","74","79","62","15","0","0","331","208","169","211","277","246","205","57","11","0","1380","278","137","141","126","133","114","39","3","0","971","16","21","66","98","169","136","51","4","0","555","3","10","32","33","46","33","8","0","0","165","8","20","63","50","65","44","8","0","0","264","3","14","30","34","51","30","10","3","0","177","20","55","124","242","262","151","60","11","3","928","10","31","50","92","115","71","25","6","3","402","13","64","281","564","689","307","44","0","0","1954","23","55","211","359","341","225","71","4","0","1291","44","96","238","326","470","422","78","3","0","1686","19","17","26","34","36","31","12","3","0","178",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6890,"10201","63","87","177","239","269","184","69","15","4","1102","2398","2966","6313","7546","8739","6422","1299","90","15","35800","22","59","86","109","169","118","81","29","5","677","8","11","56","81","64","40","11","0","0","258","126","320","658","924","1030","710","128","17","0","3902","4","36","141","161","183","132","25","0","0","684","370","821","1689","1797","1728","1103","216","13","3","7739","42","110","291","503","492","301","80","12","0","1827","1078","1121","1336","1230","1337","1145","288","34","4","7569","1682","930","889","663","672","436","92","12","3","5375","38","79","289","455","736","671","165","10","0","2443","79","110","308","409","431","246","56","6","0","1659","16","128","525","816","756","459","94","13","0","2799","35","102","254","295","343","235","80","11","0","1352","54","295","915","1284","1175","836","299","30","7","4898","70","200","426","598","690","507","147","9","0","2641","44","159","769","1232","1325","943","140","8","0","4619","115","341","1207","1375","1591","1378","234","21","0","6261","160","703","2147","2437","3133","2666","544","27","3","11820","137","158","251","249","207","152","55","11","3","1222",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6891,"10202","62","90","166","206","216","195","52","10","3","1004","2210","3052","5925","6607","7295","5126","867","58","9","31158","11","33","80","78","104","97","21","7","0","433","3","15","133","144","98","59","6","0","0","466","172","404","927","1094","1205","772","137","12","0","4720","8","35","132","234","239","197","17","0","0","857","396","956","1924","1799","1511","1017","191","5","0","7807","38","112","286","388","437","262","61","4","0","1587","1053","1156","1450","1341","1527","1027","227","10","0","7792","1573","874","815","662","595","447","96","15","0","5071","31","97","348","615","805","681","166","18","0","2758","52","94","215","202","242","162","15","4","0","984","18","110","434","468","452","269","41","3","0","1800","32","101","207","235","228","165","64","6","3","1051","50","190","591","588","553","421","139","7","3","2545","63","194","443","492","594","415","83","3","0","2299","26","139","751","1118","1155","677","93","6","3","3972","90","283","912","1011","1052","887","145","11","0","4387","170","724","1705","1967","2517","1981","329","22","3","9419","87","125","205","166","160","109","50","0","0","899",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6892,"10301","24","26","42","64","56","60","23","3","0","293","708","1055","1830","2010","2209","1673","405","42","11","9947","31","45","142","150","181","215","227","58","15","1063","8","22","89","66","48","30","3","0","0","266","89","149","319","436","498","310","51","7","0","1850","3","9","42","63","87","57","3","0","0","255","99","194","455","321","313","214","40","10","0","1637","13","34","71","67","56","70","18","3","0","336","322","390","455","327","297","224","62","7","0","2084","384","329","261","169","160","135","60","6","0","1502","13","31","98","137","209","165","62","9","0","731","30","38","71","68","49","21","3","0","0","276","4","19","63","63","81","40","10","0","0","277","4","19","50","56","60","43","15","0","0","256","12","50","170","184","161","145","60","18","0","800","16","34","105","116","173","108","24","3","0","590","12","100","345","411","452","327","50","6","0","1699","36","163","420","506","620","499","80","9","0","2332","60","252","498","518","628","547","92","10","3","2612","37","47","53","36","36","47","12","0","0","274",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6893,"10302","25","34","61","57","75","55","28","12","3","346","599","799","1754","1999","2409","1918","533","126","20","10145","111","231","525","729","895","1008","603","249","36","4389","11","71","265","242","186","93","14","0","0","884","67","145","245","227","217","174","38","3","0","1108","0","18","38","55","80","43","3","0","0","233","71","127","255","296","273","239","51","7","0","1309","18","44","99","95","132","108","38","4","0","545","313","229","366","341","414","339","76","9","5","2092","328","176","221","165","218","204","63","3","0","1371","8","42","108","170","286","259","101","15","0","990","3","15","22","16","33","21","7","0","0","112","5","19","45","57","60","36","4","9","0","238","8","21","29","26","35","38","9","4","0","181","16","40","118","134","150","117","59","6","0","635","14","28","61","95","136","124","32","5","0","494","24","75","243","280","368","221","43","0","4","1261","36","117","402","447","483","390","70","8","0","1942","52","165","442","463","660","603","122","6","3","2516","12","14","21","22","34","27","7","3","0","143",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41c_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6894,"10303","14","15","33","44","32","37","18","8","4","210","482","603","1421","1704","2082","1518","386","69","14","8278","25","53","126","131","239","301","247","102","20","1237","20","109","591","594","563","291","16","5","0","2191","45","66","161","164","199","138","34","10","0","817","5","20","66","77","123","90","10","0","0","386","91","149","245","264","296","229","35","8","0","1312","10","35","83","79","112","60","18","4","0","407","237","232","313","311","365","252","72","7","0","1784","330","188","272","207","227","199","62","5","0","1494","6","22","62","97","202","188","51","9","0","634","5","17","36","21","35","23","12","0","0","149","3","22","65","67","56","51","10","4","0","275","3","19","35","50","53","47","14","0","0","217","14","41","104","129","143","103","45","4","0","589","8","38","92","114","163","105","24","0","0","552","17","57","255","271","328","230","33","0","0","1185","16","47","186","323","361","288","58","3","0","1293","30","93","312","353","531","471","90","0","3","1888","16","16","27","35","42","32","17","0","0","189",Lithgow - Mudgee
