sa4_code16,sa4_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons,duration_adjusted_median_income_per_job_aud_male,duration_adjusted_median_income_per_job_aud_female,duration_adjusted_median_income_per_job_aud_persons
101,Capital Region,72.955,71.627,144.586,26247,18200,21651,42078,28141,34662
102,Central Coast,102.779,99.88799999999999,202.66400000000002,32709,19102,24557,47834,28368,37183
103,Central West,69.675,63.059,132.733,27551,16131,21001,44313,24789,33861
104,Coffs Harbour - Grafton,39.156,39.15,78.307,22333,15316,18488,37146,23825,29871
105,Far West and Orana,40.304,37.08,77.383,20872,15200,17761,39901,25020,32089
106,Hunter Valley exc Newcastle,92.77,78.829,171.59400000000002,38244,16967,25706,58747,26362,40161
107,Illawarra,93.59700000000001,85.616,179.21900000000002,38920,20598,28000,54600,28825,39623
108,Mid North Coast,52.6,54.376000000000005,106.971,24965,16765,20362,38209,24202,30517
109,Murray,39.148,36.878,76.023,23810,15485,19112,41100,23500,31365
110,New England and North West,60.798,55.919,116.713,21426,15182,18098,38672,24101,31200
111,Newcastle and Lake Macquarie,128.005,120.053,248.05700000000002,34987,19396,25404,52599,28927,39357
112,Richmond - Tweed,66.708,69.73,136.44,23465,16010,19198,38575,24975,31081
113,Riverina,54.958999999999996,49.91,104.867,24369,15955,19818,41438,25098,33060
114,Southern Highlands and Shoalhaven,39.278,39.68,78.955,29031,16402,21628,42785,24077,32141
115,Sydney - Baulkham Hills and Hawkesbury,76.714,77.391,154.112,44452,23762,32099,59542,33728,44264
116,Sydney - Blacktown,114.829,98.354,213.18,35809,24669,29932,49308,35596,42402
117,Sydney - City and Inner South,152.57299999999998,135.985,288.555,21919,16442,19052,43438,35146,39373
118,Sydney - Eastern Suburbs,104.399,111.637,216.03400000000002,32571,21105,25909,53110,38950,45078
119,Sydney - Inner South West,181.05599999999998,161.892,342.95099999999996,30000,23064,26416,43877,33713,38697
120,Sydney - Inner West,106.81200000000001,106.24600000000001,213.06,33680,25678,29449,50000,39939,44615
121,Sydney - North Sydney and Hornsby,141.644,146.387,288.033,46242,25140,33987,64534,39732,50000
122,Sydney - Northern Beaches,93.01299999999999,95.76299999999999,188.782,37800,20678,27619,53162,33266,41572
123,Sydney - Outer South West,89.434,79.706,169.141,37970,23596,29979,51330,33177,41787
124,Sydney - Outer West and Blue Mountains,107.07600000000001,100.039,207.112,38315,23025,29656,51846,32904,41635
125,Sydney - Parramatta,146.004,122.663,268.66,29365,22034,25673,44765,34327,39634
126,Sydney - Ryde,59.65,61.015,120.665,39000,23758,30395,54915,36067,44339
127,Sydney - South West,116.176,99.428,215.61,33062,22935,27857,46722,33457,40037
128,Sydney - Sutherland,77.78399999999999,81.296,159.07399999999998,45000,23692,32068,59253,33854,43997
201,Ballarat,48.391000000000005,48.251000000000005,96.639,29365,16998,21955,43270,25223,33811
202,Bendigo,47.941,48.349,96.29,28066,16027,20940,42814,24758,33315
203,Geelong,87.163,87.63799999999999,174.80200000000002,33167,17000,23023,47824,25273,35166
204,Hume,55.782,55.309,111.09200000000001,26879,14932,19871,42372,23174,32027
205,Latrobe - Gippsland,81.889,79.469,161.361,31522,15252,21700,46555,22888,33269
206,Melbourne - Inner,233.607,238.734,472.336,27983,20055,23522,47048,37720,42152
207,Melbourne - Inner East,121.954,127.75,249.701,33642,19340,24986,48880,30000,38179
208,Melbourne - Inner South,138.19799999999998,144.33100000000002,282.531,37259,20785,27369,52190,32310,41079
209,Melbourne - North East,158.52100000000002,156.944,315.468,35738,20565,26758,49205,30385,38943
210,Melbourne - North West,110.70299999999999,101.369,212.072,33834,20504,26060,47699,30683,38800
211,Melbourne - Outer East,174.29,179.247,353.543,37044,19403,26322,50068,28668,38239
212,Melbourne - South East,245.542,219.115,464.658,31390,19240,24623,45404,29704,37539
213,Melbourne - West,241.798,211.148,452.944,33462,20710,26261,48563,32405,40260
214,Mornington Peninsula,90.50399999999999,93.23200000000001,183.732,33657,17944,23997,47631,26745,36177
215,North West,50.775,48.208999999999996,98.988,18887,12930,15536,36500,21580,28275
216,Shepparton,42.673,42.24,84.90700000000001,23573,14169,18151,39936,22952,30830
217,Warrnambool and South West,42.772,41.59,84.367,22470,13152,16748,38668,20516,27846
301,Brisbane - East,81.9,77.964,159.862,36140,21710,27636,54165,33494,42361
302,Brisbane - North,76.461,75.244,151.71,36496,23579,29002,52632,36425,43748
303,Brisbane - South,130.535,125.55799999999999,256.093,29515,20065,24168,47772,33327,40092
304,Brisbane - West,67.155,67.368,134.52200000000002,38454,20034,27347,56806,33074,43044
305,Brisbane Inner City,114.12799999999999,110.637,224.762,28229,18375,22774,49550,36185,42413
306,Cairns,95.365,89.023,184.394,20803,14148,17088,42124,28060,34930
307,Darling Downs - Maranoa,46.67,40.959,87.62899999999999,22082,12754,16654,43920,24491,33749
308,Central Queensland,98.697,80.389,179.08,37000,15156,24044,65604,29508,44213
309,Gold Coast,190.449,189.771,380.219,24960,16345,20023,44954,28822,36051
310,Ipswich,107.02600000000001,91.749,198.769,32297,19709,25044,49591,31638,40622
311,Logan - Beaudesert,111.93799999999999,96.727,208.66099999999997,30022,20728,24824,48188,32198,40081
312,Mackay - Isaac - Whitsunday,86.322,68.52600000000001,154.851,35000,13857,22586,66169,29660,44277
313,Moreton Bay - North,77.158,69.67,146.83,27113,17427,21656,46869,29399,37672
314,Moreton Bay - South,67.094,63.647,130.74,39672,22400,29555,55091,33665,43195
315,Queensland - Outback,31.075,28.035999999999998,59.113,24683,13275,18139,48241,28757,37596
316,Sunshine Coast,104.00399999999999,105.89,209.89,25647,15680,19719,44074,26016,33856
317,Toowoomba,54.379,51.068000000000005,105.444,27336,16233,20951,45503,27727,36292
318,Townsville,97.912,85.779,183.69099999999997,29587,16835,22310,51719,29856,39969
319,Wide Bay,88.447,79.032,167.486,21050,13875,17077,40955,25511,32618
401,Adelaide - Central and Hills,98.01100000000001,103.87,201.87599999999998,32677,19659,24730,46740,29794,37329
402,Adelaide - North,135.67,123.76799999999999,259.441,34414,21081,26681,47407,30254,38996
403,Adelaide - South,116.92399999999999,121.28299999999999,238.208,35134,20961,26537,48342,30101,38439
404,Adelaide - West,76.663,75.604,152.266,31113,20739,25000,44865,31008,37673
405,Barossa - Yorke - Mid North,32.986,30.114,63.1,27511,16621,20918,43245,23776,32425
406,South Australia - Outback,30.241999999999997,26.073,56.31399999999999,31478,16845,22561,51321,25896,37087
407,South Australia - South East,59.424,54.567,113.99,21035,14080,17010,37851,22231,29022
501,Bunbury,68.804,59.777,128.58,30693,13212,20000,58878,24401,38131
502,Mandurah,33.629,27.799,61.43,35609,15732,24006,69894,27941,44148
503,Perth - Inner,84.59899999999999,74.48899999999999,159.084,27407,14555,20000,53458,31660,41853
504,Perth - North East,99.9,87.00299999999999,186.899,34548,19448,25851,58045,33367,44721
505,Perth - North West,213.979,197.417,411.39599999999996,35929,18826,25705,60000,32164,44153
506,Perth - South East,210.453,173.955,384.411,31491,18206,24109,56137,32445,43617
507,Perth - South West,164.963,141.055,306.019,36217,18006,25392,64269,31413,45568
509,Western Australia - Wheat Belt,46.101000000000006,42.582,88.68299999999999,23660,13277,17570,48352,24272,34772
510,Western Australia - Outback (North),41.336000000000006,34.656,75.997,33590,14262,21715,71151,37970,51469
511,Western Australia - Outback (South),53.36600000000001,43.678999999999995,97.04299999999999,30983,14314,21676,63154,28532,42790
601,Hobart,70.687,74.83,145.519,32250,20156,24747,43701,28980,35855
602,Launceston and North East,45.575,44.6,90.176,27991,16504,21168,41071,23972,32035
603,South East,11.658,10.744000000000002,22.401999999999997,20587,13919,16723,36876,21982,28646
604,West and North West,36.846,33.435,70.278,30640,16175,22005,43853,24395,33748
701,Darwin,67.972,61.976000000000006,129.955,27383,17051,21744,53831,36770,44995
702,Northern Territory - Outback,28.693,28.311999999999998,57.0,19425,12956,15872,43410,30872,37111
801,Australian Capital Territory,151.38299999999998,153.144,304.527,40626,27830,33416,57108,42392,49533
