sa4_code,sa4_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
101,Capital Region,849,100,956,244087.3,19808.2,44646.1,308541.5,228201.1,536742.7
102,Central Coast,609,591,1223,142682.6,115947.5,70942.5,329572.6,184078.1,513650.7
103,Central West,890,133,1030,231529.6,23475.6,30572.9,285578.1,232357.3,517935.4
104,Coffs Harbour - Grafton,359,53,417,91310.5,10887.6,23735.4,125933.6,47843.5,173777.1
105,Far West and Orana,352,153,512,93608.1,23842.7,10509.1,127959.9,136212.2,264172.1
106,Hunter Valley exc Newcastle,1515,388,1913,381596.7,69944.1,46745.2,498286.0,191041.8,689327.8
107,Illawarra,758,583,1358,228683.3,141484.9,51588.2,421756.5,312385.7,734142.1
108,Mid North Coast,740,115,881,187092.7,28833.7,31941.5,247867.9,140952.3,388820.1
109,Murray,517,69,588,142044.4,21233.6,26044.3,189322.3,128947.2,318269.4
110,New England and North West,676,74,753,179877.3,12153.4,36078.9,228109.7,118220.3,346330.0
111,Newcastle and Lake Macquarie,1247,730,2035,316529.0,141261.0,109130.9,566920.9,206499.6,773420.4
112,Richmond - Tweed,686,237,946,192353.1,54045.8,43396.2,289795.1,193697.0,483492.1
113,Riverina,537,112,654,150809.8,32728.2,29793.6,213331.6,264674.3,478005.8
114,Southern Highlands and Shoalhaven,705,84,813,188654.8,15336.7,48630.0,252621.5,281248.0,533869.5
115,Sydney - Baulkham Hills and Hawkesbury,1046,525,1583,389773.0,115027.2,42608.4,547408.6,116737.5,664146.1
116,Sydney - Blacktown,1647,1152,2856,388120.2,187346.4,22574.3,598040.9,642209.6,1240250.5
117,Sydney - City and Inner South,92,4697,4890,26073.8,1293193.8,108242.2,1427509.8,4989127.0,6416637.0
118,Sydney - Eastern Suburbs,416,1024,1508,236040.0,388677.9,208734.3,833452.1,529425.7,1362877.8
119,Sydney - Inner South West,858,4861,5780,244059.7,1197873.4,95545.3,1537478.4,333830.6,1871309.0
120,Sydney - Inner West,134,1620,1793,65727.1,483372.6,117481.9,666581.6,213980.9,880562.5
121,Sydney - North Sydney and Hornsby,439,3767,4406,227648.7,1100741.8,342252.7,1670643.1,587844.3,2258487.5
122,Sydney - Northern Beaches,321,353,685,156805.6,97262.2,154961.0,409028.8,77457.1,486485.9
123,Sydney - Outer South West,1613,428,2050,431781.7,84828.9,31111.7,547722.3,253350.3,801072.6
124,Sydney - Outer West and Blue Mountains,1268,509,1820,321263.2,86498.9,54920.2,462682.3,411358.0,874040.2
125,Sydney - Parramatta,724,3816,4595,162731.5,942097.0,39620.5,1144448.9,467880.5,1612329.5
126,Sydney - Ryde,202,1325,1582,98438.2,362928.6,45742.3,507109.1,127013.1,634122.2
127,Sydney - South West,2376,1274,3679,604808.2,271989.3,20720.3,897517.8,409473.5,1306991.2
128,Sydney - Sutherland,353,299,664,139693.9,110862.2,65926.3,316482.5,174930.1,491412.5
201,Ballarat,1122,126,1254,279391.7,19522.4,46341.9,345255.9,165811.7,511067.6
202,Bendigo,1264,96,1363,317056.7,17378.7,53121.1,387556.6,156904.1,544460.7
203,Geelong,2675,290,2981,725771.4,55227.0,126444.6,907442.9,711997.3,1619440.2
204,Hume,1084,35,1122,283390.6,6200.8,46476.8,336068.2,138115.9,474184.1
205,Latrobe - Gippsland,1713,172,1893,430749.1,31287.4,85554.5,547591.0,174033.2,721624.2
206,Melbourne - Inner,628,11264,12042,287238.2,3347206.0,526079.5,4160523.8,2062727.9,6223251.5
207,Melbourne - Inner East,1039,2312,3359,624944.2,626537.3,242654.8,1494136.2,243138.5,1737274.8
208,Melbourne - Inner South,827,1940,2804,416866.4,516769.8,257962.0,1191598.2,278710.8,1470309.0
209,Melbourne - North East,3077,1543,4635,783900.3,277774.9,117043.8,1178719.0,385913.5,1564632.5
210,Melbourne - North West,2363,1315,3703,587264.9,238618.9,58446.8,884330.6,1052546.5,1936877.1
211,Melbourne - Outer East,1598,1246,2861,428938.2,282218.4,125981.1,837137.7,762341.6,1599479.2
212,Melbourne - South East,5073,1860,6956,1278479.0,393195.6,97448.8,1769123.5,914202.5,2683326.0
213,Melbourne - West,4759,1528,6309,1146234.4,291966.8,113444.4,1551645.8,1218597.8,2770243.5
214,Mornington Peninsula,1312,594,1918,440349.8,136602.1,138433.9,715385.8,306392.6,1021778.4
215,North West,585,14,600,149959.5,2706.8,31950.0,184616.3,149466.0,334082.3
216,Shepparton,468,23,491,125013.4,4006.6,47100.0,176120.0,83491.6,259611.6
217,Warrnambool and South West,496,28,528,140306.5,5339.8,40492.3,186138.6,92932.7,279071.4
301,Brisbane - East,952,342,1300,260499.0,64342.9,43669.2,368511.1,151837.5,520348.5
302,Brisbane - North,727,1300,2034,184452.6,285685.4,66244.5,536382.5,226817.9,763200.4
303,Brisbane - South,762,1961,2732,270195.9,409015.3,112119.9,791331.0,277250.8,1068581.8
304,Brisbane - West,466,366,834,172791.5,79337.6,85166.7,337295.8,197298.5,534594.3
305,Brisbane Inner City,332,5722,6070,175279.2,1565296.1,242765.0,1983340.2,1107381.8,3090722.0
306,Cairns,880,23,917,245679.6,5823.6,56961.7,308464.9,209947.1,518412.1
307,Darling Downs - Maranoa,661,190,853,172522.9,38032.9,24975.9,235531.8,168221.0,403752.8
308,Fitzroy,1293,363,1658,362918.2,91082.9,37707.4,491708.5,158627.8,650336.3
309,Gold Coast,1872,2586,4465,551091.3,641889.0,95243.1,1288223.4,1291959.1,2580182.5
310,Ipswich,1987,368,2363,441799.3,67050.6,41050.5,549900.5,623137.1,1173037.6
311,Logan - Beaudesert,1288,355,1652,280692.0,55157.0,30890.4,366739.4,153847.5,520586.9
