yr,gifts_donations_rptd_by_taxpayers_p_num,gifts_donations_rptd_by_taxpayers_med_aud,mtd_trvl_wrk_empy_p_used1mtd_train_tram_num,mtd_trvl_wrk_empy_p_used1mtd_bus_num,mtd_trvl_wrk_empy_p_used1mtd_car_as_driver_pax_num,mtd_trvl_wrk_empy_p_used1mtd_motor_bike_scooter_num,mtd_trvl_wrk_empy_p_used1mtd_bicycle_num,mtd_trvl_wrk_empy_p_used1mtd_oth_inc_taxis_num,mtd_trvl_wrk_empy_p_used1mtd_walked_only_num,mtd_trvl_wrk_empy_p_tot_used1mtd_num,mtd_trvl_wrk_empy_p_tot_used_more_than1mtd_num,mtd_trvl_wrk_empy_p_oth_wrked_home_num,mtd_trvl_wrk_empy_p_oth_empy_but_no_wrk_num,mtd_trvl_wrk_empy_p_oth_mtd_trvl_ns_num,mtd_trvl_wrk_empy_p_tot_empy_num,hslds_by_type_lone_hslds_num,hslds_by_type_grp_hslds_num,hslds_by_type_fam_hslds_num,hslds_by_type_tot_hslds_num,hslds_by_type_avg_hsld_size_num,fam_by_type_cpl_fam_chld_under_15_and_or_dpnt_studts_num,fam_by_type_cpl_fam_non_dpnt_chld_only_num,fam_by_type_cpl_fam_wo_chld_num,fam_by_type1prnt_fam_chld_under_15_or_dpnt_studts_num,fam_by_type1prnt_fam_non_dpnt_chld_only_num,fam_by_type_oth_fam_num,fam_by_type_tot_fam_num,fam_by_type_avg_fam_size_num,soc_mar_st_regd_mar_st_married_regd_marriage_num,soc_mar_st_regd_mar_st_married_de_facto_marriage_num,soc_mar_st_regd_mar_st_no_married_num,soc_mar_st_regd_mar_st_married_pr100,soc_mar_st_regd_mar_st_never_married_pr100,soc_mar_st_regd_mar_st_widowed_pr100,soc_mar_st_regd_mar_st_divorced_pr100,soc_mar_st_regd_mar_st_separtd_pr100,access_net_home_net_acsd_dwl_pr100,access_net_home_net_no_acsd_dwl_pr100,rent_mrtg_pay_avg_monthly_hsld_rent_payment_aud,rent_mrtg_pay_avg_monthly_hsld_mrtg_payment_aud,unpd_ccare_p_no_prov_ccare_pr100,unpd_ccare_p_cared_own_chld_chld_pr100,unpd_ccare_p_cared_oth_chld_chld_pr100,unpd_ccare_p_cared_own_chld_chld_oth_chld_chld_pr100,unpd_ccare_unpd_ccare_ns_pr100,unpd_wrk_p_provd_unpd_asst_p_dsblty_pr100,unpd_wrk_p_undertaking_voltry_wrk_org_grp_pr100,count_all_chld_fam_avg_num_all_chld_fam_num,hous_suitbl_dwl_xtr_bdrms_num,hous_suitbl_dwl_bdrms_spare_num,hous_suitbl_dwl_no_bdrms_spare_num,dwl_structure_separt_hse_num,dwl_structure_semi_det_row_tce_house_twnhse_etc_num,dwl_structure_flat_apartment_num,dwl_structure_oth_dwl_num,tenure_type_owned_outright_pr100,tenure_type_owned_mrtg_pr100,tenure_type_rent_pr100,hsld_strs_hslds_mrtg_repay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_mrtg_repay_grt_eq_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_grt_eq_30_pr100_hsld_inc_pr100,homelessness_homelessness_rt10000_p_rt,commuting_wrk_avg_comdist_p_of_ur_kms,commuting_wrk_med_comdist_p_of_ur_kms,commuting_wrk_avg_comdist_place_wrk_kms,commuting_wrk_med_comdist_place_wrk_kms,commuting_wrk_avg_comdist_p_of_ur_f_kms,commuting_wrk_avg_comdist_p_of_ur_m_kms,commuting_wrk_med_comdist_p_of_ur_f_kms,commuting_wrk_med_comdist_p_of_ur_m_kms,commuting_wrk_avg_comdist_p_of_ur_managers_kms,commuting_wrk_avg_comdist_p_of_ur_pros_kms,commuting_wrk_avg_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_cmty_p_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_avg_comdist_p_of_ur_labourers_kms,commuting_wrk_med_comdist_p_of_ur_managers_kms,commuting_wrk_med_comdist_p_of_ur_pros_kms,commuting_wrk_med_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_cmty_p_wrk_kms,commuting_wrk_med_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_med_comdist_p_of_ur_labourers_kms,commuting_wrk_avg_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_avg_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_avg_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_avg_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_avg_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_avg_comdist_p_of_ur_yr_9_belo_kms,commuting_wrk_med_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_med_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_med_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_med_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_med_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_med_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_med_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_med_comdist_p_of_ur_yr_9_belo_kms,sa4_code16,sa4_name16,ogc_fid
2016,40859,102,98.0,596.0,70694.0,590.0,410.0,864.0,3843.0,78589.0,1050.0,6114.0,10391.0,1195.0,97339.0,23443.0,2031.0,56832.0,82309.0,2.0,18158.0,4265.0,26193.0,5577.0,3013.0,667.0,57863.0,3.0,76695.0,17998.0,59844.0,49.7,30.4,6.3,10.0,3.5,78.3,18.6,1183.0,1805.0,64.3,17.6,7.1,0.7,10.1,12.3,23.1,1.9,1819.0,64198.0,11478.0,68358.0,7156.0,5007.0,1046.0,38.4,32.3,25.3,94.1,5.9,91.2,8.8,28.5,20.8,10.6,17.2,5.8,19.6,22.1,10.6,10.6,21.0,24.3,21.0,19.7,21.2,14.6,24.9,17.6,11.6,15.4,8.9,8.6,13.5,6.1,9.7,6.6,26.5,24.8,23.3,22.5,20.5,19.9,18.7,17.3,16.7,16.4,14.9,12.9,8.9,6.3,8.3,6.3,101,Capital Region,1
2015,41479,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Capital Region,2
2014,41154,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Capital Region,3
2013,41148,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Capital Region,4
2012,40367,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Capital Region,5
2011,42759,85,75.0,659.0,67215.0,606.0,448.0,827.0,4204.0,75853.0,1006.0,6096.0,10229.0,1479.0,94663.0,21424.0,1933.0,55292.0,78642.0,2.0,18488.0,3813.0,24872.0,5834.0,2545.0,635.0,56195.0,3.0,76078.0,15714.0,55795.0,50.9,29.7,6.6,9.4,3.5,,,988.0,1809.0,64.7,19.0,7.1,1.0,8.2,12.2,22.5,1.9,,,,66237.0,5586.0,5469.0,1200.0,38.8,32.5,25.3,91.9,8.1,91.7,8.3,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Capital Region,6
2016,62934,100,5363.0,1437.0,97466.0,567.0,390.0,744.0,2326.0,109846.0,6262.0,7113.0,14916.0,1456.0,139593.0,31956.0,3712.0,85380.0,121048.0,3.0,28746.0,7568.0,33499.0,10491.0,6370.0,1195.0,87869.0,3.0,111424.0,25087.0,103170.0,46.4,31.7,7.1,10.9,4.0,80.6,16.4,1489.0,1890.0,63.2,19.5,8.4,0.9,7.9,12.6,17.2,1.8,3029.0,91458.0,18823.0,95068.0,15026.0,9255.0,1147.0,34.7,34.0,26.8,93.0,7.0,88.0,12.0,31.9,28.3,14.4,15.4,10.4,22.7,33.9,12.1,17.9,34.3,29.7,31.2,23.9,29.1,20.1,33.3,24.0,17.5,15.5,16.4,12.4,15.4,9.9,18.8,12.3,36.1,29.5,30.2,30.5,29.1,20.8,25.9,22.0,19.4,15.5,15.8,15.7,15.4,12.5,12.9,10.2,102,Central Coast,7
2015,64317,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Central Coast,8
2014,63413,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Central Coast,9
2013,64199,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Central Coast,10
2012,63471,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Central Coast,11
2011,67843,70,4921.0,1450.0,88973.0,580.0,374.0,682.0,2466.0,101253.0,5988.0,5920.0,15679.0,2171.0,131011.0,31363.0,3239.0,82602.0,117206.0,3.0,28198.0,6738.0,31962.0,10982.0,5531.0,1075.0,84505.0,3.0,109956.0,20891.0,96864.0,47.6,30.5,7.5,10.6,3.8,,,1172.0,1922.0,63.0,19.7,8.2,1.1,8.0,12.1,15.8,1.9,,,,93306.0,13849.0,8578.0,1342.0,34.6,34.3,27.0,89.8,10.2,88.5,11.5,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Central Coast,12
