sa4_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa4_name16
101,114127,46,5407097436,38875,47378,5.28,1.87,0.35,0.14,0.465,7.1,19.5,30.5,25.9,26.5,24.9,22.7,Capital Region
102,162218,44,7483569078,37697,46133,5.23,1.86,0.36,0.14,0.46299999999999997,7.4,19.7,30.7,26.8,27.1,25.0,21.1,Central Coast
103,101229,44,4783940715,38369,47259,5.57,1.93,0.35,0.13,0.47200000000000003,6.7,19.2,30.6,26.5,26.3,24.0,23.1,Central West
104,66588,47,2530052897,30889,37996,6.41,1.91,0.3,0.1,0.495,7.6,20.3,31.9,33.4,29.7,21.9,14.9,Coffs Harbour - Grafton
105,54845,44,2494770046,37831,45488,5.15,1.86,0.36,0.14,0.47200000000000003,7.2,19.5,30.5,26.3,27.5,25.1,21.1,Far West and Orana
106,126850,42,6510259717,40401,51323,5.81,2.01,0.35,0.14,0.474,6.7,18.9,30.7,25.6,24.8,22.9,26.6,Hunter Valley exc Newcastle
107,142678,42,7233970006,40868,50701,5.67,1.96,0.35,0.14,0.461,6.5,18.6,29.7,25.6,24.3,23.1,27.1,Illawarra
108,97223,48,3679753551,30499,37849,6.86,1.93,0.28,0.09,0.499,7.7,20.6,32.3,34.1,29.8,21.3,14.8,Mid North Coast
109,60658,45,2640702830,36533,43534,5.5,1.82,0.33,0.12,0.475,7.8,20.2,31.0,28.3,27.5,25.5,18.7,Murray
110,90488,45,3758516855,35069,41536,5.69,1.82,0.32,0.11,0.506,7.8,20.7,32.1,29.5,28.4,24.7,17.4,New England and North West
111,185032,42,9550467704,41334,51615,5.47,1.9,0.35,0.14,0.46799999999999997,7.8,20.3,31.3,25.0,24.4,24.5,26.2,Newcastle and Lake Macquarie
112,118839,46,4683340930,31888,39409,6.0,1.88,0.31,0.11,0.496,8.4,21.3,32.6,32.3,29.7,22.7,15.3,Richmond - Tweed
113,81472,43,3694014025,38297,45341,5.06,1.79,0.35,0.14,0.46399999999999997,7.6,19.6,30.4,26.3,27.0,26.5,20.1,Riverina
114,70664,48,3110953998,33738,44025,6.06,1.97,0.33,0.12,0.503,9.7,22.8,34.0,30.5,28.6,21.9,19.0,Southern Highlands and Shoalhaven
115,126218,44,7865325711,45378,62315,5.78,2.0,0.35,0.15,0.507,10.1,24.0,35.5,23.6,22.3,21.6,32.5,Sydney - Baulkham Hills and Hawkesbury
116,151879,39,7246628907,43729,47713,3.99,1.64,0.41,0.2,0.389,4.5,15.0,25.2,21.1,25.0,31.4,22.5,Sydney - Blacktown
117,169203,34,10399402591,45049,61461,5.56,1.93,0.35,0.17,0.503,10.9,24.9,36.0,23.8,22.0,23.5,30.7,Sydney - City and Inner South
118,155727,39,13323677659,50649,85558,5.78,2.04,0.35,0.17,0.589,18.1,35.4,46.5,21.0,20.6,21.2,37.1,Sydney - Eastern Suburbs
119,271092,40,12739333558,38244,46993,4.84,1.84,0.38,0.17,0.456,7.3,19.7,30.6,26.0,27.2,25.5,21.3,Sydney - Inner South West
120,156817,39,10157405160,46317,64772,5.42,1.99,0.37,0.18,0.51,10.3,24.9,36.5,22.1,22.6,22.7,32.7,Sydney - Inner West
121,237118,44,21053450575,52196,88789,6.8,2.19,0.32,0.14,0.589,15.9,33.5,45.4,22.1,19.1,19.1,39.6,Sydney - North Sydney and Hornsby
122,150878,43,10542010597,45056,69871,5.9,2.09,0.35,0.16,0.551,13.3,29.3,41.2,23.3,22.5,21.7,32.5,Sydney - Northern Beaches
