sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
101,80388,83713,84064,85114,87624,50,50,50,50,50,535710730,567698309,579693652,586290987,619655097,401,378,385,400,358,6664,6781,6896,6888,7072,13.4,13.5,13.5,13.5,13.4,Capital Region
102,106729,110392,110703,112019,117577,48,48,49,49,48,582093016,624007995,657366456,688419875,723649774,261,254,273,269,249,5454,5653,5938,6146,6155,13.2,13.1,13.0,12.7,13.0,Central Coast
103,68140,71743,72410,72742,74220,48,48,49,49,49,401971811,436779314,453089989,482486261,493329320,352,321,324,331,304,5899,6088,6257,6633,6647,12.4,12.6,12.7,12.4,12.4,Central West
104,46213,46790,46878,46856,49051,51,51,51,52,51,241650503,261640315,257905760,269635721,282018024,377,364,365,379,330,5229,5592,5502,5755,5749,16.1,15.9,16.0,15.4,15.5,Coffs Harbour - Grafton
105,35241,36876,36569,37233,37883,48,48,48,48,48,215384463,244333236,232522957,247669812,253137332,333,318,317,306,281,6112,6626,6358,6652,6682,11.2,11.8,11.7,11.9,11.2,Far West and Orana
106,84851,88431,88744,88316,90602,47,47,47,47,47,439622075,484524906,498187067,512037613,496870494,272,262,267,263,244,5181,5479,5614,5798,5484,12.0,11.7,11.7,11.9,11.9,Hunter Valley exc Newcastle
107,97973,100286,101109,103480,107979,47,47,47,47,46,491657809,544164773,593962833,621687554,653636494,377,382,394,407,375,5018,5426,5874,6008,6053,12.9,12.9,13.0,13.0,13.2,Illawarra
108,68513,70369,70279,71003,73766,52,53,53,53,53,413627938,428571664,447723919,445903435,454600374,464,431,431,460,414,6037,6090,6371,6280,6163,18.9,18.7,18.6,18.5,18.4,Mid North Coast
109,42001,43205,43508,44225,45654,49,49,50,50,50,326933124,343075137,353348451,357801988,390512892,467,458,444,434,391,7784,7941,8121,8090,8554,15.6,15.6,15.4,15.3,15.3,Murray
110,61760,64193,63238,63982,64710,49,49,49,50,49,426680813,464758271,472095189,476650262,485012621,381,372,391,394,370,6909,7240,7465,7450,7495,13.8,14.0,14.5,14.5,14.1,New England and North West
111,128778,132451,133168,132751,137547,46,46,47,47,47,765168108,823159311,878731381,979926617,939039819,322,334,345,367,347,5942,6215,6599,7382,6827,13.0,13.1,13.1,13.2,13.6,Newcastle and Lake Macquarie
112,83015,84890,85230,87743,91794,50,50,51,51,51,593288391,618492214,646607441,694650597,735945162,455,423,430,434,389,7147,7286,7587,7917,8017,17.1,17.1,17.2,16.9,17.1,Richmond - Tweed
113,53133,55247,55556,56307,58405,48,48,48,48,48,388842063,426169130,438429503,436079842,445436187,438,407,409,421,378,7318,7714,7892,7745,7627,12.6,12.9,12.6,12.5,12.2,Riverina
114,48923,50019,50516,52319,55067,52,52,53,53,53,415568962,432594885,457248078,495360281,518293482,515,506,508,534,485,8494,8649,9052,9468,9412,18.3,18.2,18.2,18.1,18.3,Southern Highlands and Shoalhaven
115,97493,100309,102133,105242,110856,47,47,47,47,46,851679134,897973025,959237828,1062885021,1128186472,491,494,507,540,509,8736,8952,9392,10099,10177,14.9,15.2,15.2,15.2,15.8,Sydney - Baulkham Hills and Hawkesbury
116,82781,88400,91509,95760,104788,42,42,42,41,41,103619775,124501149,146864029,167979535,166515528,167,164,164,153,130,1252,1408,1605,1754,1589,5.2,5.2,5.3,5.3,5.7,Sydney - Blacktown
117,108557,114652,119757,125862,139212,37,37,37,37,36,818122202,882595321,1031023754,1108694629,1369308425,332,340,318,311,265,7536,7698,8609,8809,9836,7.2,7.3,7.4,7.5,7.9,Sydney - City and Inner South
118,117468,122028,125230,128739,136567,42,42,42,42,42,2771885606,2987928822,3131161455,3555048245,3459895056,1099,1054,987,988,862,23597,24486,25003,27614,25335,17.6,17.8,17.5,17.5,17.8,Sydney - Eastern Suburbs
119,177535,184230,186967,191446,204267,43,43,43,43,43,923093741,996338995,1048295260,1130358283,1174855830,437,441,433,449,386,5200,5408,5607,5904,5752,11.2,11.3,11.1,11.0,11.3,Sydney - Inner South West
120,116353,120651,124950,128867,136583,42,42,42,42,42,1021083883,1141174404,1200221389,1403623994,1409588769,585,580,562,576,533,8776,9458,9606,10892,10320,12.4,12.5,12.5,12.5,13.1,Sydney - Inner West
121,196565,201532,204967,209524,218065,46,46,46,46,46,3944485894,4014652543,4243612901,4537599825,4378979488,1375,1300,1243,1220,1151,20067,19921,20704,21657,20081,21.8,21.7,21.4,21.3,21.5,Sydney - North Sydney and Hornsby
122,116640,120930,123150,125859,131538,46,46,46,46,46,1791241292,1860305462,1942927774,2200379102,2142920786,861,806,783,816,787,15357,15383,15777,17483,16291,18.8,18.7,18.5,18.4,18.6,Sydney - Northern Beaches
123,71617,75714,77016,79561,85633,45,44,44,44,44,197603082,231508420,257088543,286203680,307389697,175,169,173,167,154,2759,3058,3338,3597,3590,6.4,6.5,6.7,6.8,7.1,Sydney - Outer South West
124,98252,101872,103810,106416,112899,46,46,46,46,45,337393598,383522828,424011334,469702844,488984609,210,207,211,212,191,3434,3765,4084,4414,4331,8.2,8.4,8.3,8.5,8.7,Sydney - Outer West and Blue Mountains
125,126335,132422,136132,141262,150737,41,41,41,41,40,439197592,480993027,514550301,567280367,576497086,324,315,315,311,269,3476,3632,3780,4016,3825,9.5,9.4,9.3,9.3,9.6,Sydney - Parramatta
126,77027,79607,81795,83969,87881,45,45,45,45,44,804207218,843164084,898150682,975750312,975590982,801,777,744,756,690,10441,10592,10981,11620,11101,17.1,17.0,16.9,16.8,17.0,Sydney - Ryde
127,91278,96518,99829,104208,113191,43,42,43,42,42,279617330,323641565,356599188,404058109,435761711,255,264,278,281,246,3063,3353,3572,3877,3850,6.8,6.9,7.0,7.2,7.5,Sydney - South West
128,99379,101910,102150,103306,106418,46,46,47,47,46,804557690,870171688,940730535,1017036712,1038892798,461,461,475,508,497,8096,8539,9209,9845,9762,14.5,14.6,14.5,14.6,14.9,Sydney - Sutherland
201,49850,51918,52665,54304,56834,47,48,48,48,47,353537110,393051973,406877056,413245690,422909841,442,417,363,310,268,7092,7571,7726,7610,7441,13.9,14.1,14.0,14.0,14.3,Ballarat
202,51634,53036,53358,55102,57498,48,48,49,49,49,365397445,401272877,415927377,429425651,455897958,469,475,449,367,321,7077,7566,7795,7793,7929,14.7,14.9,15.0,15.1,15.3,Bendigo
203,91694,95553,97547,100510,106416,47,47,47,47,47,912861257,935882578,948252458,1021142562,1070146539,563,535,455,401,342,9956,9794,9721,10160,10056,15.9,16.0,16.2,16.2,16.3,Geelong
204,59804,61679,62705,64177,66614,50,50,50,50,50,391489206,427947991,434013617,453183955,463956579,470,459,405,357,306,6546,6938,6922,7061,6965,14.3,14.5,14.9,14.5,14.4,Hume
205,90108,92742,92133,94034,97815,50,50,51,51,50,610354780,625967418,640395526,657958059,691305806,533,504,463,387,341,6774,6750,6951,6997,7067,14.7,14.9,15.5,14.8,14.9,Latrobe - Gippsland
206,222847,234139,244151,254548,273207,38,38,38,38,37,3337503615,3452841332,3565785438,4012127377,4091785351,591,580,512,460,401,14977,14747,14605,15762,14977,12.7,12.6,12.5,12.5,12.9,Melbourne - Inner
207,168590,172528,174822,177672,183483,46,47,47,47,46,2806745169,3030726507,3094354437,3326162958,3368714134,1626,1565,1471,1387,1294,16648,17567,17700,18721,18360,23.6,23.8,23.8,23.9,24.4,Melbourne - Inner East
208,175703,181704,185066,189854,197833,45,45,46,46,46,2923342814,3054377705,3198797823,3500643326,3541191692,1170,1114,1012,942,851,16638,16810,17285,18439,17900,20.4,20.5,20.5,20.6,20.8,Melbourne - Inner South
209,162505,170273,174585,180154,189531,43,43,43,43,43,1132081937,1190617302,1218383132,1279741868,1369422384,470,431,369,321,279,6966,6992,6979,7104,7225,11.9,11.9,11.8,11.8,12.2,Melbourne - North East
210,101517,106516,109910,114304,121702,43,43,43,43,43,589054874,647616133,685364424,737207978,774188074,374,350,298,252,219,5803,6080,6236,6450,6361,10.8,11.1,11.1,11.0,11.3,Melbourne - North West
211,198848,203720,205019,209395,217264,46,46,46,46,46,1359334768,1419172201,1475844842,1548945167,1554849122,444,434,383,344,305,6836,6966,7199,7397,7156,13.4,13.5,13.6,13.6,13.9,Melbourne - Outer East
212,218234,230897,235647,246267,262785,43,43,43,43,43,1290509241,1405549851,1423002998,1495528901,1531969409,356,328,278,237,200,5913,6087,6039,6073,5830,11.0,11.1,11.0,11.1,11.4,Melbourne - South East
213,184383,198264,205519,216003,233386,40,40,40,40,40,702973668,770558820,803517819,858379616,921015815,244,232,194,162,137,3813,3887,3910,3974,3946,7.6,7.7,7.7,7.8,8.1,Melbourne - West
214,96435,99829,101324,104716,111255,48,48,48,48,48,918186068,984260883,1015550024,1106632227,1138584695,463,429,363,317,273,9521,9859,10023,10568,10234,15.2,15.3,15.2,15.2,15.7,Mornington Peninsula
215,51563,53309,53490,54700,56837,50,50,50,50,50,382441184,417374948,417265698,420734820,423572027,730,699,608,528,450,7417,7829,7801,7692,7452,15.3,15.3,15.3,14.7,15.4,North West
216,43435,45446,45373,45755,48460,49,49,49,49,49,318812067,338763088,340363015,370361756,367143305,541,495,433,395,310,7340,7454,7501,8094,7576,14.9,14.8,14.9,14.5,14.2,Shepparton
217,47578,49294,48997,48979,50396,49,49,50,50,50,383059729,419063811,407331255,408643895,428952167,693,679,598,527,445,8051,8501,8313,8343,8512,15.3,15.8,17.1,15.9,15.4,Warrnambool and South West
301,79136,82734,83754,85198,88826,46,46,47,47,47,554325177,592608182,629286708,716637594,718893362,308,289,258,241,209,7005,7163,7514,8411,8093,11.9,11.9,12.1,12.3,12.6,Brisbane - East
302,76692,79958,81044,82810,87048,44,43,44,43,43,414825434,455966940,504573667,530653842,551706687,330,311,280,246,207,5409,5703,6226,6408,6338,11.8,11.6,11.7,11.6,11.9,Brisbane - North
303,127781,133516,135752,138559,145176,41,41,41,41,41,876290073,949716906,1021254881,1092758389,1157018273,396,378,339,314,273,6858,7113,7523,7887,7970,12.8,12.7,12.7,12.8,13.4,Brisbane - South
304,78723,81145,81688,82443,84759,44,45,45,45,45,834108186,912993148,960740229,1003763657,1024609405,584,566,517,478,438,10595,11251,11761,12175,12089,16.5,16.2,16.4,16.6,16.9,Brisbane - West
305,103012,108176,111372,114151,121091,39,39,39,39,39,1273706905,1382394179,1546937961,1665747547,1739083501,413,410,376,365,323,12365,12779,13890,14592,14362,12.6,12.4,12.6,12.9,13.4,Brisbane Inner City
306,74718,79713,79862,81121,84238,47,47,47,47,47,463306519,510262935,553695246,542832234,545744956,386,354,302,257,221,6201,6401,6933,6692,6479,10.8,10.7,10.5,10.4,10.7,Cairns
307,44173,46427,46517,47257,48228,47,47,47,47,47,268360363,316467573,319003320,317988688,307060116,397,370,339,287,235,6075,6816,6858,6729,6367,13.9,13.4,13.4,13.5,13.3,Darling Downs - Maranoa
308,71647,77467,79123,78052,81569,45,44,44,45,44,329869825,393668394,413369228,411910686,383531589,214,194,170,142,115,4604,5082,5224,5277,4702,9.1,8.6,8.8,9.0,9.2,Central Queensland
309,180770,189081,192782,202319,216603,46,46,46,46,45,1745523093,1860042037,2064245018,2239297399,2266832401,310,298,273,241,202,9656,9837,10708,11068,10465,14.2,14.3,14.3,14.2,14.5,Gold Coast
310,77295,82082,83270,86357,91630,44,44,44,44,43,223275482,248066155,260057255,282392931,287022944,162,152,127,109,91,2889,3022,3123,3270,3132,7.5,7.3,7.3,7.2,7.5,Ipswich
311,80819,84695,84957,87728,93027,44,44,44,44,44,284465259,320088793,341067275,361524247,391132164,142,130,115,100,87,3520,3779,4015,4121,4205,7.2,7.2,7.4,7.5,8.0,Logan - Beaudesert
312,61529,67638,67437,66660,67336,44,43,43,44,44,401121634,473510378,506242128,423251604,392205920,299,225,203,165,133,6519,7001,7507,6349,5825,10.0,9.7,9.7,10.0,10.4,Mackay - Isaac - Whitsunday
313,64529,67411,67613,68945,72421,47,47,48,48,47,278298347,316673627,330147191,369486971,397998608,202,188,165,148,128,4313,4698,4883,5359,5496,10.8,10.8,10.8,10.9,11.4,Moreton Bay - North
314,63877,67003,68424,70526,74117,43,44,44,44,44,289472245,300469077,327252264,362925655,376940053,211,197,171,149,127,4532,4484,4783,5146,5086,9.6,9.3,9.5,9.5,9.9,Moreton Bay - South
315,20765,23027,22809,22779,23931,44,43,43,44,43,94456564,92051924,105334478,101164823,99552588,184,146,141,117,92,4549,3998,4618,4441,4160,6.6,6.5,6.9,7.4,7.0,Queensland - Outback
316,120006,124849,126910,131666,140091,49,49,49,49,49,1060473179,1146906806,1215451693,1310789884,1385808073,518,471,442,407,345,8837,9186,9577,9955,9892,18.7,18.5,18.3,18.1,18.4,Sunshine Coast
317,51939,54111,54163,55667,57385,46,46,46,46,46,337043451,370122931,422711766,425139475,415685292,300,277,256,231,202,6489,6840,7804,7637,7244,13.6,13.0,13.1,13.0,13.2,Toowoomba
318,75166,79644,79493,80128,83059,44,44,44,44,44,349134706,404930377,408442932,402761708,404208535,252,228,189,154,125,4645,5084,5138,5026,4867,8.4,8.2,8.2,8.4,8.7,Townsville
319,83673,85712,86044,86007,87679,50,50,50,51,51,419312283,453892655,468675616,469306902,469037616,351,340,296,262,231,5011,5296,5447,5457,5349,14.6,14.3,14.3,14.3,14.5,Wide Bay
401,127822,130905,133242,134841,138691,47,47,47,47,47,1848136441,1937225222,2021621284,2188503646,2206536207,887,838,742,712,659,14459,14799,15173,16230,15910,18.6,18.7,18.8,18.8,19.4,Adelaide - Central and Hills
402,117459,121790,124355,127420,131663,44,44,44,44,44,404893180,424737740,446383048,472816512,496280512,214,207,174,159,140,3447,3487,3590,3711,3769,8.2,8.3,8.3,8.3,8.8,Adelaide - North
