sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
101,24412,24507,24342,24368,24658,51,52,52,52,52,420875441,399133387,350881015,379352646,471521026,8148,7495,6366,6983,9081,17241,16287,14415,15568,19122,10.3,9.8,9.5,9.5,10.1,Capital Region
102,22097,22062,22162,22301,22782,47,47,47,47,47,474964190,496137579,498696878,532165566,560462913,11781,12360,12834,13500,13948,21495,22488,22502,23863,24601,7.7,7.6,7.6,7.7,7.8,Central Coast
103,23447,23309,23500,23722,24130,51,52,52,52,52,485810613,397720507,363055867,431361077,525960233,9038,7064,6080,7661,9657,20720,17063,15449,18184,21797,11.4,10.6,10.3,10.7,11.6,Central West
104,13911,13806,13788,13669,13890,50,51,51,52,52,194304481,203716410,185333252,214729196,242251862,7149,7140,6256,7728,8160,13968,14756,13442,15709,17441,10.5,10.2,10.0,10.2,10.5,Coffs Harbour - Grafton
105,12897,12871,12855,12776,13057,51,51,52,52,52,299303120,216530849,209032755,160725186,268420468,10498,8000,6175,6106,10123,23207,16823,16261,12580,20558,12.2,10.9,10.4,10.2,11.8,Far West and Orana
106,16974,16904,16821,16924,17445,50,50,50,50,50,248407653,241471647,217860346,222508871,246608983,6031,5829,5233,5375,6506,14635,14285,12952,13148,14136,6.2,5.8,5.7,5.8,6.2,Hunter Valley exc Newcastle
107,16179,16400,16725,16863,17428,45,46,46,46,46,320821194,348032801,362522404,389919413,413920421,9371,10055,10669,11349,11737,19829,21222,21675,23123,23750,5.9,5.9,6.0,6.0,6.2,Illawarra
108,20218,19769,19691,19562,19816,51,52,52,53,53,294518907,284522885,278538747,303804354,334433874,6800,6500,6602,7296,8088,14567,14392,14145,15530,16877,10.4,10.0,10.0,10.0,10.3,Mid North Coast
109,13136,13134,13254,13254,13489,51,51,52,52,52,276538766,245611066,261592410,300542940,386363179,9212,8824,9622,10957,13478,21052,18700,19737,22676,28643,10.8,10.4,10.7,10.8,11.6,Murray
110,24096,24003,24128,23913,23907,52,52,52,53,53,325204005,330829503,238302086,223478322,350845538,5740,5236,3150,3158,5035,13496,13783,9877,9345,14675,12.1,11.6,10.7,10.5,11.7,New England and North West
