sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
101,7332,7547,7756,8010,8463,60,61,61,61,61,211503912,229252271,239717044,257774363,278883415,23762,24486,25194,26119,26990,28847,30377,30907,32182,32953,3.8,3.9,4.1,4.2,4.4,Capital Region
102,6081,6000,6105,6119,6158,59,59,59,59,59,131730369,137897752,143250174,151273300,160634896,14621,15265,15031,16070,16642,21663,22983,23464,24722,26086,1.9,1.9,1.9,1.9,1.9,Central Coast
103,2679,2640,2702,2784,2761,58,58,58,58,58,58415556,59112540,62922768,71102849,75390251,12956,14452,13908,13935,15736,21805,22391,23287,25540,27305,1.2,1.2,1.2,1.3,1.3,Central West
104,2892,2886,2851,2782,2828,58,58,58,59,59,67884855,69686673,72219767,71598142,77422714,17421,17751,17549,18461,19305,23473,24146,25331,25736,27377,2.5,2.5,2.5,2.4,2.4,Coffs Harbour - Grafton
105,1174,1159,1147,1200,1314,57,57,57,57,57,23874206,25283038,24948435,27283001,30232088,10509,10858,10660,11436,11728,20336,21815,21751,22736,23008,0.9,0.8,0.9,0.9,1.1,Far West and Orana
106,4416,4347,4406,4509,4743,58,58,58,58,58,101212245,101960400,111117299,115708920,133859779,17074,17864,18124,18391,18933,22919,23455,25220,25662,28223,1.6,1.6,1.6,1.7,1.8,Hunter Valley exc Newcastle
107,3964,4151,4137,4338,4562,58,58,58,58,58,87612792,95768426,101241732,108897990,123007147,13361,13953,13949,13975,15990,22102,23071,24472,25103,26963,1.3,1.3,1.3,1.3,1.4,Illawarra
108,4461,4435,4419,4371,4567,59,59,59,59,59,103170109,107948982,113381976,118796928,128655889,17280,18524,18661,19862,20162,23127,24340,25658,27178,28171,2.7,2.7,2.7,2.7,2.8,Mid North Coast
109,1868,1871,1904,2013,2071,59,58,58,58,58,36867372,41497436,41407599,48829868,53145118,12625,15302,14619,15267,15467,19736,22179,21748,24257,25662,1.4,1.4,1.4,1.6,1.6,Murray
110,2308,2334,2389,2359,2371,58,58,58,58,58,48159046,52953150,53746654,55610953,59043837,12228,14122,12784,14146,14403,20866,22688,22498,23574,24903,1.2,1.2,1.2,1.2,1.3,New England and North West
