sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,sa4_name16
101,114127,116039,116353,117643,120516,46,46,46,47,47,5407097436,5730751971,5926875846,6150990930,6514396527,38875,40510,41803,42842,44110,47378,49386,50939,52285,54054,Capital Region
102,162218,164004,164681,166919,171582,44,44,45,45,45,7483569078,7957132634,8363718300,8732080140,9216715404,37697,39636,41432,42500,43677,46133,48518,50787,52313,53716,Central Coast
103,101229,102754,103174,103856,105447,44,44,45,45,45,4783940715,5077042561,5231792723,5445560789,5705895553,38369,40319,41239,42258,43834,47259,49410,50708,52434,54112,Central West
104,66588,66261,66224,67299,68954,47,47,47,48,47,2530052897,2663128107,2792750080,2931050586,3120092236,30889,32650,34428,35905,37017,37996,40191,42171,43553,45249,Coffs Harbour - Grafton
105,54845,55736,55784,56124,57018,44,44,44,44,44,2494770046,2608667467,2701145474,2733830640,2951555224,37831,39530,40876,41783,43739,45488,46804,48422,48711,51765,Far West and Orana
106,126850,129949,130384,131064,133485,42,42,43,43,43,6510259717,7194920147,7527653798,7859989465,7844771945,40401,43114,44553,44897,45556,51323,55367,57734,59971,58769,Hunter Valley exc Newcastle
107,142678,144226,145113,148588,152804,42,43,43,43,43,7233970006,7715296341,8044706131,8467503462,8888330268,40868,42887,44323,45527,46554,50701,53494,55438,56986,58168,Illawarra
108,97223,97431,96703,98016,100948,48,49,49,49,49,3679753551,3895759254,4062694009,4211720808,4470833532,30499,32215,33955,34946,35997,37849,39985,42012,42970,44288,Mid North Coast
109,60658,61114,61315,62126,63472,45,45,46,46,46,2640702830,2755611620,2866826757,3002135289,3232791515,36533,38078,39281,40539,42086,43534,45090,46756,48323,50933,Murray
110,90488,91626,91702,92354,93655,45,45,45,45,45,3758516855,4039368359,4116347187,4226375110,4525476991,35069,36903,37892,38816,40516,41536,44085,44888,45763,48321,New England and North West
111,185032,187291,187843,188974,193136,42,42,43,43,43,9550467704,10267795328,10723837568,11028601870,11388879386,41334,43933,45829,46367,47165,51615,54823,57089,58360,58968,Newcastle and Lake Macquarie
112,118839,119116,119671,122610,126360,46,47,47,47,47,4683340930,4949459160,5215691961,5574444419,5905804770,31888,33523,35189,36482,37275,39409,41552,43584,45465,46738,Richmond - Tweed
113,81472,82086,82206,83017,84883,43,43,44,44,44,3694014025,3826305770,3993841209,4187365174,4444157755,38297,39546,41253,42589,44408,45341,46613,48583,50440,52356,Riverina
114,70664,71131,71163,72916,75343,48,48,48,49,49,3110953998,3270964901,3414560163,3616624482,3837902321,33738,35461,36787,37727,38935,44025,45985,47982,49600,50939,Southern Highlands and Shoalhaven
115,126218,128195,130086,133581,138910,44,44,45,45,45,7865325711,8273605173,8734472490,9185830946,9774887058,45378,47446,49481,50696,51858,62315,64539,67144,68766,70368,Sydney - Baulkham Hills and Hawkesbury
116,151879,154868,158514,163797,172130,39,39,39,39,39,7246628907,7736796044,8242774945,8720148522,9355891996,43729,45650,47319,48248,49089,47713,49957,52000,53238,54354,Sydney - Blacktown
117,169203,173533,179409,186059,198387,34,34,34,34,34,10399402591,11118979157,12022134229,13028253912,14440729969,45049,47142,49636,51341,52586,61461,64074,67010,70022,72791,Sydney - City and Inner South
118,155727,158622,163155,167266,173159,39,39,39,39,39,13323677659,14016500002,15003970671,16348104076,17233080587,50649,53273,55639,57798,59999,85558,88364,91961,97737,99522,Sydney - Eastern Suburbs
119,271092,274274,277224,284352,297195,40,41,41,41,40,12739333558,13452836320,14138682805,14877996809,15862851142,38244,40040,41638,42504,43307,46993,49049,51001,52322,53375,Sydney - Inner South West
120,156817,159250,163887,168405,175406,39,40,40,40,40,10157405160,10797696758,11510179311,12283457456,13040539571,46317,48683,50785,52015,53105,64772,67803,70232,72940,74345,Sydney - Inner West
121,237118,240889,245591,251309,259748,44,44,44,44,44,21053450575,21782059513,23105694772,24526624210,25630560095,52196,54776,57027,58486,60040,88789,90424,94082,97595,98675,Sydney - North Sydney and Hornsby
122,150878,154594,157674,160118,165513,43,43,44,44,44,10542010597,11131537151,11840499933,12744397096,13579679750,45056,47085,49222,51301,53061,69871,72005,75095,79594,82046,Sydney - Northern Beaches
123,125003,127111,128278,131921,137286,40,41,41,41,41,6162647194,6591720984,6902519771,7249319586,7734296076,43692,45597,47172,48242,49375,49300,51858,53809,54952,56337,Sydney - Outer South West
