ogc_fid,sa4_code,sa4_name,life_expectancy_m_2008_10,life_expectancy_f_2008_10,life_expectancy_p_2008_10,life_expectancy_m_2009_11,life_expectancy_f_2009_11,life_expectancy_p_2009_11,life_expectancy_m_2010_12,life_expectancy_f_2010_12,life_expectancy_p_2010_12,life_expectancy_m_2011_13,life_expectancy_f_2011_13,life_expectancy_p_2011_13,life_expectancy_m_2012_14,life_expectancy_f_2012_14,life_expectancy_p_2012_14,life_expectancy_m_2013_15,life_expectancy_f_2013_15,life_expectancy_p_2013_15
16,101,Capital Region,78.7,83.5,81.0,78.9,83.9,81.3,79.0,84.1,81.5,79.4,84.4,81.8,79.6,84.3,81.9,79.3,84.1,81.7
1,102,Central Coast,78.7,83.4,81.0,78.7,83.5,81.0,78.7,83.3,80.9,78.6,82.8,80.6,78.6,82.9,80.7,79.0,82.9,80.9
17,103,Central West,77.8,82.4,80.0,77.9,82.6,80.2,78.1,82.6,80.3,78.1,83.5,80.8,78.5,84.1,81.2,78.3,84.3,81.2
18,104,Coffs Harbour - Grafton,77.8,84.3,81.0,77.9,84.3,81.0,78.1,83.9,80.9,78.1,83.1,80.6,77.9,83.0,80.4,78.4,83.2,80.7
19,105,Far West and Orana,76.0,82.3,79.1,76.2,81.8,79.0,76.4,81.6,78.9,76.2,81.3,78.7,76.4,81.4,78.8,76.6,81.3,78.9
20,106,Hunter Valley exc Newcastle,78.4,83.2,80.7,78.4,83.3,80.8,78.6,83.6,81.0,79.1,84.0,81.5,79.2,83.4,81.2,79.7,83.9,81.8
21,107,Illawarra,79.9,83.9,81.9,80.1,83.5,81.7,80.4,84.0,82.1,80.4,83.5,81.9,80.8,84.0,82.4,80.4,83.8,82.1
22,108,Mid North Coast,77.7,83.6,80.6,78.2,83.2,80.6,78.0,83.3,80.6,78.4,83.6,80.9,78.2,83.5,80.8,78.5,83.4,80.9
23,109,Murray,78.6,83.0,80.8,78.3,83.3,80.7,77.8,82.7,80.2,77.9,83.0,80.4,78.1,82.5,80.2,78.4,82.5,80.4
24,110,New England and North West,77.8,82.9,80.3,78.0,82.9,80.3,78.2,82.7,80.4,77.8,82.5,80.1,77.9,83.0,80.4,77.6,83.4,80.5
25,111,Newcastle and Lake Macquarie,79.1,83.4,81.2,79.2,83.4,81.3,79.4,83.6,81.4,79.1,83.4,81.2,79.2,83.6,81.4,79.1,83.8,81.4
26,112,Richmond - Tweed,78.4,84.0,81.1,78.5,84.1,81.3,78.6,83.8,81.1,78.5,83.7,81.0,78.7,83.7,81.2,78.9,83.8,81.3
27,113,Riverina,78.7,83.5,81.1,79.1,83.3,81.1,79.1,84.0,81.5,78.7,83.9,81.2,78.7,84.3,81.4,78.9,83.3,81.1
28,114,Southern Highlands and Shoalhaven,78.7,83.4,81.0,79.2,82.9,81.0,78.9,83.1,81.0,78.9,83.3,81.0,78.9,83.6,81.2,78.9,83.7,81.3
2,115,Sydney - Baulkham Hills and Hawkesbury,82.1,85.8,83.9,82.7,86.1,84.4,82.9,86.4,84.6,83.4,86.8,85.1,83.7,87.0,85.3,83.8,87.2,85.5
3,116,Sydney - Blacktown,78.5,82.9,80.7,78.9,83.6,81.2,79.2,83.4,81.2,79.5,83.6,81.5,79.7,83.7,81.7,80.1,83.6,81.8
4,117,Sydney - City and Inner South,78.8,84.1,81.4,79.0,84.5,81.7,79.3,84.5,81.8,79.0,84.6,81.8,79.3,84.5,81.8,79.2,84.5,81.8
5,118,Sydney - Eastern Suburbs,81.6,85.4,83.5,82.0,85.3,83.6,82.7,85.6,84.1,82.7,85.7,84.1,82.9,85.7,84.2,82.8,86.2,84.5
6,119,Sydney - Inner South West,80.8,85.4,83.0,80.9,85.6,83.2,81.4,85.8,83.6,81.4,85.6,83.5,82.0,85.9,83.9,81.7,85.8,83.7
7,120,Sydney - Inner West,80.3,85.1,82.6,81.2,85.5,83.3,81.8,85.3,83.5,82.3,85.8,84.0,82.6,86.4,84.4,82.7,86.6,84.6
8,121,Sydney - North Sydney and Hornsby,83.6,86.3,84.9,83.9,86.5,85.2,84.1,86.8,85.4,84.0,87.0,85.4,84.4,87.4,85.8,84.9,87.4,86.1
