id,ogc_fid,sa4_code16,life_expectancy_m_2010_12,life_expectancy_f_2010_12,life_expectancy_p_2010_12,life_expectancy_m_2011_13,life_expectancy_f_2011_13,life_expectancy_p_2011_13,life_expectancy_m_2012_14,life_expectancy_f_2012_14,life_expectancy_p_2012_14,life_expectancy_m_2013_15,life_expectancy_f_2013_15,life_expectancy_p_2013_15,life_expectancy_m_2014_16,life_expectancy_f_2014_16,life_expectancy_p_2014_16,life_expectancy_m_2015_17,life_expectancy_f_2015_17,life_expectancy_p_2015_17,sa4_name
1,1,101,79.0,84.0,81.5,79.3,84.3,81.7,79.5,84.3,81.8,79.2,84.0,81.5,79.0,83.7,81.3,78.7,83.9,81.3,Capital Region
2,2,102,78.7,83.3,80.9,78.6,82.7,80.6,78.6,82.8,80.6,78.9,82.8,80.8,79.0,83.4,81.2,79.2,83.5,81.3,Central Coast
3,3,103,78.2,82.6,80.3,78.0,83.5,80.7,78.4,84.1,81.2,78.1,84.3,81.1,78.1,83.7,80.8,77.6,83.8,80.6,Central West
4,4,104,78.1,83.9,80.9,78.1,83.2,80.6,77.9,83.1,80.4,78.4,83.2,80.8,78.4,83.5,80.9,78.7,84.0,81.3,Coffs Harbour - Grafton
5,5,105,76.3,81.6,78.9,76.0,81.2,78.5,76.2,81.2,78.6,76.3,81.2,78.7,76.1,81.4,78.7,76.4,81.5,78.9,Far West and Orana
6,6,106,78.7,83.6,81.1,79.1,84.0,81.5,79.1,83.4,81.2,79.6,84.0,81.7,79.6,83.1,81.3,80.0,83.4,81.6,Hunter Valley exc Newcastle
7,7,107,80.4,84.0,82.2,80.4,83.5,81.9,80.7,84.0,82.3,80.4,83.7,82.0,80.0,84.0,81.9,79.9,84.1,81.9,Illawarra
8,8,108,78.0,83.2,80.5,78.4,83.6,80.9,78.1,83.4,80.7,78.5,83.3,80.8,78.1,82.9,80.4,78.4,83.9,81.1,Mid North Coast
9,9,109,77.7,82.7,80.2,77.8,83.0,80.3,78.0,82.5,80.2,78.3,82.5,80.3,78.2,82.2,80.2,77.8,83.0,80.4,Murray
10,10,110,78.2,82.7,80.4,77.7,82.4,80.0,77.8,82.9,80.3,77.5,83.4,80.3,77.8,83.4,80.5,77.7,83.5,80.5,New England and North West
