sa4_code16,area_holding_tot_area_ha_a,cotton_app_rt_ml_ha,cotton_area_wtrd_ha,cotton_tot_area_ha_e,cotton_vol_app_ml,fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha,fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha,fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha,fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml,grapevines_app_rt_ml_ha,grapevines_area_wtrd_ha,grapevines_tot_area_ha,grapevines_vol_app_ml,groundwtr_eg_bores_springs_wells_tot_vol_used_ml,irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml,num_agri_bsns_num,num_agri_bsns_irrigating_num,nurseries_cut_floers_cultivated_turf_app_rt_ml_ha,nurseries_cut_floers_cultivated_turf_area_wtrd_ha,nurseries_cut_floers_cultivated_turf_tot_area_ha,nurseries_cut_floers_cultivated_turf_vol_app_ml,oth_agri_wtr_use_vol_used_ml_b,oth_broadacre_crp_app_rt_ml_ha,oth_broadacre_crp_area_wtrd_ha,oth_broadacre_crp_tot_area_ha,oth_broadacre_crp_vol_app_ml,oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha,oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha,oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha,oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml,oth_crp_nec_app_rt_ml_ha,oth_crp_nec_area_wtrd_ha,oth_crp_nec_vol_app_ml,oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml,pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c,pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml,pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha,pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha,recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml,rice_app_rt_ml_ha,rice_area_wtrd_ha,rice_tot_area_ha,rice_vol_app_ml,sugar_cane_app_rt_ml_ha,sugar_cane_area_wtrd_ha,sugar_cane_tot_area_ha_f,sugar_cane_vol_app_ml,tot_app_rt_ml_ha,tot_area_wtrd_ha,tot_vol_app_ml,tot_vol_app_used_incl_oth_agri_wtr_ml,tot_vol_wtr_all_srcs_ml,town_reticulated_mns_supply_tot_vol_used_ml,vegetables_human_consumption_app_rt_ml_ha,vegetables_human_consumption_area_wtrd_ha,vegetables_human_consumption_tot_area_ha,vegetables_human_consumption_vol_app_ml,wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml,wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml,sa4_name16
101,2064658.21,,,,,1.46,696.74,1754.8,1020.14,0.97,,409.39,267.23,6689.43,380457.6,,,11166.68,78.32,2544.52,148.77,3.08,87.46,96.98,,17912.16,,,60534.03,,,,102835.07,,1.43,,,,2.33,,,,,,2.61,2652.88,1682178.06,6927.76,18437.83,6071.57,103.55,,,,,,,,,2.23,5034.49,11235.83,29147.99,29147.99,558.19,1.7,54.3,78.02,92.57,410.97,11917.88,9467.99,7904.07,1563.91,Capital Region
102,4520.47,,,,,3.97,372.95,429.6,1481.92,,,,,1132.23,312583.14,,,,,228.81,138.85,6.33,335.46,366.18,2124.45,674.34,,,,,,,,,,,,,0.47,,,,,,,,1160.9,,,,,,,,,,,,,3.15,1615.8,5084.32,5758.66,5758.66,108.61,1.71,820.87,871.32,,,1928.9,2588.92,1612.69,,Central Coast
103,4881915.14,9.96,5412.98,9572.89,53890.92,1.82,995.53,1375.74,1814.82,1.75,2008.03,2186.02,3517.9,34306.63,4291125.54,,,1458252.81,21023.47,3993.72,363.2,5.34,106.05,110.12,566.12,24880.01,2.53,765.8,210934.3,1938.69,5.9,706.99,954317.64,,0.63,43.44,27.15,0.21,3.88,7625.82,29624.05,3.91,1452.22,5679.39,2.65,7352.48,3002445.28,19499.83,77003.91,9529.53,107.84,11.67,,,,,,,,4.55,28587.93,130075.89,154955.89,154955.89,938.78,3.39,1856.52,2035.98,6291.72,15352.13,21881.18,82369.12,79695.5,2673.63,Central West
104,304219.53,,,,,2.14,1271.89,1703.3,2720.85,,,,,416.59,,,,,,739.29,165.7,0.72,29.39,55.69,21.27,2844.94,,,271.39,,,,,,0.01,,,,,,,,,,0.5,,214792.53,,,105.32,,,,,,,453.25,8092.56,,1.41,2138.55,3025.52,5870.46,5870.46,153.29,0.86,131.64,169.63,113.33,,2821.52,1706.04,,1337.99,Coffs Harbour - Grafton
105,26610049.79,9.45,36265.43,47808.48,342797.39,3.2,122.27,176.0,391.67,,,141.96,,60696.49,4975481.49,,,3542782.32,32405.07,2978.91,159.45,3.91,89.56,92.45,349.77,26471.83,4.26,582.98,380415.43,,1.0,,995703.68,,,,,,5.02,916.77,4601.8,0.91,,,3.27,3096.63,23362637.15,10118.14,45229.39,,3148.7,,,,,,,,,8.66,42068.36,364340.66,390812.49,390812.49,,6.37,487.54,493.25,,66726.0,73782.66,186428.99,163121.34,23307.65,Far West and Orana
106,981538.15,,,,,,,,,1.37,2283.4,2618.24,,11112.66,1447740.8,,,,,1191.26,357.39,2.89,171.99,180.85,497.48,9882.14,,,1958.35,,,,10248.54,,,,,,4.24,2548.97,10810.1,,,,2.02,15727.29,853218.68,31791.43,9048.61,2641.63,,,,,,,,,,2.3,21907.19,50300.31,60182.45,60182.45,1017.28,1.62,,,,,2975.5,39940.98,36393.27,3547.71,Hunter Valley exc Newcastle
107,,,,,,1.95,24.23,26.59,47.27,,,,,119.01,,,,,,78.82,5.67,1.19,,,,493.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,38.16,66.14,559.88,559.88,117.33,1.38,11.81,11.74,16.34,,283.36,40.18,40.18,,Illawarra
108,327702.43,,,,,2.22,1322.59,2223.3,2935.46,,,,,3281.6,781579.62,,,11360.27,37.96,999.99,198.25,8.67,276.7,295.76,2397.99,5493.03,,,,,,,,,,,,,0.3,52.94,15.88,1.15,,,2.99,2112.45,262131.36,6324.79,,2408.8,,,,,,,,,,2.75,4586.46,12590.83,18083.86,18083.86,,,90.42,95.1,,,3417.48,9424.2,6622.91,2801.29,Mid North Coast
109,8955433.61,10.17,7959.09,7959.09,80983.13,7.24,4619.65,4589.36,33438.4,7.22,7485.27,7879.64,54009.07,40641.68,23710400.54,,,22004781.56,305125.79,2504.88,1179.68,3.5,,54.09,,26185.24,1.42,15502.06,232173.48,22028.69,1.82,60783.4,781570.28,110448.3,1.18,539.31,636.99,,2.5,20290.4,50708.95,2.67,5796.99,15504.08,2.09,89222.09,6925844.14,186717.79,68646.36,15157.89,,11.22,44606.84,44606.84,500283.76,,,,,4.12,259441.12,1068341.79,1094527.03,1094527.03,,5.17,2608.22,3052.78,13485.33,695551.71,19171.89,331433.01,330171.21,1261.8,Murray
110,6598270.76,7.18,115165.58,213654.23,826609.3,6.05,1656.45,1717.29,10028.23,0.55,,57.62,,141479.37,11323466.7,9279784.94,7943.24,7077162.62,38776.98,4495.24,543.12,1.78,5.36,52.32,9.56,44956.05,1.36,3804.3,512929.3,5176.79,2.66,14929.36,1012280.38,39701.06,2.29,31.76,72.6,,2.13,6473.98,13762.3,1.09,2045.46,2236.21,1.36,2604.69,3764947.82,3537.21,51065.43,6608.77,,1.83,12.57,12.57,23.05,10.0,,,,6.15,148262.01,911406.09,956362.14,956362.14,394.31,4.25,,,,63987.52,239323.46,505068.36,487174.94,17893.42,New England and North West
