sa4_code16,farm_mgmt_data_provrs_relp_bsns_cntr_employee_num_n,farm_mgmt_data_provrs_relp_bsns_oth_num_n,farm_mgmt_data_provrs_relp_bsns_owner_operator_num_n,farm_mgmt_sex_provr_f_num_n,farm_mgmt_sex_provr_m_num_n,farm_mgmt_sex_provr_oth_num_n,sa4_name16
101,,60.0,2315.0,,1981.0,,Capital Region
102,,,,100.0,,,Central Coast
103,,,3694.0,,3313.0,,Central West
104,8.0,5.0,,183.0,,,Coffs Harbour - Grafton
105,,89.0,2708.0,,2162.0,,Far West and Orana
106,89.0,13.0,1053.0,,,,Hunter Valley exc Newcastle
107,,,29.0,48.0,,,Illawarra
108,19.0,13.0,,,,,Mid North Coast
109,,,2251.0,,2022.0,,Murray
110,,176.0,3995.0,,3218.0,,New England and North West
111,,,,,,,Newcastle and Lake Macquarie
112,42.0,,1389.0,,1120.0,,Richmond - Tweed
113,,,3190.0,467.0,2967.0,,Riverina
114,22.0,4.0,,92.0,,,Southern Highlands and Shoalhaven
115,,13.0,,101.0,237.0,,Sydney - Baulkham Hills and Hawkesbury
116,,,,8.0,48.0,,Sydney - Blacktown
119,,,,,,,Sydney - Inner South West
121,,,,,,,Sydney - North Sydney and Hornsby
122,,,13.0,,,,Sydney - Northern Beaches
123,,,,83.0,,,Sydney - Outer South West
124,,,,,,,Sydney - Outer West and Blue Mountains
127,36.0,7.0,,,,,Sydney - South West
201,,,1043.0,,,,Ballarat
202,61.0,16.0,1026.0,181.0,879.0,,Bendigo
203,26.0,58.0,,122.0,,,Geelong
204,118.0,77.0,2596.0,,2185.0,,Hume
205,25.0,45.0,3445.0,,2745.0,,Latrobe - Gippsland
208,,,9.0,,9.0,,Melbourne - Inner South
209,6.0,,132.0,21.0,122.0,,Melbourne - North East
210,9.0,,,17.0,92.0,,Melbourne - North West
211,48.0,33.0,,96.0,,,Melbourne - Outer East
212,31.0,72.0,,191.0,,,Melbourne - South East
213,5.0,,,36.0,150.0,,Melbourne - West
214,,,,86.0,,,Mornington Peninsula
215,,148.0,3951.0,,3661.0,26.0,North West
216,46.0,52.0,2099.0,,1723.0,,Shepparton
217,21.0,55.0,3642.0,,3047.0,,Warrnambool and South West
301,9.0,,,6.0,,,Brisbane - East
302,,,,,,,Brisbane - North
303,,,,,13.0,,Brisbane - South
304,,,,,,,Brisbane - West
306,,57.0,1205.0,,1027.0,,Cairns
307,,,4289.0,,3447.0,,Darling Downs - Maranoa
308,,87.0,2203.0,,1565.0,,Central Queensland
309,,,,,,,Gold Coast
310,,16.0,,168.0,,,Ipswich
311,15.0,71.0,260.0,90.0,255.0,,Logan - Beaudesert
312,,,1787.0,,1543.0,,Mackay - Isaac - Whitsunday
313,15.0,,,72.0,,,Moreton Bay - North
314,,,20.0,,,,Moreton Bay - South
315,,,1501.0,586.0,1129.0,6.0,Queensland - Outback
316,,15.0,,117.0,,,Sunshine Coast
317,,,,61.0,,,Toowoomba
318,93.0,75.0,1139.0,,1026.0,,Townsville
319,,83.0,2440.0,,1968.0,,Wide Bay
401,30.0,11.0,385.0,,354.0,,Adelaide - Central and Hills
402,,,278.0,,,,Adelaide - North
403,,,,,,,Adelaide - South
405,,77.0,2528.0,,2266.0,,Barossa - Yorke - Mid North
406,28.0,34.0,1219.0,,1082.0,,South Australia - Outback
407,,,4008.0,,3677.0,,South Australia - South East
501,112.0,24.0,1382.0,,1223.0,,Bunbury
502,7.0,,,12.0,,,Mandurah
504,,,,37.0,,,Perth - North East
505,,,,17.0,,,Perth - North West
506,11.0,5.0,,,,,Perth - South East
507,11.0,,55.0,22.0,44.0,,Perth - South West
509,,,4443.0,,4007.0,,Western Australia - Wheat Belt
510,,,,,,,Western Australia - Outback (North)
511,,61.0,1378.0,,1172.0,,Western Australia - Outback (South)
601,,,,18.0,,,Hobart
602,,50.0,810.0,,731.0,,Launceston and North East
603,,,414.0,,374.0,,South East
604,,20.0,846.0,,710.0,,West and North West
701,,,91.0,30.0,76.0,,Darwin
702,,,163.0,81.0,149.0,,Northern Territory - Outback
801,,,27.0,9.0,25.0,,Australian Capital Territory
