sa4_code11,avg_age_f,avg_age_female_f,avg_age_male_f,avg_years_farming_f,bisexfemaleast_f,bisexmaleast_f,bsconemp_ast_f,bsother_ast_f,bsowner_ast_f,srcinc_farm_avg_f,srcinc_govt_avg_f,srcinc_notstated_avg_f,srcinc_off_farm_avg_f,srcinc_other_avg_f,sa4_name11
101,58.3,56.94,58.78,36.67,556.32,2024.17,79.83,90.62,2369.57,82.08,0.29,0.13,13.37,4.13,Capital Region
102,56.48,53.05,57.33,30.5,49.39,140.19,12.02,5.81,173.83,83.04,,,11.07,,Central Coast
103,57.79,56.48,58.19,37.32,748.05,3108.35,104.22,131.78,3573.62,84.16,0.32,0.31,11.83,3.37,Central West
104,57.91,57.21,58.24,34.95,175.3,588.53,19.36,17.94,727.28,74.62,0.55,1.14,17.23,6.46,Coffs Harbour - Grafton
105,56.65,55.64,56.98,37.57,638.79,2157.88,74.29,100.15,2596.09,85.95,0.6,0.26,9.97,3.22,Far West and Orana
106,59.2,56.85,60.16,35.94,291.64,819.81,79.38,48.3,973.19,74.61,0.56,0.62,19.27,4.95,Hunter Valley exc Newcastle
107,56.46,59.0,55.95,32.56,12.1,49.25,4.83,6.16,52.91,75.79,0.0,,16.34,,Illawarra
108,58.26,57.48,58.68,33.46,273.34,698.4,25.16,41.36,888.8,74.67,0.75,0.51,17.82,6.25,Mid North Coast
109,55.99,54.56,56.27,36.09,423.94,1864.0,100.72,50.32,2109.08,85.95,0.29,0.37,10.12,3.28,Murray
110,57.19,56.23,57.51,37.2,1031.67,3287.55,156.83,127.6,4006.09,82.44,0.65,0.18,13.05,3.67,New England and North West
111,57.27,54.77,58.79,26.53,10.94,20.16,,,25.26,67.38,,0.0,31.3,,Newcastle and Lake Macquarie
112,59.4,59.1,59.61,34.19,345.41,1264.49,48.09,46.7,1501.3,73.8,0.4,0.54,20.31,4.95,Richmond - Tweed
113,56.03,55.54,56.14,35.97,574.56,2732.01,121.62,95.39,3040.99,85.7,0.33,0.56,10.75,2.66,Riverina
114,58.79,57.44,59.29,27.87,101.61,243.07,28.07,16.29,299.24,69.07,0.01,0.2,23.54,7.18,Southern Highlands and Shoalhaven
