sa4_code16,farm_mgmt_age_f_provr_avg_age_yrs,farm_mgmt_age_m_provr_avg_age_yrs,farm_mgmt_age_provr_avg_age_all_p_yrs,farm_mgmt_data_provrs_relp_bsns_cntr_employee_num_n,farm_mgmt_data_provrs_relp_bsns_oth_num_n,farm_mgmt_data_provrs_relp_bsns_owner_operator_num_n,farm_mgmt_sex_provr_f_num_n,farm_mgmt_sex_provr_m_num_n,farm_mgmt_sex_provr_oth_num_n,farm_mgmt_srcs_inc_genertd_by_agri_prod_holding_avg_perc_pr100_,farm_mgmt_srcs_inc_grants_gov_trfs_rlf_fund_avg_perc_pr100_,farm_mgmt_srcs_inc_off_farm_empy_bsns_activ_avg_perc_pr100_,farm_mgmt_srcs_inc_oth_fund_srcs_avg_perc_pr100_,farm_mgmt_yrs_involved_farming_avg_yrs_yrs,sa4_name16
101,57.0,60.0,59.0,,60.0,2315.0,,1981.0,,82.0,0.0,,6.0,37.0,Capital Region
102,54.0,57.0,56.0,,,,100.0,,,88.0,,8.0,1.0,,Central Coast
103,56.0,58.0,58.0,,,3694.0,,3313.0,,84.0,1.0,12.0,,39.0,Central West
104,60.0,61.0,60.0,8.0,5.0,,183.0,,,75.0,1.0,,8.0,37.0,Coffs Harbour - Grafton
105,57.0,56.0,56.0,,89.0,2708.0,,2162.0,,85.0,1.0,,,38.0,Far West and Orana
106,60.0,60.0,60.0,89.0,13.0,1053.0,,,,79.0,,,,37.0,Hunter Valley exc Newcastle
107,,57.0,58.0,,,29.0,48.0,,,92.0,,,,,Illawarra
108,58.0,62.0,61.0,19.0,13.0,,,,,79.0,0.0,,5.0,38.0,Mid North Coast
109,57.0,56.0,56.0,,,2251.0,,2022.0,,85.0,0.0,,,37.0,Murray
110,57.0,58.0,58.0,,176.0,3995.0,,3218.0,,86.0,1.0,,,39.0,New England and North West
111,,,50.0,,,,,,,,,,,32.0,Newcastle and Lake Macquarie
112,57.0,62.0,61.0,42.0,,1389.0,,1120.0,,79.0,2.0,,5.0,34.0,Richmond - Tweed
113,56.0,58.0,58.0,,,3190.0,467.0,2967.0,,85.0,1.0,12.0,,39.0,Riverina
114,52.0,59.0,57.0,22.0,4.0,,92.0,,,82.0,,16.0,,,Southern Highlands and Shoalhaven
115,57.0,54.0,55.0,,13.0,,101.0,237.0,,83.0,,12.0,,30.0,Sydney - Baulkham Hills and Hawkesbury
116,48.0,57.0,56.0,,,,8.0,48.0,,,,,,,Sydney - Blacktown
119,,,,,,,,,,,,,,,Sydney - Inner South West
121,,,,,,,,,,,,,,,Sydney - North Sydney and Hornsby
122,,63.0,60.0,,,13.0,,,,,,,,25.0,Sydney - Northern Beaches
123,58.0,52.0,54.0,,,,83.0,,,88.0,,6.0,,28.0,Sydney - Outer South West
124,42.0,46.0,44.0,,,,,,,78.0,,7.0,,23.0,Sydney - Outer West and Blue Mountains
127,49.0,54.0,53.0,36.0,7.0,,,,,93.0,,4.0,2.0,23.0,Sydney - South West
201,56.0,57.0,57.0,,,1043.0,,,,88.0,1.0,,3.0,38.0,Ballarat
202,47.0,57.0,56.0,61.0,16.0,1026.0,181.0,879.0,,87.0,1.0,,2.0,35.0,Bendigo
203,,60.0,59.0,26.0,58.0,,122.0,,,65.0,0.0,,15.0,38.0,Geelong
204,55.0,62.0,60.0,118.0,77.0,2596.0,,2185.0,,76.0,0.0,,,37.0,Hume
205,62.0,59.0,59.0,25.0,45.0,3445.0,,2745.0,,80.0,2.0,,,37.0,Latrobe - Gippsland
208,,61.0,61.0,,,9.0,,9.0,,,,,,41.0,Melbourne - Inner South
209,55.0,61.0,60.0,6.0,,132.0,21.0,122.0,,,,15.0,,,Melbourne - North East
210,52.0,60.0,59.0,9.0,,,17.0,92.0,,,,,,34.0,Melbourne - North West
211,55.0,60.0,60.0,48.0,33.0,,96.0,,,87.0,,7.0,7.0,33.0,Melbourne - Outer East
212,61.0,61.0,60.0,31.0,72.0,,191.0,,,85.0,,,1.0,35.0,Melbourne - South East
213,55.0,54.0,54.0,5.0,,,36.0,150.0,,97.0,,,,35.0,Melbourne - West
214,,56.0,56.0,,,,86.0,,,90.0,,5.0,6.0,26.0,Mornington Peninsula
215,55.0,57.0,57.0,,148.0,3951.0,,3661.0,26.0,89.0,,,,37.0,North West
216,50.0,56.0,55.0,46.0,52.0,2099.0,,1723.0,,83.0,0.0,,2.0,35.0,Shepparton
217,52.0,58.0,57.0,21.0,55.0,3642.0,,3047.0,,85.0,0.0,,3.0,37.0,Warrnambool and South West
301,,56.0,56.0,9.0,,,6.0,,,,,,,31.0,Brisbane - East
302,,,,,,,,,,,,,,,Brisbane - North
303,,55.0,55.0,,,,,13.0,,100.0,,,,18.0,Brisbane - South
304,,,,,,,,,,,,,,,Brisbane - West
306,56.0,60.0,59.0,,57.0,1205.0,,1027.0,,87.0,0.0,,,37.0,Cairns
307,54.0,56.0,56.0,,,4289.0,,3447.0,,83.0,1.0,12.0,,38.0,Darling Downs - Maranoa
308,54.0,57.0,56.0,,87.0,2203.0,,1565.0,,,0.0,,,40.0,Central Queensland
309,61.0,63.0,62.0,,,,,,,,,16.0,,,Gold Coast
310,50.0,59.0,57.0,,16.0,,168.0,,,77.0,0.0,21.0,2.0,38.0,Ipswich
