sa4_code_2011,sa4_name_2011,year,land_area_ha,wu_ag_area_ha,wu_irrigated_area_ha,wu_vol_wat_app_ml,wu_wat_oth_ag_use_ml,wu_tot_wat_use_ml,wu_app_rate_ml_per_ha,pa_indig_area,pa_nat_park,pa_nat_res,pa_oth_pa,pa_tot,pa_indig_area_ha,pa_nat_park_ha,pa_nat_res_ha,pa_oth_pa_ha,pa_tot_ha,pa_indig_area_pc,pa_nat_park_pc,pa_nat_res_pc,pa_oth_pa_pc,pa_tot_pc,esg_gen_meters,esg_non_gen_meters,esg_tot_meters,esg_meter_dwell_gen_elec_pc,mksfg_net_meters_kwh,mksfg_gross_meters_kwh,mksfg_non_gen_meters_kwh,solar_panel_system,solar_water_heater
101,Capital Region,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13008.0,7828.0
101,Capital Region,2012,,,,,,,,,,,,,,,,,,,,,,,7288.0,98560.0,105848.0,6.9,4600.0,5700.0,4472.0,,
101,Capital Region,2011,5189450.5,2621685.7,13196.2,24083.9,26045.2,50129.1,1.8,,,,,,,,,,,,,,,,5968.0,99198.0,105166.0,5.7,4970.0,5801.0,4640.0,,
101,Capital Region,2010,,,,,,,,,,,,,,,,,,,,,,,3585.0,100604.0,104189.0,3.4,5779.0,6241.0,5549.0,,
102,Central Coast,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14051.0,9908.0
102,Central Coast,2012,,,,,,,,,,,,,,,,,,,,,,,,135494.0,,,,5810.0,5306.0,,
102,Central Coast,2011,168086.0,13665.6,1425.3,2780.6,1779.9,4560.5,2.0,,,,,,,,,,,,,,,,8693.0,135416.0,144109.0,6.0,4744.0,5950.0,5764.0,,
102,Central Coast,2010,,,,,,,,,,,,,,,,,,,,,,,5110.0,138585.0,143695.0,3.6,4671.0,6980.0,5930.0,,
103,Central West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10582.0,4021.0
103,Central West,2012,,,,,,,,,,,,,,,,,,,,,,,4445.0,86975.0,91420.0,4.9,5310.0,6953.0,4970.0,,
103,Central West,2011,7029781.0,5566678.2,34357.3,84093.3,32460.8,116554.1,2.4,,,,,,,,,,,,,,,,3175.0,87265.0,90440.0,3.5,5599.0,7120.0,5275.0,,
103,Central West,2010,,,,,,,,,,,,,,,,,,,,,,,1546.0,88108.0,89654.0,1.7,4588.0,7695.0,6186.0,,
104,Coffs Harbour - Grafton,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10069.0,12958.0
104,Coffs Harbour - Grafton,2012,,,,,,,,,,,,,,,,,,,,,,,6045.0,52896.0,58941.0,10.3,3766.0,4739.0,4155.0,,
104,Coffs Harbour - Grafton,2011,1322978.0,452791.1,2502.8,4093.7,4949.5,9043.2,1.6,,,,,,,,,,,,,,,,4777.0,53801.0,58578.0,8.2,4258.0,4920.0,4467.0,,
104,Coffs Harbour - Grafton,2010,,,,,,,,,,,,,,,,,,,,,,,3111.0,55099.0,58210.0,5.3,4080.0,5460.0,5358.0,,
105,Far West and Orana,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11218.0,2719.0
105,Far West and Orana,2012,,,,,,,,,,,,,,,,,,,,,,,7723.0,45565.0,53288.0,14.5,5070.0,6529.0,5376.0,,
105,Far West and Orana,2011,33936429.4,27254488.9,65707.9,323409.8,32040.4,355450.3,4.9,,,,,,,,,,,,,,,,6508.0,46556.0,53064.0,12.3,5452.0,6738.0,5696.0,,
105,Far West and Orana,2010,,,,,,,,,,,,,,,,,,,,,,,2087.0,50805.0,52892.0,3.9,5980.0,8331.0,6944.0,,
106,Hunter Valley exc Newcastle,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13300.0,11570.0
106,Hunter Valley exc Newcastle,2012,,,,,,,,,,,,,,,,,,,,,,,,102985.0,,,4727.0,,5861.0,,
106,Hunter Valley exc Newcastle,2011,2149211.3,1046482.2,35066.0,74614.5,11694.8,86309.2,2.1,,,,,,,,,,,,,,,,6464.0,103821.0,110285.0,5.9,6402.0,6696.0,6449.0,,
106,Hunter Valley exc Newcastle,2010,,,,,,,,,,,,,,,,,,,,,,,3526.0,105355.0,108881.0,3.2,6705.0,7394.0,6647.0,,
107,Illawarra,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11267.0,8372.0
107,Illawarra,2012,,,,,,,,,,,,,,,,,,,,,,,1127.0,117567.0,118694.0,0.9,5259.0,4787.0,4675.0,,
107,Illawarra,2011,153908.2,17728.5,261.7,435.9,1164.4,1600.3,1.7,,,,,,,,,,,,,,,,286.0,117113.0,117399.0,0.2,5228.0,6065.0,4978.0,,
107,Illawarra,2010,,,,,,,,,,,,,,,,,,,,,,,,116578.0,,,,3639.0,5165.0,,
108,Mid North Coast,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16883.0,19084.0
108,Mid North Coast,2012,,,,,,,,,,,,,,,,,,,,,,,11200.0,87842.0,99042.0,11.3,3980.0,4766.0,4211.0,,
108,Mid North Coast,2011,1885081.8,619310.6,6962.1,12228.5,8470.3,20698.8,1.8,,,,,,,,,,,,,,,,8321.0,90191.0,98512.0,8.4,4162.0,4913.0,4484.0,,
108,Mid North Coast,2010,,,,,,,,,,,,,,,,,,,,,,,4801.0,93037.0,97838.0,4.9,3363.0,5508.0,5255.0,,
109,Murray,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8281.0,2016.0
109,Murray,2012,,,,,,,,,,,,,,,,,,,,,,,4086.0,50311.0,54397.0,7.5,4370.0,6050.0,4765.0,,
109,Murray,2011,9779627.7,8469797.6,171557.3,637075.6,25861.0,662936.6,3.7,,,,,,,,,,,,,,,,3024.0,51030.0,54054.0,5.6,3858.0,6046.0,4938.0,,
109,Murray,2010,,,,,,,,,,,,,,,,,,,,,,,1724.0,52032.0,53756.0,3.2,8811.0,7201.0,6073.0,,
110,New England and North West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11048.0,5858.0
110,New England and North West,2012,,,,,,,,,,,,,,,,,,,,,,,5929.0,74840.0,80769.0,7.3,5391.0,6531.0,5307.0,,
110,New England and North West,2011,9914492.3,7096691.8,163896.3,771479.5,47524.0,819003.5,4.7,,,,,,,,,,,,,,,,4534.0,75749.0,80283.0,5.6,6159.0,6761.0,5578.0,,
110,New England and North West,2010,,,,,,,,,,,,,,,,,,,,,,,2108.0,77732.0,79840.0,2.6,4211.0,7362.0,6719.0,,
111,Newcastle and Lake Macquarie,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15927.0,12801.0
111,Newcastle and Lake Macquarie,2012,,,,,,,,,,,,,,,,,,,,,,,,139906.0,,,,,5202.0,,
111,Newcastle and Lake Macquarie,2011,86999.0,6896.9,287.5,674.8,440.4,1115.2,2.3,,,,,,,,,,,,,,,,9559.0,141448.0,151007.0,6.3,5222.0,5985.0,5522.0,,
111,Newcastle and Lake Macquarie,2010,,,,,,,,,,,,,,,,,,,,,,,5189.0,144929.0,150118.0,3.5,4956.0,7199.0,5765.0,,
112,Richmond - Tweed,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23630.0,22867.0
112,Richmond - Tweed,2012,,,,,,,,,,,,,,,,,,,,,,,15792.0,88068.0,103860.0,15.2,3894.0,4600.0,4111.0,,
112,Richmond - Tweed,2011,1027071.3,488507.0,6275.6,13686.5,10063.1,23749.6,2.2,,,,,,,,,,,,,,,,13371.0,89929.0,103300.0,12.9,4102.0,4735.0,4357.0,,
112,Richmond - Tweed,2010,,,,,,,,,,,,,,,,,,,,,,,8499.0,94380.0,102879.0,8.3,4518.0,5400.0,5224.0,,
113,Riverina,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571.0,1922.0
113,Riverina,2012,,,,,,,,,,,,,,,,,,,,,,,3749.0,63308.0,67057.0,5.6,5534.0,7143.0,4917.0,,
113,Riverina,2011,5698690.9,4419889.4,159010.4,761237.6,25820.7,787058.3,4.8,,,,,,,,,,,,,,,,2516.0,64338.0,66854.0,3.8,5049.0,7169.0,5148.0,,
113,Riverina,2010,,,,,,,,,,,,,,,,,,,,,,,1197.0,65293.0,66490.0,1.8,5065.0,7767.0,6388.0,,
114,Southern Highlands and Shoalhaven,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8507.0,8197.0
114,Southern Highlands and Shoalhaven,2012,,,,,,,,,,,,,,,,,,,,,,,482.0,73106.0,73588.0,0.7,5382.0,7575.0,4845.0,,
114,Southern Highlands and Shoalhaven,2011,670382.0,139682.1,2938.5,5171.3,4067.3,9238.6,1.8,,,,,,,,,,,,,,,,168.0,72497.0,72665.0,0.2,5819.0,9698.0,5111.0,,
114,Southern Highlands and Shoalhaven,2010,,,,,,,,,,,,,,,,,,,,,,,,71948.0,,,,10256.0,5325.0,,
115,Sydney - Baulkham Hills and Hawkesbury,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9874.0,4100.0
115,Sydney - Baulkham Hills and Hawkesbury,2012,,,,,,,,,,,,,,,,,,,,,,,2352.0,72695.0,75047.0,3.1,7257.0,6727.0,7868.0,,
115,Sydney - Baulkham Hills and Hawkesbury,2011,325100.5,17266.8,3594.7,11310.3,541.1,11851.4,3.1,,,,,,,,,,,,,,,,1405.0,72317.0,73722.0,1.9,8146.0,6923.0,8479.0,,
115,Sydney - Baulkham Hills and Hawkesbury,2010,,,,,,,,,,,,,,,,,,,,,,,473.0,72487.0,72960.0,0.6,8690.0,8418.0,9022.0,,
116,Sydney - Blacktown,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14815.0,3789.0
116,Sydney - Blacktown,2012,,,,,,,,,,,,,,,,,,,,,,,2046.0,104590.0,106636.0,1.9,5531.0,5738.0,5686.0,,
116,Sydney - Blacktown,2011,24213.1,9997.7,146.2,336.5,220.6,557.2,2.3,,,,,,,,,,,,,,,,678.0,104031.0,104709.0,0.6,6122.0,6973.0,6137.0,,
116,Sydney - Blacktown,2010,,,,,,,,,,,,,,,,,,,,,,,,103177.0,,,,7207.0,6444.0,,
117,Sydney - City and Inner South,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2368.0,1230.0
117,Sydney - City and Inner South,2012,,,,,,,,,,,,,,,,,,,,,,,,141320.0,,,3503.0,,3361.0,,
117,Sydney - City and Inner South,2011,6551.8,3134.7,0.4,2.4,26.6,29.0,6.0,,,,,,,,,,,,,,,,1296.0,140144.0,141440.0,0.9,4659.0,4932.0,3682.0,,
117,Sydney - City and Inner South,2010,,,,,,,,,,,,,,,,,,,,,,,684.0,140034.0,140718.0,0.5,4129.0,5560.0,3734.0,,
118,Sydney - Eastern Suburbs,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475.0,1388.0
118,Sydney - Eastern Suburbs,2012,,,,,,,,,,,,,,,,,,,,,,,,121520.0,,,,6130.0,4116.0,,
118,Sydney - Eastern Suburbs,2011,5762.2,2266.7,6.0,7.4,17.8,25.2,1.2,,,,,,,,,,,,,,,,,121674.0,,,,6380.0,4478.0,,
118,Sydney - Eastern Suburbs,2010,,,,,,,,,,,,,,,,,,,,,,,,122111.0,,,,7060.0,4551.0,,
119,Sydney - Inner South West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11400.0,4953.0
119,Sydney - Inner South West,2012,,,,,,,,,,,,,,,,,,,,,,,7566.0,198039.0,205605.0,3.7,4197.0,6104.0,4805.0,,
119,Sydney - Inner South West,2011,16389.8,813.0,13.9,29.2,15.7,44.9,2.1,,,,,,,,,,,,,,,,6245.0,198215.0,204460.0,3.1,5999.0,6636.0,5324.0,,
119,Sydney - Inner South West,2010,,,,,,,,,,,,,,,,,,,,,,,2751.0,200921.0,203672.0,1.4,6243.0,7531.0,5397.0,,
120,Sydney - Inner West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156.0,1822.0
120,Sydney - Inner West,2012,,,,,,,,,,,,,,,,,,,,,,,2876.0,114035.0,116911.0,2.5,3678.0,5550.0,4124.0,,
120,Sydney - Inner West,2011,6449.9,8983.3,90.8,32.7,13.6,46.3,0.4,,,,,,,,,,,,,,,,2538.0,112953.0,115491.0,2.2,5573.0,5603.0,4464.0,,
