SA4_MAIN11,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sinhalese_BP_B_OS,Sinhalese_FO_B_OS,Sinhalese_MO_B_OS,Sinhalese_BP_B_Aus,Sinhalese_BP_NS,Sinhalese_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_Fther_only_brn_os,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_ns_Both_prnts_brn_os,Ancestry_ns_Fthr_only_brn_os,Ancestry_ns_Mthr_only_brn_os,Ancestry_ns_Bth_prnts_brn_Aus,Ancestry_ns_Country_birth_ns,Ancestry_ns_Tot_Resp,Tot_respnses_BP_B_OS,Tot_respnses_FO_B_OS,Tot_respnses_MO_B_OS,Tot_resp_BP_B_Aus,Tot_responses_Count_birth_ns,Tot_responses_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,SA4_NAME11
101,774,6582,4830,72791,1881,86858,6,33,11,726,39,815,799,75,70,429,21,1394,714,113,41,200,39,1107,1646,465,376,814,52,3353,11639,5959,4512,59158,1878,83146,675,28,147,14,12,876,304,96,60,478,17,955,2253,636,476,5416,146,8927,635,134,57,439,36,1301,385,94,28,114,10,631,706,44,29,47,17,843,2013,1399,902,22020,471,26805,1828,624,208,1925,117,4702,80,13,9,4,0,106,215,81,21,143,18,478,975,138,42,146,20,1321,467,134,60,281,18,960,369,115,84,78,17,663,636,329,244,126,23,1358,702,138,86,279,26,1231,253,64,34,113,13,477,2924,1585,1192,15176,365,21242,418,56,23,43,14,554,43,0,4,0,0,47,282,47,42,21,0,392,253,36,28,149,10,476,64,6,0,3,3,76,201,17,10,3,4,235,418,157,104,629,19,1327,5403,1102,791,1788,169,9253,572,194,150,3465,10409,14790,38652,20494,14671,187018,15864,276699,32506,12459,Capital Region
102,1399,12705,8892,106706,3447,133149,4,61,21,842,28,956,1854,153,187,613,53,2860,535,129,47,175,15,901,2200,675,398,1220,64,4557,23569,11563,8036,84948,3417,131533,1271,82,327,53,30,1763,559,128,103,773,39,1602,2343,776,555,5907,176,9757,909,277,105,694,48,2033,478,114,46,129,11,778,979,128,95,106,40,1348,4364,2523,1483,27559,776,36705,2345,947,335,3216,153,6996,349,11,20,18,6,404,331,117,42,225,31,746,75,18,8,23,3,127,1321,413,173,912,71,2890,1216,324,190,174,47,1951,1387,719,508,234,74,2922,769,164,100,361,23,1417,521,81,69,165,13,849,5417,2743,1874,19629,543,30206,240,36,9,55,12,352,17,0,0,0,0,17,865,142,94,62,8,1171,765,66,75,298,39,1243,141,37,19,17,0,214,166,18,20,6,4,214,794,297,168,818,35,2112,7808,2256,1351,2729,433,14577,1038,446,327,5067,13797,20675,66029,38149,25677,263734,23436,417025,54864,23281,Central Coast
103,454,4670,3523,78565,2177,89389,0,28,8,887,81,1004,641,67,63,385,31,1187,200,75,16,76,8,375,924,358,241,714,27,2264,6353,4450,3356,64271,2069,80499,474,18,143,23,17,675,156,50,23,507,16,752,1091,441,304,5072,150,7058,253,100,32,272,12,669,185,55,17,78,4,339,381,17,21,37,7,463,1226,999,605,22161,568,25559,765,385,158,1643,65,3016,68,10,8,6,3,95,150,62,12,147,8,379,43,7,7,4,3,64,243,101,61,242,12,659,331,127,51,92,30,631,397,223,195,149,37,1001,388,127,46,235,5,801,199,37,28,119,4,387,1688,1184,871,14551,366,18660,91,17,4,23,0,135,20,0,0,0,0,20,271,32,21,24,3,351,140,20,25,120,9,314,51,16,0,3,3,73,97,0,5,3,8,113,259,91,69,544,21,984,3138,738,425,1465,174,5940,388,177,125,4492,10025,15207,21065,14682,10463,196910,15943,259063,17675,9009,Central West
104,428,3964,2944,48231,1389,56956,0,15,3,845,26,889,447,49,45,295,16,852,96,22,3,39,6,166,927,300,160,434,30,1851,7153,3871,2799,39816,1404,55043,327,12,111,15,14,479,200,51,37,375,11,674,1096,311,241,4001,128,5777,131,86,16,166,10,409,135,36,14,51,12,248,777,59,86,60,38,1020,1210,841,498,13036,352,15937,555,276,93,1241,67,2232,33,0,3,3,0,39,37,19,6,67,5,134,18,3,3,13,0,37,160,60,46,179,5,450,175,77,48,57,7,364,401,196,164,87,16,864,250,70,34,144,9,507,86,43,14,78,3,224,1622,1047,673,10382,240,13964,28,6,0,10,0,44,0,0,0,0,0,0,232,29,26,17,10,314,115,18,28,130,15,306,24,12,0,0,3,39,50,0,3,4,0,57,259,70,45,358,6,738,2909,720,512,1187,123,5451,342,144,86,2358,5255,8185,20223,12407,8741,123679,9200,174250,16901,7573,Coffs Harbour - Grafton
105,176,2132,1488,48895,1448,54139,0,34,3,2709,84,2830,321,23,37,352,21,754,95,16,11,42,0,164,353,128,109,258,9,857,2277,1879,1301,36486,1216,43159,250,4,55,9,7,325,54,32,22,260,12,380,441,181,123,3403,72,4220,145,45,19,189,16,414,77,22,3,32,0,134,261,21,13,56,12,363,488,432,268,11193,243,12624,349,198,46,894,36,1523,29,0,3,0,0,32,64,23,9,95,11,202,16,3,4,4,0,27,125,79,30,223,4,461,161,44,27,39,11,282,174,93,71,72,13,423,123,33,26,105,8,295,59,9,13,35,0,116,659,487,343,7823,176,9488,58,7,0,4,0,69,17,0,0,0,0,17,112,21,17,18,3,171,62,7,6,83,4,162,13,9,0,3,3,28,39,3,5,0,0,47,71,51,18,266,6,412,1342,289,188,723,67,2609,200,79,60,2910,6381,9630,8611,6384,4318,117181,9863,146357,7290,3948,Far West and Orana
106,565,6744,5181,96768,2355,111613,0,17,9,722,20,768,780,72,72,337,23,1284,257,70,13,90,8,438,1224,443,308,885,43,2903,10429,6484,4702,78823,2444,102882,723,32,236,35,21,1047,263,65,43,546,18,935,1504,658,475,7530,176,10343,260,124,27,357,5,773,185,60,35,103,8,391,480,32,21,56,11,600,1860,1149,712,21218,457,25396,758,377,131,1727,64,3057,92,4,9,9,3,117,99,47,15,111,7,279,72,20,10,36,0,138,332,126,72,289,16,835,506,173,83,130,28,920,735,374,269,182,35,1595,803,156,115,525,25,1624,194,38,29,122,4,387,2756,1783,1286,17899,381,24105,89,16,6,9,0,120,13,0,0,0,0,13,455,39,51,25,3,573,193,47,22,220,9,491,32,3,0,5,0,40,73,3,6,4,0,86,479,215,100,886,21,1701,3618,991,704,1912,128,7353,467,212,177,5027,11044,16927,30296,20574,14919,236588,17357,319734,25121,12639,Hunter Valley exc Newcastle
107,1642,10908,7782,78647,2365,101344,0,42,34,732,33,841,3965,94,151,381,97,4688,1708,248,112,356,36,2460,2290,779,448,1246,70,4833,20014,9805,7457,58283,2251,97810,1243,67,249,36,65,1660,442,104,75,542,17,1180,3513,1039,687,4970,160,10369,2136,406,212,1038,86,3878,695,131,42,175,14,1057,1242,62,57,53,26,1440,3287,1863,1371,19904,494,26919,7253,1763,754,4366,270,14406,266,8,23,19,3,319,1173,219,135,206,70,1803,6517,669,269,911,233,8599,1542,469,213,845,76,3145,698,185,112,116,32,1143,804,400,265,161,33,1663,1289,259,151,425,38,2162,312,43,33,131,10,529,5366,2577,1942,14372,389,24646,1823,185,66,187,60,2321,63,0,6,0,0,69,417,80,64,16,9,586,1941,272,162,422,60,2857,1219,127,74,42,56,1518,854,34,20,15,26,949,1153,365,267,826,33,2644,12937,2095,1428,2409,404,19273,1653,435,280,3487,9420,15275,89457,35733,24941,195319,16936,362386,78617,21967,Illawarra
108,545,5864,4256,75946,2369,88980,0,27,15,1810,78,1930,452,70,79,348,32,981,174,40,13,43,6,276,1334,401,203,583,42,2563,11203,5723,4123,64469,2203,87721,440,19,135,9,20,623,259,102,57,556,17,991,1391,475,327,5166,134,7493,221,101,17,304,12,655,188,71,20,82,7,368,285,30,36,55,14,420,1739,1154,748,18910,497,23048,696,381,106,1581,57,2821,35,0,4,4,3,46,68,59,16,161,0,304,32,9,5,20,3,69,407,125,69,305,21,927,201,94,63,101,12,471,574,300,196,111,21,1202,364,92,33,188,15,692,142,30,25,90,3,290,2508,1385,1030,14506,375,19804,56,3,4,20,0,83,19,0,0,0,0,19,263,50,33,22,3,371,148,44,22,203,13,430,24,6,0,3,0,33,71,8,5,0,4,88,336,133,77,482,18,1046,2809,859,537,1616,159,5980,367,201,167,4087,8870,13692,27351,17856,12421,191781,15008,264417,22911,11056,Mid North Coast
109,261,2430,1849,40809,1240,46589,3,11,13,508,28,563,251,28,24,195,11,509,127,42,16,55,10,250,740,223,137,453,20,1573,3685,2424,1775,34935,1062,43881,338,15,80,12,6,451,62,25,12,226,7,332,795,366,198,5666,132,7157,197,66,21,192,17,493,119,31,11,33,5,199,448,22,16,20,8,514,653,541,338,12142,281,13955,811,304,104,1548,62,2829,40,0,0,3,3,46,56,24,10,79,7,176,14,3,0,5,0,22,66,33,11,81,4,195,188,28,32,42,18,308,252,111,100,50,7,520,230,61,27,152,16,486,75,11,8,58,3,155,998,650,460,9437,181,11726,63,8,0,15,0,86,9,0,0,0,0,9,108,13,13,13,4,151,82,14,4,137,8,245,17,3,3,3,0,26,32,0,3,0,0,35,143,48,39,266,3,499,1907,380,236,897,98,3518,228,87,77,2386,4687,7465,12998,8002,5617,110418,7928,144963,11168,4952,Murray
110,293,3694,2745,74626,2010,83368,0,31,19,2102,57,2209,738,71,44,493,26,1372,48,19,4,22,0,93,623,255,152,492,13,1535,4573,3431,2520,58025,1847,70396,383,16,76,14,26,515,160,45,31,390,7,633,867,345,227,6302,132,7873,111,47,17,170,7,352,109,29,9,45,4,196,305,21,19,43,4,392,859,677,474,17844,439,20293,349,197,53,1142,42,1783,89,0,0,3,3,95,81,36,13,112,8,250,8,3,0,4,0,15,125,61,29,139,4,358,184,61,60,93,9,407,342,174,146,73,16,751,145,53,32,146,11,387,92,17,19,58,0,186,1220,902,631,14396,332,17481,33,7,3,4,3,50,17,0,0,0,0,17,249,37,24,20,5,335,88,18,17,164,5,292,18,8,0,4,0,30,93,4,3,0,6,106,187,86,48,426,14,761,2582,577,414,1152,129,4854,226,146,92,4136,8432,13032,15197,11068,7921,182640,13591,230417,12643,6796,New England and North West
