SA4_MAIN11,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp,SA4_NAME11
101,8895,139288,14674,207822,Capital Region
102,15683,196969,21387,312184,Central Coast
103,6337,149058,14667,196746,Central West
104,5406,92386,8349,130615,Coffs Harbour - Grafton
105,2661,90459,9224,113582,Far West and Orana
106,9132,180316,16037,243245,Hunter Valley exc Newcastle
107,15268,144678,15453,275983,Illawarra
108,7655,145769,13719,201110,Mid North Coast
109,3471,83431,7298,110320,Murray
110,4887,139300,12569,176195,New England and North West
111,14682,238121,20625,342610,Newcastle and Lake Macquarie
112,10376,153760,14663,227622,Richmond - Tweed
113,4216,111679,10286,150126,Riverina
114,6702,87995,9854,137003,Southern Highlands and Shoalhaven
115,10215,92036,9161,210414,Sydney - Baulkham Hills and Hawkesbury
116,11326,100395,19303,303523,Sydney - Blacktown
117,11493,75683,31473,264547,Sydney - City and Inner South
118,12923,78053,26645,249548,Sydney - Eastern Suburbs
119,17337,117180,39048,523614,Sydney - Inner South West
120,11505,75600,19842,263568,Sydney - Inner West
121,21368,140444,21827,374669,Sydney - North Sydney and Hornsby
122,15174,106213,13721,237641,Sydney - Northern Beaches
123,11225,116373,15037,235793,Sydney - Outer South West
124,15500,155428,18487,288192,Sydney - Outer West and Blue Mountains
125,12201,83806,32253,394702,Sydney - Parramatta
126,7182,53726,8266,162846,Sydney - Ryde
127,9910,67421,26249,360167,Sydney - South West
128,11346,121132,10224,210267,Sydney - Sutherland
197,9,44,8,119,Migratory - Offshore - Shipping (NSW)
199,512,5475,2883,12918,Special Purpose Codes SA4 (NSW)
201,5419,106536,9087,146241,Ballarat
202,4748,105193,9074,140688,Bendigo
203,11446,156097,14561,250648,Geelong
204,6246,114274,9032,159296,Hume
205,10939,170630,16838,255859,Latrobe - Gippsland
206,23614,187208,44246,501990,Melbourne - Inner
207,15580,136924,16650,340003,Melbourne - Inner East
208,20297,163362,21253,378211,Melbourne - Inner South
209,17736,184766,25909,437042,Melbourne - North East
210,12343,115372,21016,318484,Melbourne - North West
211,25423,244997,21837,479103,Melbourne - Outer East
212,25241,208585,37989,658018,Melbourne - South East
213,24278,190801,47025,616053,Melbourne - West
214,15293,146231,18181,271072,Mornington Peninsula
215,3961,111050,9935,147433,North West
216,3743,88965,8800,124898,Shepparton
217,3652,94000,7128,120660,Warrnambool and South West
297,0,16,3,35,Migratory - Offshore - Shipping (Vic.)
299,338,3186,1827,8303,Special Purpose Codes SA4 (Vic.)
301,11487,116193,11233,211432,Brisbane - East
302,9738,104941,11446,191055,Brisbane - North
303,14740,131951,18428,314095,Brisbane - South
304,9832,84910,7899,170348,Brisbane - West
305,12205,110217,17039,223978,Brisbane Inner City
306,12070,127418,19508,224429,Cairns
307,3786,93661,9136,122274,Darling Downs - Maranoa
308,7790,150010,18529,211341,Fitzroy
309,27845,239745,40053,507646,Gold Coast
310,13186,153034,22343,281783,Ipswich
311,15658,141565,20713,290423,Logan - Beaudesert
312,6838,112090,15150,166817,Mackay
313,11034,127428,16207,215448,Moreton Bay - North
314,9158,98551,7319,167426,Moreton Bay - South
315,2499,59389,9207,82922,Queensland - Outback
316,16473,180023,18668,306913,Sunshine Coast
317,5147,100723,8771,140223,Toowoomba
318,9711,144154,17259,217893,Townsville
319,10881,189734,18786,273270,Wide Bay
397,29,218,79,472,Migratory - Offshore - Shipping (Qld)
399,452,6009,1984,12546,Special Purpose Codes SA4 (Qld)
401,13464,132835,15164,277064,Adelaide - Central and Hills
402,20697,182656,24233,391641,Adelaide - North
403,18157,180742,17214,339880,Adelaide - South
404,9004,95686,13357,216651,Adelaide - West
405,4146,78346,5175,106513,Barossa - Yorke - Mid North
406,3183,57677,7025,84617,South Australia - Outback
407,6523,123702,10881,177120,South Australia - South East
497,0,0,5,5,Migratory - Offshore - Shipping (SA)
499,141,1401,568,3070,Special Purpose Codes SA4 (SA)
501,9573,86767,11313,158105,Bunbury
502,5063,40633,6649,83299,Mandurah
503,9236,56158,13189,156348,Perth - Inner
504,13364,81420,17019,219898,Perth - North East
505,27744,157832,31097,482947,Perth - North West
506,25048,147652,33055,433621,Perth - South East
507,22181,134364,23665,352744,Perth - South West
508,9787,120059,30068,215049,Western Australia - Outback
509,7786,75259,9072,129433,Western Australia - Wheat Belt
597,18,163,69,409,Migratory - Offshore - Shipping (WA)
599,297,2791,1344,7294,Special Purpose Codes SA4 (WA)
601,8463,143047,12977,211658,Hobart
602,5049,99282,7719,137556,Launceston and North East
603,1251,25604,2112,35794,South East
604,3249,83304,6452,109160,West and North West
697,0,63,13,108,Migratory - Offshore - Shipping (Tas.)
699,22,640,163,1069,Special Purpose Codes SA4 (Tas.)
701,6620,58740,16109,120586,Darwin
702,2440,65397,7885,89374,Northern Territory - Outback
797,3,50,10,110,Migratory - Offshore - Shipping (NT)
799,70,929,268,1869,Special Purpose Codes SA4 (NT)
801,20997,180242,19344,356589,Australian Capital Territory
897,0,0,0,0,Migratory - Offshore - Shipping (ACT)
899,38,288,79,641,Special Purpose Codes SA4 (ACT)
901,132,978,919,3005,Other Territories
997,0,3,0,3,Migratory - Offshore - Shipping (OT)
999,0,16,0,23,Special Purpose Codes SA4 (OT)
