SA4_MAIN11,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
101,717,973,1690,25907,28389,54296,4,0,4,1095,1205,2300,212,204,416,28156,29370,57526,50,68,118,1439,1310,2749,365,475,840,127,134,261,686,816,1502,26,22,48,119,125,244,508,609,1117,3119,3379,6498,307,369,676,228,269,497,4263,4986,9249,1661,1852,3513,105,108,213,68377,73690,142067,291,278,569,453,397,850,62,74,136,32,17,49,447,549,996,479,566,1045,22438,19415,41853,985,654,1639,9814,8160,17974,103616,104207,207823,Capital Region
102,1123,1616,2739,41291,47629,88920,6,3,9,2752,3106,5858,97,99,196,38981,43688,82669,211,257,468,1088,1025,2113,619,821,1440,398,461,859,577,660,1237,62,54,116,696,841,1537,1373,1646,3019,4586,5330,9916,448,574,1022,705,809,1514,5760,7331,13091,3290,3797,7087,211,218,429,103151,118349,221500,379,341,720,511,461,972,156,209,365,23,13,36,438,616,1054,461,629,1090,31502,27247,58749,1383,905,2288,12035,11724,23759,150701,161481,312182,Central Coast
103,463,547,1010,25724,27588,53312,0,0,0,1347,1452,2799,523,562,1085,29705,31243,60948,63,83,146,367,325,692,289,384,673,120,121,241,452,492,944,34,28,62,210,224,434,734,824,1558,4386,4566,8952,307,427,734,203,218,421,6128,6896,13024,1760,1969,3729,56,61,117,72408,77463,149871,149,156,305,228,189,417,41,29,70,25,21,46,248,333,581,273,354,627,14980,12464,27444,748,379,1127,9035,6835,15870,98325,98416,196741,Central West
104,563,765,1328,16440,18429,34869,0,0,0,960,1009,1969,5,7,12,13420,14749,28169,60,65,125,126,138,264,351,438,789,91,108,199,266,321,587,14,13,27,66,115,181,782,967,1749,3183,3478,6661,236,307,543,171,240,411,2755,3428,6183,1430,1719,3149,66,87,153,40422,45618,86040,112,94,206,138,108,246,45,46,91,30,29,59,723,847,1570,753,876,1629,15425,13757,29182,838,583,1421,5498,4962,10460,63794,66809,130603,Coffs Harbour - Grafton
105,187,236,423,14949,15856,30805,3,0,3,748,803,1551,30,47,77,16454,17481,33935,62,62,124,208,208,416,137,185,322,68,73,141,362,392,754,16,13,29,94,84,178,429,509,938,2405,2429,4834,260,320,580,168,232,400,3713,4463,8176,839,971,1810,28,31,59,40973,44159,85132,109,113,222,144,97,241,17,12,29,40,31,71,112,130,242,152,161,313,8868,7540,16408,369,203,572,5688,4562,10250,56507,57083,113590,Far West and Orana
106,503,691,1194,36680,39601,76281,3,0,3,2154,2270,4424,169,145,314,29787,31301,61088,121,133,254,370,346,716,358,470,828,220,224,444,406,427,833,26,22,48,256,309,565,853,1000,1853,4454,4739,9193,496,623,1119,338,360,698,7250,8293,15543,2192,2523,4715,134,111,245,86267,92897,179164,203,207,410,241,186,427,59,43,102,30,12,42,321,446,767,351,458,809,22094,18850,40944,920,518,1438,10260,8499,18759,120898,122349,243247,Hunter Valley exc Newcastle
107,1474,1800,3274,28936,32939,61875,3,4,7,1293,1402,2695,144,137,281,38024,40859,78883,223,264,487,7312,7158,14470,540,731,1271,190,238,428,903,1054,1957,103,74,177,213,291,504,1215,1437,2652,3895,4541,8436,506,619,1125,153,193,346,5876,7101,12977,2123,2388,4511,113,140,253,91765,101570,193335,503,458,961,2407,2205,4612,68,74,142,30,24,54,424,561,985,454,585,1039,28838,23987,52825,1319,738,2057,9350,8388,17738,136178,139805,275983,Illawarra
108,604,867,1471,28692,31883,60575,3,0,3,1401,1571,2972,7,12,19,21501,23948,45449,145,179,324,247,252,499,596,816,1412,164,215,379,355,398,753,26,20,46,172,208,380,762,898,1660,4251,4553,8804,616,750,1366,704,910,1614,5700,7107,12807,2089,2401,4490,72,89,161,67503,76210,143713,104,121,225,128,119,247,59,68,127,62,61,123,281,341,622,343,402,745,19708,17000,36708,889,617,1506,8632,7736,16368,97970,103140,201110,Mid North Coast
109,302,345,647,11174,12555,23729,0,0,0,634,674,1308,55,63,118,14984,15851,30835,70,86,156,255,257,512,114,191,305,65,79,144,1545,1602,3147,14,8,22,58,64,122,461,543,1004,3014,3138,6152,157,189,346,170,186,356,3706,4478,8184,829,1028,1857,26,37,63,37331,41029,78360,286,232,518,172,131,303,19,31,50,15,12,27,154,174,328,169,186,355,11064,9374,20438,453,242,695,4755,4197,8952,54551,55767,110318,Murray
110,346,441,787,29275,31361,60636,0,0,0,794,856,1650,165,181,346,20956,22638,43594,53,71,124,149,138,287,365,462,827,93,125,218,364,392,756,9,8,17,112,125,237,636,761,1397,4753,4894,9647,555,683,1238,296,355,651,4032,4771,8803,1442,1684,3126,72,89,161,64121,69594,133715,149,136,285,299,219,518,32,34,66,36,23,59,204,281,485,240,304,544,13631,11462,25093,646,411,1057,7441,6688,14129,86905,89289,176194,New England and North West
111,1353,1716,3069,39575,44543,84118,3,0,3,3743,4095,7838,148,159,307,38890,42999,81889,109,196,305,2467,2446,4913,474,644,1118,338,399,737,560,642,1202,39,25,64,378,427,805,1893,2200,4093,5648,6147,11795,899,1091,1990,1856,2152,4008,10493,13289,23782,3360,3920,7280,327,359,686,111200,125733,236933,609,551,1160,1008,823,1831,91,98,189,19,14,33,509,651,1160,528,665,1193,38828,32904,71732,1813,947,2760,12497,11242,23739,167927,174679,342606,Newcastle and Lake Macquarie
112,1580,2134,3714,23440,26470,49910,0,0,0,1069,1249,2318,33,48,81,25558,28307,53865,142,196,338,336,331,667,677,840,1517,140,175,315,422,516,938,11,8,19,136,165,301,1051,1339,2390,5504,5978,11482,282,373,655,693,823,1516,5352,6486,11838,2413,2836,5249,244,269,513,67503,76409,143912,389,375,764,180,117,297,258,217,475,53,48,101,775,1007,1782,828,1055,1883,28249,25947,54196,1947,1615,3562,9658,9158,18816,110592,117027,227619,Richmond - Tweed
113,282,329,611,18070,19471,37541,3,3,6,778,780,1558,199,211,410,25138,26411,51549,57,58,115,175,167,342,187,219,406,108,125,233,947,1062,2009,94,87,181,149,162,311,619,711,1330,3832,4059,7891,182,236,418,282,297,579,4352,5001,9353,1106,1200,2306,37,56,93,56315,60316,116631,307,281,588,468,326,794,15,15,30,9,11,20,591,543,1134,600,554,1154,10264,8545,18809,566,288,854,6054,4595,10649,74871,75249,150120,Riverina
114,499,647,1146,19102,21373,40475,0,3,3,1072,1219,2291,77,79,156,14899,16397,31296,122,141,263,512,475,987,342,408,750,103,150,253,316,367,683,12,14,26,81,96,177,635,762,1397,2577,3008,5585,185,203,388,108,108,216,2948,3641,6589,1442,1608,3050,93,87,180,44626,50139,94765,84,83,167,101,91,192,86,106,192,19,10,29,219,361,580,238,371,609,14283,12694,26977,671,409,1080,6289,5590,11879,66877,70130,137007,Southern Highlands and Shoalhaven
115,2425,2778,5203,21000,23111,44111,15,12,27,2317,2572,4889,219,247,466,31598,32828,64426,136,164,300,1921,1935,3856,252,311,563,351,366,717,469,508,977,473,466,939,324,324,648,2170,2474,4644,3021,3230,6251,175,192,367,469,583,1052,4261,4964,9225,1996,2193,4189,140,147,287,71307,76627,147934,2915,2898,5813,2084,2022,4106,145,140,285,5,4,9,1144,1198,2342,1149,1202,2351,17461,14822,32283,680,439,1119,5852,5466,11318,104018,106394,210412,Sydney - Baulkham Hills and Hawkesbury
116,2471,2796,5267,21579,23610,45189,86,89,175,2309,2422,4731,97,110,207,49500,52997,102497,463,481,944,3417,3439,6856,537,651,1188,1086,1173,2259,434,434,868,1705,1630,3335,938,1052,1990,3163,3502,6665,3227,3529,6756,294,349,643,837,978,1815,3873,4422,8295,3558,3776,7334,390,418,808,97493,105062,202555,9051,8736,17787,8883,8719,17602,69,78,147,9,11,20,4324,3729,8053,4333,3740,8073,17783,14754,32537,942,618,1560,9718,8284,18002,150743,152787,303530,Sydney - Blacktown
117,7073,8593,15666,11759,11993,23752,146,159,305,901,903,1804,17,16,33,28280,29490,57770,45,54,99,6092,6428,12520,162,226,388,189,184,373,562,535,1097,281,268,549,297,316,613,940,1167,2107,2124,1987,4111,86,94,180,149,146,295,2032,2148,4180,1578,1768,3346,158,136,294,55798,58018,113816,2238,1569,3807,4437,3291,7728,1390,1445,2835,40,35,75,861,785,1646,901,820,1721,43970,37073,81043,2208,1146,3354,18843,15732,34575,136858,127687,264545,Sydney - City and Inner South
118,2792,3581,6373,14973,18080,33053,50,67,117,568,696,1264,16,20,36,29715,33938,63653,47,47,94,5631,6376,12007,140,179,319,70,86,156,520,607,1127,168,176,344,205,247,452,602,736,1338,2220,2463,4683,43,66,109,57,77,134,1516,1789,3305,1032,1294,2326,67,95,162,57640,67039,124679,828,733,1561,1552,1316,2868,11361,12431,23792,18,6,24,410,469,879,428,475,903,29559,27425,56984,1391,846,2237,16049,14099,30148,121600,127945,249545,Sydney - Eastern Suburbs
119,13382,16423,29805,22244,25795,48039,50,48,98,3426,3967,7393,88,95,183,63900,69525,133425,182,237,419,32890,33263,66153,595,836,1431,470,552,1022,595,639,1234,2693,2581,5274,682,802,1484,1970,2368,4338,4359,4806,9165,443,655,1098,369,457,826,4604,5682,10286,3166,3619,6785,434,469,903,143160,156396,299556,6340,5064,11404,36163,33503,69666,301,317,618,15,14,29,1563,1403,2966,1578,1417,2995,36673,33144,69817,1241,780,2021,19483,18244,37727,258321,265288,523609,Sydney - Inner South West
120,4927,6527,11454,11627,13675,25302,30,37,67,1124,1279,2403,44,48,92,39687,44466,84153,47,80,127,5976,6563,12539,277,375,652,91,122,213,448,487,935,517,500,1017,283,337,620,675,908,1583,3142,3979,7121,131,162,293,178,222,400,2589,3339,5928,1381,1746,3127,122,157,279,68369,78482,146851,6666,5089,11755,2547,2183,4730,376,430,806,9,11,20,880,828,1708,889,839,1728,31531,30591,62122,1257,811,2068,11388,10659,22047,127950,135611,263561,Sydney - Inner West
121,4579,6429,11008,34591,40222,74813,8,8,16,2168,2648,4816,56,55,111,41036,47864,88900,205,256,461,2622,2944,5566,250,343,593,140,162,302,969,1148,2117,728,768,1496,502,632,1134,1207,1550,2757,5231,6095,11326,148,186,334,535,761,1296,6973,9140,16113,2955,3571,6526,232,278,510,100556,118631,219187,3941,3492,7433,1868,1781,3649,3166,3282,6448,6,7,13,1365,1381,2746,1371,1388,2759,48384,44141,92525,1765,976,2741,14491,14423,28914,180121,194543,374664,Sydney - North Sydney and Hornsby
122,1542,2224,3766,26090,29700,55790,0,8,8,1088,1166,2254,16,27,43,30018,33059,63077,58,72,130,1942,2065,4007,312,394,706,181,171,352,718,841,1559,518,524,1042,240,276,516,1278,1469,2747,3168,3658,6826,117,172,289,94,119,213,3934,5070,9004,1934,2204,4138,100,116,216,71806,81111,152917,607,479,1086,597,529,1126,414,440,854,4,5,9,649,617,1266,653,622,1275,30650,26665,57315,1331,751,2082,8826,8392,17218,116426,121213,237639,Sydney - Northern Beaches
123,1810,2217,4027,27723,30564,58287,24,19,43,1882,2048,3930,269,253,522,35268,37979,73247,112,135,247,2081,2067,4148,674,793,1467,831,897,1728,458,561,1019,418,409,827,443,474,917,1612,1839,3451,2662,2879,5541,258,305,563,417,525,942,3293,3752,7045,2252,2473,4725,214,235,449,80891,88207,169098,2360,2379,4739,4589,4327,8916,66,78,144,13,16,29,701,731,1432,714,747,1461,16816,14218,31034,749,471,1220,7654,7510,15164,115649,120154,235803,Sydney - Outer South West
124,1234,1697,2931,32138,35935,68073,31,31,62,2258,2572,4830,389,398,787,42938,46059,88997,219,272,491,2267,2207,4474,512,632,1144,528,594,1122,699,710,1409,432,404,836,282,317,599,1798,1952,3750,4003,4685,8688,427,533,960,311,368,679,3992,4918,8910,3027,3487,6514,191,236,427,96442,106310,202752,1195,1187,2382,1852,1740,3592,111,130,241,32,33,65,1024,1188,2212,1056,1221,2277,27102,23643,50745,1502,937,2439,10848,9983,20831,141342,146848,288190,Sydney - Outer West and Blue Mountains
