SA4_MAIN11,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot,SA4_NAME11
101,1117,2518,5123,6137,5418,5581,3156,1290,334,30674,354,466,773,924,1028,802,449,234,47,5077,993,1234,2387,4195,6160,4489,2808,1104,213,23583,251,213,382,712,1116,1619,1359,706,154,6512,76,65,167,289,603,1339,1531,1093,385,5548,7,15,23,29,44,64,84,69,14,349,381,454,908,1135,1219,1216,1101,853,346,7613,3179,4965,9763,13421,15588,15110,10488,5349,1493,79356,1181,2892,6777,7773,6570,4970,2576,1102,355,34196,313,339,729,1007,1143,899,574,251,71,5326,616,885,1741,3845,5515,5357,3339,1451,515,23264,184,180,371,487,948,1567,1384,846,386,6353,42,69,99,176,448,1005,1138,1176,780,4933,0,5,21,21,28,46,67,76,25,289,311,260,628,773,866,991,1086,1151,673,6739,2647,4630,10366,14082,15518,14835,10164,6053,2805,81100,2298,5410,11900,13910,11988,10551,5732,2392,689,64870,667,805,1502,1931,2171,1701,1023,485,118,10403,1609,2119,4128,8040,11675,9846,6147,2555,728,46847,435,393,753,1199,2064,3186,2743,1552,540,12865,Capital Region
102,1994,4813,8086,8179,6526,6176,3639,2053,652,42118,660,846,1400,1314,1176,785,635,365,98,7279,1540,2164,4222,7084,9090,6323,4529,2146,531,37629,367,308,719,1001,1511,2321,2229,1397,386,10239,89,95,212,354,727,1285,1394,1259,630,6045,12,5,26,50,61,94,86,63,27,424,549,472,953,1243,1495,1458,1551,1641,829,10191,5211,8703,15618,19225,20586,18442,14063,8924,3153,113925,2240,5365,10450,10187,7594,5213,3084,1799,574,46506,476,608,1331,1383,1171,859,684,420,130,7062,1178,1714,3398,7089,9689,8244,5935,3027,1088,41362,258,248,593,1027,1736,2869,2684,2127,859,12401,56,55,134,264,682,1319,1361,1750,1258,6879,5,9,13,26,37,53,62,73,53,331,480,423,781,1140,1334,1375,1916,2388,1834,11671,4693,8422,16700,21116,22243,19932,15726,11584,5796,126212,4234,10178,18536,18366,14120,11389,6723,3852,1226,88624,1136,1454,2731,2697,2347,1644,1319,785,228,14341,2718,3878,7620,14173,18779,14567,10464,5173,1619,78991,625,556,1312,2028,3247,5190,4913,3524,1245,22640,Central Coast
103,1024,2708,4548,4436,3489,3475,1883,821,186,22570,373,532,920,799,644,489,359,164,33,4313,1230,1737,3070,4603,6207,4336,2780,1136,201,25300,239,257,492,743,1238,1824,1499,860,188,7340,62,80,188,351,741,1489,1463,1222,409,6005,6,12,17,45,51,84,88,58,17,378,414,619,1050,1106,1077,1116,1085,820,245,7532,3348,5945,10285,12083,13447,12813,9157,5081,1279,73438,1317,3383,6425,6154,4350,3192,1746,846,299,27712,296,455,830,877,783,483,408,219,68,4419,759,1056,2042,3899,5876,5001,3246,1639,561,24079,220,226,457,666,1040,1632,1465,1036,395,7137,37,34,108,195,477,1038,1068,1195,871,5023,4,3,26,31,46,52,66,44,35,307,341,308,541,748,729,940,1061,1003,536,6207,2974,5465,10429,12570,13301,12338,9060,5982,2765,74884,2341,6091,10973,10590,7839,6667,3629,1667,485,50282,669,987,1750,1676,1427,972,767,383,101,8732,1989,2793,5112,8502,12083,9337,6026,2775,762,49379,459,483,949,1409,2278,3456,2964,1896,583,14477,Central West
104,614,1412,2542,2930,2612,3218,1625,793,180,15926,244,314,450,562,582,547,291,171,27,3188,768,839,1578,2639,4084,3297,2174,861,187,16427,186,137,315,442,812,1262,1140,638,151,5083,47,71,123,189,420,801,892,766,306,3615,5,5,18,21,36,37,30,40,12,204,212,221,410,519,616,640,635,658,304,4215,2076,2999,5436,7302,9162,9802,6787,3927,1167,48658,724,1777,3451,3884,3355,2707,1441,646,209,18194,204,255,487,652,699,490,328,163,56,3334,484,605,1316,2675,4402,4075,2598,1115,338,17608,175,152,254,419,787,1252,1116,777,279,5211,30,32,97,156,305,575,742,852,565,3354,3,12,12,25,30,27,34,42,22,207,193,157,296,415,521,558,727,822,638,4327,1813,2990,5913,8226,10099,9684,6986,4417,2107,52235,1338,3189,5993,6814,5967,5925,3066,1439,389,34120,448,569,937,1214,1281,1037,619,334,83,6522,1252,1444,2894,5314,8486,7372,4772,1976,525,34035,361,289,569,861,1599,2514,2256,1415,430,10294,Coffs Harbour - Grafton
105,531,1215,2487,2327,1706,1595,819,385,98,11163,228,282,493,453,396,292,212,107,13,2476,777,968,1773,2563,3597,2534,1548,616,103,14479,187,201,356,545,841,1066,835,444,93,4568,87,78,163,296,680,1167,1037,697,223,4428,3,9,7,22,39,70,57,43,4,254,287,346,648,635,729,717,706,604,189,4861,2100,3099,5927,6841,7988,7441,5214,2896,723,42229,623,1755,3670,3239,2328,1473,817,422,118,14445,206,264,546,541,511,306,238,106,26,2744,486,700,1311,2213,3309,2748,1764,866,232,13629,193,199,358,464,746,1011,783,587,189,4530,45,53,99,173,436,782,752,699,411,3450,3,5,4,16,30,41,40,23,17,179,253,204,391,505,600,597,730,730,452,4462,1809,3180,6379,7151,7960,6958,5124,3433,1445,43439,1154,2970,6157,5566,4034,3068,1636,807,216,25608,434,546,1039,994,907,598,450,213,39,5220,1263,1668,3084,4776,6906,5282,3312,1482,335,28108,380,400,714,1009,1587,2077,1618,1031,282,9098,Far West and Orana
106,1264,3251,6118,5222,3684,3785,2216,901,188,26629,583,902,1542,1201,886,606,428,193,41,6382,1650,2244,4531,6964,8193,5574,3247,1163,245,33811,346,313,649,952,1708,2431,1947,916,214,9476,101,95,215,352,762,1425,1404,1114,390,5858,3,13,27,25,59,70,78,66,32,373,493,525,1094,1210,1265,1215,1111,900,331,8144,4440,7343,14176,15926,16557,15106,10431,5253,1441,90673,1514,3862,7994,7038,4600,3329,1714,784,229,31064,451,641,1302,1238,937,603,449,213,60,5894,1182,1679,3412,6168,7811,6321,3872,1652,491,32588,316,303,600,1028,1774,2657,1908,1269,436,10291,52,57,129,246,612,1249,1217,1285,887,5734,3,5,15,19,37,50,42,51,47,269,390,305,656,889,939,1082,1149,1222,671,7303,3908,6852,14108,16626,16710,15291,10351,6476,2821,93143,2778,7113,14112,12260,8284,7114,3930,1685,417,57693,1034,1543,2844,2439,1823,1209,877,406,101,12276,2832,3923,7943,13132,16004,11895,7119,2815,736,66399,662,616,1249,1980,3482,5088,3855,2185,650,19767,Hunter Valley exc Newcastle
107,2217,6156,9606,8183,6341,5538,2728,1239,344,42352,536,753,1267,1347,1018,661,373,239,52,6246,1372,1987,3936,6339,8282,5021,3226,1457,360,31980,281,279,567,751,1316,1924,1686,1048,286,8138,73,85,202,302,697,1430,1805,1593,579,6766,7,20,33,52,68,134,162,188,41,705,415,560,950,969,1167,1124,1137,1187,401,7910,4901,9840,16561,17943,18889,15832,11117,6951,2063,104097,2388,6638,10943,9563,6744,4505,2120,1041,351,44293,391,515,1075,1282,982,580,435,249,81,5590,924,1397,3060,6002,8359,6183,4094,2056,666,32741,219,214,447,803,1583,2243,2010,1451,614,9584,48,69,160,263,713,1610,1883,1968,1145,7859,3,9,39,69,98,145,245,315,95,1018,349,450,700,813,996,1088,1322,1568,781,8067,4322,9292,16424,18795,19475,16354,12109,8648,3733,109152,4605,12794,20549,17746,13085,10043,4848,2280,695,86645,927,1268,2342,2629,2000,1241,808,488,133,11836,2296,3384,6996,12341,16641,11204,7320,3513,1026,64721,500,493,1014,1554,2899,4167,3696,2499,900,17722,Illawarra
108,788,1686,3071,3713,3262,4247,2825,1507,402,21501,395,438,732,764,734,715,567,313,81,4739,976,1188,2246,4135,6419,5165,4154,1750,377,26410,264,217,453,752,1348,2284,2247,1287,320,9172,73,74,174,300,711,1439,1746,1447,648,6612,8,7,25,27,38,51,54,47,15,272,308,356,639,753,1007,1134,1269,1297,548,7311,2812,3966,7340,10444,13519,15035,12862,7648,2391,76017,911,2049,4364,5192,4378,3693,2432,1278,404,24701,312,354,699,854,975,674,588,295,104,4855,679,910,1974,4118,6811,6543,5007,2283,667,28992,214,259,450,673,1294,2443,2278,1580,575,9766,48,49,107,231,540,1120,1411,1503,1038,6047,10,12,8,16,25,35,40,44,21,211,253,202,368,627,810,984,1386,1642,1196,7468,2427,3835,7970,11711,14833,15492,13142,8625,4005,82040,1699,3735,7435,8905,7640,7940,5257,2785,806,46202,707,792,1431,1618,1709,1389,1155,608,185,9594,1655,2098,4220,8253,13230,11708,9161,4033,1044,55402,478,476,903,1425,2642,4727,4525,2867,895,18938,Mid North Coast
109,578,1374,2658,2526,1965,2003,1095,564,118,12881,322,379,673,1002,1011,835,418,174,38,4852,605,802,1405,1976,2844,2230,1407,615,105,11989,175,101,270,409,752,1110,938,459,98,4312,59,55,141,156,376,780,1020,767,294,3648,0,6,14,37,38,37,39,24,15,210,234,208,360,429,539,622,617,598,247,3854,1973,2925,5521,6535,7525,7617,5534,3201,915,41746,750,1983,3803,3447,2626,1853,976,503,152,16093,211,313,537,984,1206,928,532,272,56,5039,325,424,827,1630,2736,2458,1708,786,212,11106,113,82,201,326,594,982,779,508,204,3789,33,35,77,102,225,608,832,792,497,3201,0,6,19,26,23,35,42,33,7,191,177,166,280,376,445,524,653,727,521,3869,1609,3009,5744,6891,7855,7388,5522,3621,1649,43288,1328,3357,6461,5973,4591,3856,2071,1067,270,28974,533,692,1210,1986,2217,1763,950,446,94,9891,930,1226,2232,3606,5580,4688,3115,1401,317,23095,288,183,471,735,1346,2092,1717,967,302,8101,Murray
110,1032,2523,4112,3911,3138,3212,1766,712,182,20588,312,385,719,681,598,439,307,149,29,3619,1019,1397,2592,3831,5358,3859,2407,938,187,21588,284,277,520,763,1183,1646,1377,664,137,6851,89,112,217,312,687,1445,1491,1109,365,5827,5,3,21,39,52,81,63,42,18,324,368,384,735,813,935,942,986,787,285,6235,3109,5081,8916,10350,11951,11624,8397,4401,1203,65032,1341,3217,5636,5412,4137,2922,1656,751,275,25347,261,372,755,775,718,478,387,203,43,3992,661,941,1909,3354,5311,4567,3028,1353,411,21535,247,222,449,606,1003,1495,1290,836,327,6475,55,58,105,204,463,925,1100,1104,708,4722,3,7,13,21,31,47,59,41,26,248,334,305,538,718,735,810,1006,1021,626,6093,2902,5122,9405,11090,12398,11244,8526,5309,2416,68412,2373,5740,9748,9323,7275,6134,3422,1463,457,45935,573,757,1474,1456,1316,917,694,352,72,7611,1680,2338,4501,7185,10669,8426,5435,2291,598,43123,531,499,969,1369,2186,3141,2667,1500,464,13326,New England and North West
