SA4_MAIN11,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1999_15_19_yrs,F_1500_1999_20_24_yrs,F_1500_1999_25_34_yrs,F_1500_1999_35_44_yrs,F_1500_1999_45_54_yrs,F_1500_1999_55_64_yrs,F_1500_1999_65_74_yrs,F_1500_1999_75_84_yrs,F_1500_1999_85ov,F_1500_1999_Tot,F_2000_more_15_19_yrs,F_2000_more_20_24_yrs,F_2000_more_25_34_yrs,F_2000_more_35_44_yrs,F_2000_more_45_54_yrs,F_2000_more_55_64_yrs,F_2000_more_65_74_yrs,F_2000_more_75_84_yrs,F_2000_more_85ov,F_2000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_199_15_19_yrs,P_1_199_20_24_yrs,P_1_199_25_34_yrs,P_1_199_35_44_yrs,P_1_199_45_54_yrs,P_1_199_55_64_yrs,P_1_199_65_74_yrs,P_1_199_75_84_yrs,P_1_199_85ov,P_1_199_Tot,P_200_299_15_19_yrs,P_200_299_20_24_yrs,P_200_299_25_34_yrs,P_200_299_35_44_yrs,P_200_299_45_54_yrs,P_200_299_55_64_yrs,P_200_299_65_74_yrs,P_200_299_75_84_yrs,P_200_299_85ov,P_200_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_599_15_19_yrs,P_400_599_20_24_yrs,P_400_599_25_34_yrs,P_400_599_35_44_yrs,P_400_599_45_54_yrs,P_400_599_55_64_yrs,P_400_599_65_74_yrs,P_400_599_75_84_yrs,P_400_599_85ov,P_400_599_Tot,P_600_799_15_19_yrs,P_600_799_20_24_yrs,P_600_799_25_34_yrs,P_600_799_35_44_yrs,P_600_799_45_54_yrs,P_600_799_55_64_yrs,P_600_799_65_74_yrs,P_600_799_75_84_yrs,P_600_799_85ov,P_600_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1999_15_19_yrs,P_1500_1999_20_24_yrs,P_1500_1999_25_34_yrs,P_1500_1999_35_44_yrs,P_1500_1999_45_54_yrs,P_1500_1999_55_64_yrs,P_1500_1999_65_74_yrs,P_1500_1999_75_84_yrs,P_1500_1999_85ov,P_1500_1999_Tot,P_2000_more_15_19_yrs,P_2000_more_20_24_yrs,P_2000_more_25_34_yrs,P_2000_more_35_44_yrs,P_2000_more_45_54_yrs,P_2000_more_55_64_yrs,P_2000_more_65_74_yrs,P_2000_more_75_84_yrs,P_2000_more_85ov,P_2000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,SA4_NAME11
101,18,311,1013,1237,1404,884,204,72,39,5182,7,96,754,955,990,600,127,47,18,3594,4,27,677,1226,1327,762,100,29,14,4166,8,4,217,679,774,443,85,41,18,2269,636,305,666,803,823,883,738,752,579,6185,6323,4642,10364,14090,15524,14839,10172,6061,2805,84820,4175,471,704,996,1153,1770,564,252,75,10160,4272,670,934,1252,1255,1767,1218,471,140,11979,916,910,1292,1647,2039,3654,4995,2771,603,18827,877,900,1302,1800,2389,3234,4339,3288,1402,19531,946,1824,2526,3173,3692,4076,3484,1828,661,22210,422,1833,2845,3389,3903,3397,1758,682,238,18467,140,1047,2368,2775,3218,2669,1032,333,118,13700,48,770,2443,2878,3225,2316,700,221,84,12685,14,280,1700,2271,2261,1503,380,113,42,8564,4,118,1628,3083,3208,1967,345,80,41,10474,21,36,755,2293,2745,1637,368,100,42,7997,1439,764,1639,1966,2032,1963,1482,1278,850,13413,13274,9623,20136,27523,31120,29953,20665,11417,4296,168007,Capital Region
102,7,321,1508,1529,1775,1067,240,112,45,6604,3,96,936,1068,1182,591,138,71,20,4105,3,34,718,1161,1365,821,135,38,15,4290,3,8,224,581,591,355,101,88,24,1975,925,494,905,1192,1251,1176,1240,1484,1461,10128,10162,8444,16708,21125,22259,19944,15737,11590,5807,131776,7357,996,1364,1728,1832,2484,789,367,211,17128,6961,1851,1746,2277,1910,2136,1445,697,234,19257,1545,2088,2368,2689,2845,4851,7442,5137,1230,30195,1250,1812,2196,2797,3384,4517,7215,5890,2550,31611,1224,3148,4069,4894,5200,5128,5363,3717,1666,34409,442,3178,4854,5178,5626,4304,2119,1037,456,27194,124,1548,4073,4247,4674,3430,1113,475,225,19909,35,927,3829,4169,4395,2952,801,272,133,17513,19,316,2576,3081,3188,1843,400,154,65,11642,8,172,2220,3885,4008,2476,373,106,43,13291,14,63,1057,2848,3114,1812,402,170,55,9535,2093,1080,1986,2563,2679,2463,2347,2496,2098,19805,21072,17179,32338,40356,42855,38396,29809,20518,8966,251489,Central Coast
103,15,292,834,963,1053,651,166,55,19,4048,5,66,534,635,689,421,78,23,12,2463,0,32,395,745,938,599,95,28,11,2843,7,10,177,307,383,268,88,36,14,1290,672,379,595,792,731,823,737,703,431,5863,6580,5479,10440,12578,13305,12339,9064,5982,2766,78533,4605,539,847,914,1194,1761,507,256,72,10695,3891,986,1278,1256,1175,1413,946,451,150,11546,1012,1433,1554,1664,2082,3265,4649,2883,633,19175,917,1035,1483,1879,2309,2964,4343,3358,1526,19814,955,1949,2584,3052,3313,3243,2936,1726,683,20441,388,1917,2824,3149,3497,2770,1267,531,168,16511,109,961,2133,2395,2765,2147,720,217,85,11532,60,731,2071,2402,2527,1804,510,144,46,10295,17,316,1480,1770,1777,1180,261,68,22,6891,14,309,1561,2405,2532,1554,267,66,28,8736,13,187,1177,1812,1814,1208,285,85,31,6612,1502,1076,1744,1969,1774,1852,1536,1284,600,13337,13483,11439,20736,24667,26759,25161,18227,11069,4044,155585,Central West
104,6,70,371,583,724,470,93,26,14,2357,3,26,225,345,455,279,52,17,10,1412,0,10,146,398,560,348,43,14,4,1523,4,8,48,145,197,133,35,19,9,598,381,181,348,394,441,487,475,549,526,3782,4250,3001,5922,8225,10107,9694,6990,4419,2107,54715,2695,322,430,554,853,1160,297,132,40,6483,3184,571,630,834,952,1221,709,305,78,8484,729,925,1308,1400,1895,3264,3907,2333,461,16222,567,755,1044,1484,2029,2644,3241,2326,931,15021,522,1294,1869,2419,2889,2825,2546,1441,654,16459,129,985,1905,2361,2850,2264,953,422,178,12047,24,387,1219,1654,1984,1562,500,188,86,7604,17,212,946,1394,1689,1294,323,81,33,5989,6,66,576,885,1072,764,142,50,25,3586,3,32,441,1045,1338,921,117,29,14,3940,11,35,223,579,696,536,123,60,17,2280,846,442,773,922,1026,1043,920,977,760,7709,8733,6026,11364,15531,19273,19498,13778,8344,3277,105824,Coffs Harbour - Grafton
105,10,222,557,514,627,345,87,17,11,2390,3,56,378,371,396,227,34,21,3,1489,3,20,311,488,501,294,33,18,4,1672,5,7,76,165,199,139,48,23,3,665,460,248,428,536,610,567,513,442,236,4040,3581,3193,6386,7163,7969,6960,5128,3440,1443,45263,2249,258,426,511,694,870,349,146,41,5544,2116,454,646,700,659,777,555,216,46,6169,623,705,1000,1159,1416,2066,2674,1574,311,11528,530,610,950,1133,1541,1890,2580,2054,902,12190,580,1169,1628,1800,1978,1948,1500,946,330,11879,215,1113,1760,1889,2116,1634,669,276,83,9755,65,572,1315,1364,1652,1138,374,114,47,6641,41,446,1306,1243,1425,956,244,54,16,5731,15,173,874,942,996,629,111,49,11,3800,10,110,881,1279,1291,758,115,37,9,4490,13,45,402,752,810,513,142,58,8,2743,1007,642,1129,1241,1385,1232,1036,814,365,8851,7464,6297,12317,14013,15963,14411,10349,6338,2169,89321,Far West and Orana
106,12,310,1008,1168,1201,682,154,57,22,4614,3,80,642,693,730,381,84,30,16,2659,3,55,458,838,999,547,63,29,9,3001,5,33,305,430,409,259,80,39,13,1573,738,396,755,938,940,996,763,823,542,6891,8156,6865,14119,16635,16718,15296,10360,6480,2822,97451,5058,654,1281,1352,1727,2290,582,262,151,13357,5325,1168,1729,1793,1542,1786,1075,393,113,14924,1239,1348,1867,2183,2227,4269,5688,3133,638,22592,1125,1268,1881,2193,2634,3485,4751,3498,1415,22250,1342,2451,3158,3772,3806,3670,3443,1853,722,24217,565,2585,3680,3883,3840,3019,1443,581,197,19793,151,1391,3040,2916,3082,2372,794,246,92,14084,66,1097,2867,3088,3061,2162,544,127,61,13073,26,485,2095,2290,2324,1411,284,85,29,9029,6,472,2326,3418,3437,1983,275,66,20,12003,23,296,2434,3423,3435,1867,349,90,31,11948,1707,1012,1949,2256,2162,2094,1569,1406,797,14952,16633,14227,28307,32567,33277,30408,20797,11740,4266,192222,Hunter Valley exc Newcastle
107,7,390,1628,1400,1570,879,162,64,26,6126,3,91,973,922,1006,556,78,34,17,3680,0,19,801,1205,1439,800,73,32,19,4388,5,19,251,562,612,335,81,38,15,1918,772,513,789,833,905,856,816,993,722,7199,9206,9312,16446,18808,19483,16369,12119,8654,3737,114134,6957,2212,1916,1635,1917,2370,627,244,94,17972,6151,2369,1796,2147,1734,1828,1187,570,165,17947,1469,2654,2250,2482,2878,4738,6764,4552,1112,28899,1142,1960,2163,2624,3009,3504,5460,4793,2015,26670,1062,2981,3971,4273,4183,3654,3910,2451,862,27347,367,2657,4322,4145,4168,3028,1479,617,250,21033,106,1445,3746,3523,3568,2492,842,245,116,16083,35,1041,3816,3565,3671,2422,578,149,52,15329,9,375,2909,2781,2998,1748,278,75,29,11202,8,215,2810,4401,4668,2585,270,79,33,15069,12,128,1504,3330,3593,2049,322,95,29,11062,1705,1148,1822,1848,1998,1794,1526,1736,1045,14622,19023,19185,33025,36754,38385,32212,23243,15606,5802,223235,Illawarra
108,7,108,484,746,999,599,166,76,30,3215,3,25,262,470,626,343,78,38,17,1862,3,13,186,548,877,489,60,29,17,2222,11,3,88,232,270,174,71,52,28,929,584,233,427,631,731,868,834,1109,1065,6482,5942,3847,7976,11712,14837,15503,13154,8633,4011,85615,3737,328,487,755,1187,1837,502,213,82,9128,4459,723,876,1220,1442,1986,1267,559,201,12733,1013,1131,1640,2109,2935,5458,7575,4429,987,27277,748,945,1491,2185,3285,4431,6462,4841,1777,26165,692,1800,2695,3425,4289,4596,4562,2732,1127,25918,190,1306,2524,3373,4080,3451,1745,808,332,17809,44,523,1622,2242,2725,2256,921,325,163,10821,24,287,1260,1821,2278,1640,568,181,84,8143,7,93,694,1236,1426,965,266,97,40,4824,7,57,584,1433,1925,1299,192,77,42,5616,17,22,328,925,1095,758,251,121,52,3569,1309,619,1114,1443,1695,1867,1711,1912,1518,13188,12247,7834,15315,22167,28362,30544,26022,16295,6405,165191,Mid North Coast
109,4,126,518,526,637,408,78,27,10,2334,0,15,297,325,405,205,45,22,3,1317,4,8,179,343,491,239,45,25,4,1338,3,3,74,150,201,135,42,22,10,640,366,198,302,381,458,497,431,488,396,3517,3640,3022,5751,6897,7862,7387,5522,3618,1651,45350,2460,291,465,484,643,962,368,158,61,5892,2332,463,605,648,616,799,621,261,83,6428,541,698,842,899,1041,1955,2863,1783,367,10989,559,626,780,1095,1256,1761,2475,1856,730,11138,570,1136,1501,1812,2034,2058,1896,1182,511,12700,210,1155,1885,1897,2195,1830,775,357,121,10425,53,601,1484,1605,1868,1430,426,140,55,7662,13,337,1367,1453,1595,1196,290,72,21,6344,3,105,793,1006,1081,614,154,42,12,3810,7,59,582,1059,1282,761,122,44,12,3928,6,26,279,631,779,573,152,53,18,2517,841,457,692,842,1003,1069,914,874,576,7268,7595,5954,11275,13431,15393,15008,11056,6822,2567,89101,Murray
110,12,210,738,752,915,572,177,62,33,3471,3,41,414,468,590,392,80,32,15,2035,0,17,349,640,767,459,70,26,17,2345,3,12,106,257,337,235,70,39,19,1078,666,340,631,755,743,708,703,699,478,5723,6023,5124,9420,11103,12402,11255,8527,5314,2415,71583,3682,609,640,766,1140,1442,501,217,55,9052,3889,865,979,1137,1207,1374,964,360,107,10882,1056,1430,1542,1682,2110,3132,4583,2574,558,18667,831,1040,1418,1740,2173,2760,3758,2790,1105,17615,829,1866,2619,3012,3146,3085,2679,1507,671,19414,326,1904,3216,3226,3516,2756,1180,443,188,16755,91,839,2115,2344,2611,2074,672,226,85,11057,47,523,1803,1928,2237,1591,499,144,57,8829,16,176,1049,1307,1483,987,240,71,36,5365,5,111,1002,1718,1841,1190,211,59,30,6167,8,77,508,986,1193,901,237,93,36,4039,1448,780,1451,1615,1699,1592,1408,1233,693,11919,12228,10220,18342,21461,24356,22884,16932,9717,3621,139761,New England and North West
