SA4_MAIN11,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot,SA4_NAME11
101,84,6046,467,6597,455,12591,787,13833,148,6434,369,6951,100,4475,406,4981,195,8749,828,9772,347,12092,993,13432,549,14071,977,15597,816,13478,820,15114,791,9148,554,10493,922,4113,322,5357,597,764,130,1491,5004,91961,6653,103618,53,5678,428,6159,218,12262,746,13226,113,5915,295,6323,78,4316,249,4643,166,9636,563,10365,325,13090,675,14090,569,14343,610,15522,759,13457,625,14841,713,9003,455,10171,1226,4445,389,6060,1468,1145,192,2805,5688,93290,5227,104205,137,11724,895,12756,673,24853,1533,27059,261,12349,664,13274,178,8791,655,9624,361,18385,1391,20137,672,25182,1668,27522,1118,28414,1587,31119,1575,26935,1445,29955,1504,18151,1009,20664,2148,8558,711,11417,2065,1909,322,4296,10692,185251,11880,207823,Capital Region
102,167,9356,644,10167,874,18875,1074,20823,337,10033,541,10911,196,8100,437,8733,370,14425,837,15632,468,17743,1021,19232,752,18778,1065,20595,1196,16386,869,18451,1288,12050,733,14071,1458,6859,610,8927,1138,1741,280,3159,8244,134346,8111,150701,100,8886,622,9608,407,18726,969,20102,184,9531,445,10160,134,7941,370,8445,270,15674,765,16709,465,19729,931,21125,862,20475,922,22259,1077,18077,790,19944,1195,13784,756,15735,2230,8614,744,11588,2767,2437,601,5805,9691,143874,7915,161480,267,18242,1266,19775,1281,37601,2043,40925,521,19564,986,21071,330,16041,807,17178,640,30099,1602,32341,933,37472,1952,40357,1614,39253,1987,42854,2273,34463,1659,38395,2483,25834,1489,29806,3688,15473,1354,20515,3905,4178,881,8964,17935,278220,16026,312181,Central Coast
103,89,6436,563,7088,535,12803,842,14180,179,6327,398,6904,127,5247,588,5962,202,9118,974,10294,330,10813,946,12089,524,12148,784,13456,754,11320,746,12820,789,7842,534,9165,839,3906,342,5087,521,657,101,1279,4889,86617,6818,98324,61,6074,487,6622,241,12279,744,13264,114,6149,316,6579,102,5095,282,5479,193,9758,491,10442,318,11660,600,12578,482,12308,514,13304,679,11125,535,12339,727,7881,455,9063,1173,4406,401,5980,1386,1161,219,2766,5476,87896,5044,98416,150,12510,1050,13710,776,25082,1586,27444,293,12476,714,13483,229,10342,870,11441,395,18876,1465,20736,648,22473,1546,24667,1006,24456,1298,26760,1433,22445,1281,25159,1516,15723,989,18228,2012,8312,743,11067,1907,1818,320,4045,10365,174513,11862,196740,Central West
104,62,3586,260,3908,388,7994,398,8780,111,4194,177,4482,98,2732,194,3024,174,4902,367,5443,262,6632,412,7306,513,8205,446,9164,739,8658,407,9804,675,5834,279,6788,680,3026,220,3926,505,566,96,1167,4207,56329,3256,63792,28,3478,244,3750,155,7787,399,8341,62,4019,168,4249,64,2795,143,3002,135,5529,257,5921,262,7658,306,8226,431,9332,344,10107,596,8763,336,9695,566,6142,283,6991,892,3269,257,4418,1087,817,206,2110,4278,59589,2943,66810,90,7064,504,7658,543,15781,797,17121,173,8213,345,8731,162,5527,337,6026,309,10431,624,11364,524,14290,718,15532,944,17537,790,19271,1335,17421,743,19499,1241,11976,562,13779,1572,6295,477,8344,1592,1383,302,3277,8485,115918,6199,130602,Coffs Harbour - Grafton
105,54,3854,351,4259,312,7259,617,8188,118,3489,276,3883,77,2711,316,3104,112,5234,585,5931,188,6095,570,6853,370,7080,545,7995,553,6452,445,7450,522,4378,324,5224,524,2149,223,2896,281,362,83,726,3111,49063,4335,56509,32,3722,331,4085,146,7111,476,7733,71,3298,212,3581,58,2945,190,3193,85,5943,358,6386,206,6528,426,7160,335,7238,397,7970,445,6178,338,6961,399,4399,329,5127,734,2454,253,3441,764,547,133,1444,3275,50363,3443,57081,86,7576,682,8344,458,14370,1093,15921,189,6787,488,7464,135,5656,506,6297,197,11177,943,12317,394,12623,996,14013,705,14318,942,15965,998,12630,783,14411,921,8777,653,10351,1258,4603,476,6337,1045,909,216,2170,6386,99426,7778,113590,Far West and Orana
106,136,8164,502,8802,715,15792,817,17324,235,7775,467,8477,155,6707,499,7361,301,12899,988,14188,417,14494,1020,15931,638,15005,917,16560,1120,13203,791,15114,1000,8857,581,10438,923,3959,378,5260,587,709,148,1444,6227,107564,7108,120899,66,7782,536,8384,336,15405,772,16513,159,7633,364,8156,109,6460,298,6867,222,13323,575,14120,378,15567,690,16635,657,15359,702,16718,926,13729,639,15294,788,9082,490,10360,1344,4672,463,6479,1518,1015,290,2823,6503,110027,5819,122349,202,15946,1038,17186,1051,31197,1589,33837,394,15408,831,16633,264,13167,797,14228,523,26222,1563,28308,795,30061,1710,32566,1295,30364,1619,33278,2046,26932,1430,30408,1788,17939,1071,20798,2267,8631,841,11739,2105,1724,438,4267,12730,217591,12927,243248,Hunter Valley exc Newcastle
107,108,8293,485,8886,620,16876,701,18197,251,9177,389,9817,191,9190,491,9872,327,15358,893,16578,424,16752,771,17947,679,17438,783,18900,1031,14125,688,15844,1096,9551,476,11123,1452,5092,408,6952,884,1037,142,2063,7063,122889,6227,136179,57,7940,488,8485,263,16245,671,17179,148,8733,326,9207,150,8749,415,9314,280,15520,647,16447,465,17726,618,18809,747,18085,653,19485,988,14797,583,16368,1244,10371,504,12119,2281,5870,503,8654,2162,1366,209,3737,8785,125402,5617,139804,165,16233,973,17371,883,33121,1372,35376,399,17910,715,19024,341,17939,906,19186,607,30878,1540,33025,889,34478,1389,36756,1426,35523,1436,38385,2019,28922,1271,32212,2340,19922,980,23242,3733,10962,911,15606,3046,2403,351,5800,15848,248291,11844,275983,Illawarra
108,112,5203,386,5701,624,11479,589,12692,264,5735,304,6303,149,3521,320,3990,304,6462,575,7341,483,9363,607,10453,767,12036,720,13523,1391,12926,724,15041,1250,11039,579,12868,1212,6003,447,7662,875,1274,246,2395,7431,85041,5497,97969,56,4975,389,5420,299,11218,587,12104,133,5556,255,5944,115,3553,178,3846,230,7416,330,7976,376,10851,486,11713,697,13611,530,14838,1061,13855,588,15504,1053,11578,523,13154,1552,6533,548,8633,1942,1597,470,4009,7514,90743,4884,103141,168,10178,775,11121,923,22697,1176,24796,397,11291,559,12247,264,7074,498,7836,534,13878,905,15317,859,20214,1093,22166,1464,25647,1250,28361,2452,26781,1312,30545,2303,22617,1102,26022,2764,12536,995,16295,2817,2871,716,6404,14945,175784,10381,201110,Mid North Coast
109,49,3167,239,3455,275,6680,392,7347,115,3636,203,3954,67,2678,188,2933,114,5095,316,5525,144,6039,351,6534,231,6918,379,7528,457,6774,389,7620,439,4797,299,5535,518,2474,211,3203,344,488,85,917,2753,48746,3052,54551,24,3125,239,3388,127,6548,353,7028,44,3439,158,3641,50,2819,150,3019,96,5401,253,5750,151,6443,303,6897,238,7333,292,7863,348,6732,308,7388,385,4878,260,5523,680,2696,244,3620,831,691,128,1650,2974,50105,2688,55767,73,6292,478,6843,402,13228,745,14375,159,7075,361,7595,117,5497,338,5952,210,10496,569,11275,295,12482,654,13431,469,14251,671,15391,805,13506,697,15008,824,9675,559,11058,1198,5170,455,6823,1175,1179,213,2567,5727,98851,5740,110318,Murray
110,92,5595,459,6146,458,11421,707,12586,134,5744,327,6205,106,4647,343,5096,201,8081,638,8920,299,9406,652,10357,483,10830,641,11954,791,10218,621,11630,781,7178,443,8402,719,3373,311,4403,515,564,128,1207,4579,77057,5270,86906,46,5450,443,5939,195,10864,706,11765,97,5623,302,6022,75,4785,265,5125,161,8776,483,9420,273,10282,547,11102,476,11384,543,12403,586,10197,472,11255,631,7465,434,8530,995,3926,392,5313,1159,978,276,2413,4694,79730,4863,89287,138,11045,902,12085,653,22285,1413,24351,231,11367,629,12227,181,9432,608,10221,362,16857,1121,18340,572,19688,1199,21459,959,22214,1184,24357,1377,20415,1093,22885,1412,14643,877,16932,1714,7299,703,9716,1674,1542,404,3620,9273,156787,10133,176193,New England and North West
