SA4_MAIN11,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total,SA4_NAME11
101,45,270,3,318,5784,848,6950,273,224,11,508,4029,443,4980,3100,337,98,3535,5330,905,9770,6524,371,226,7121,5238,1074,13433,3815,626,118,4559,9941,1097,15597,658,1186,24,1868,12219,1028,15115,78,869,3,950,8586,957,10493,16,172,3,191,4367,800,5358,0,8,0,8,1186,298,1492,14509,4063,486,19058,56680,7450,83188,114,560,11,685,4917,722,6324,773,412,40,1225,3141,277,4643,4980,555,311,5846,3915,605,10366,8130,578,562,9270,4134,685,14089,3103,1505,175,4783,10030,709,15522,218,2659,19,2896,11155,790,14841,52,1372,3,1427,7822,921,10170,20,241,0,261,4758,1040,6059,3,27,0,30,2227,547,2804,17393,7909,1121,26423,52099,6296,84818,159,830,14,1003,10701,1570,13274,1046,636,51,1733,7170,720,9623,8080,892,409,9381,9245,1510,20136,14654,949,788,16391,9372,1759,27522,6918,2131,293,9342,19971,1806,31119,876,3845,43,4764,23374,1818,29956,130,2241,6,2377,16408,1878,20663,36,413,3,452,9125,1840,11417,3,35,0,38,Capital Region
102,80,466,4,550,9049,1312,10911,475,422,17,914,7259,561,8734,5330,603,170,6103,8565,963,15631,10066,546,400,11012,7050,1170,19232,5183,959,197,6339,12961,1296,20596,760,2085,31,2876,14399,1176,18451,113,1674,7,1794,10953,1326,14073,25,287,0,312,7221,1392,8925,3,14,3,20,2461,677,3158,22035,7056,829,29920,79918,9873,119711,181,845,6,1032,8145,985,10162,1140,705,52,1897,6090,457,8444,8230,931,604,9765,6166,778,16709,12771,867,981,14619,5510,995,21124,4721,2377,275,7373,13798,1089,22260,319,4912,21,5252,13679,1014,19945,90,2481,11,2582,11623,1530,15735,39,366,0,405,9141,2043,11589,9,36,0,45,4385,1378,5808,27500,13520,1950,42970,78537,10269,131776,261,1311,10,1582,17194,2297,21073,1615,1127,69,2811,13349,1018,17178,13560,1534,774,15868,14731,1741,32340,22837,1413,1381,25631,12560,2165,40356,9904,3336,472,13712,26759,2385,42856,1079,6997,52,8128,28078,2190,38396,203,4155,18,4376,22576,2856,29808,64,653,0,717,16362,3435,20514,12,50,3,65,Central Coast
103,64,305,0,369,5629,904,6902,469,266,7,742,4551,668,5961,3611,422,115,4148,5069,1078,10295,6081,296,199,6576,4450,1064,12090,3022,671,98,3791,8745,918,13454,482,1154,22,1658,10229,935,12822,70,777,4,851,7402,911,9164,18,160,3,181,4126,780,5087,4,9,0,13,1049,216,1278,13821,4060,448,18329,51250,7474,77053,157,621,6,784,5049,747,6580,1051,509,51,1611,3544,325,5480,5461,540,419,6420,3501,521,10442,7360,554,503,8417,3521,639,12577,2591,1598,128,4317,8391,597,13305,178,2547,23,2748,8868,724,12340,53,1254,4,1311,6871,880,9062,11,233,0,244,4778,958,5980,0,23,0,23,2336,407,2766,16862,7879,1134,25875,46859,5798,78532,221,926,6,1153,10678,1651,13482,1520,775,58,2353,8095,993,11441,9072,962,534,10568,8570,1599,20737,13441,850,702,14993,7971,1703,24667,5613,2269,226,8108,17136,1515,26759,660,3701,45,4406,19097,1659,25162,123,2031,8,2162,14273,1791,18226,29,393,3,425,8904,1738,11067,4,32,0,36,Central West
104,42,195,3,240,3723,519,4482,236,149,6,391,2391,243,3025,1946,221,66,2233,2792,417,5442,3693,200,167,4060,2749,497,7306,2141,455,76,2672,5952,542,9166,405,827,23,1255,8027,522,9804,45,525,4,574,5673,541,6788,7,113,0,120,3232,571,3923,3,6,0,9,930,232,1171,8518,2691,345,11554,35469,4084,51107,101,382,7,490,3332,427,4249,599,259,32,890,1928,184,3002,3150,326,230,3706,1931,285,5922,4853,338,363,5554,2317,354,8225,1947,1091,102,3140,6573,394,10107,144,1725,17,1886,7346,460,9692,25,807,6,838,5534,619,6991,11,143,0,154,3548,718,4420,0,10,0,10,1668,430,2108,10830,5081,757,16668,34177,3871,54716,143,577,10,730,7055,946,8731,835,408,38,1281,4319,427,6027,5096,547,296,5939,4723,702,11364,8546,538,530,9614,5066,851,15531,4088,1546,178,5812,12525,936,19273,549,2552,40,3141,15373,982,19496,70,1332,10,1412,11207,1160,13779,18,256,0,274,6780,1289,8343,3,16,0,19,Coffs Harbour - Grafton
105,46,173,3,222,3096,565,3883,302,156,6,464,2271,369,3104,2026,222,61,2309,2966,657,5932,3213,234,112,3559,2681,611,6851,1608,398,40,2046,5289,660,7995,267,665,10,942,5890,618,7450,44,366,0,410,4202,610,5222,5,87,0,92,2281,524,2897,3,3,0,6,590,130,726,7514,2304,232,10050,29266,4744,44060,131,327,9,467,2626,488,3581,705,300,48,1053,1918,221,3192,3255,385,213,3853,2164,369,6386,3906,398,264,4568,2145,449,7162,1353,984,84,2421,5055,492,7968,111,1401,12,1524,4987,449,6960,28,633,0,661,3851,617,5129,8,106,4,118,2740,583,3441,3,11,0,14,1167,261,1442,9500,4545,634,14679,26653,3929,45261,177,500,12,689,5722,1053,7464,1007,456,54,1517,4189,590,6296,5281,607,274,6162,5130,1026,12318,7119,632,376,8127,4826,1060,14013,2961,1382,124,4467,10344,1152,15963,378,2066,22,2466,10877,1067,14410,72,999,0,1071,8053,1227,10351,13,193,4,210,5021,1107,6338,6,14,0,20,Far West and Orana
106,80,384,0,464,7020,994,8478,580,313,17,910,5863,590,7363,5220,537,169,5926,7175,1086,14187,8382,463,293,9138,5635,1158,15931,3836,961,136,4933,10554,1074,16561,504,1812,23,2339,11736,1038,15113,83,1193,6,1282,8179,976,10437,12,178,3,193,4283,782,5258,3,3,0,6,1178,260,1444,18700,5844,647,25191,61623,7958,94772,181,698,12,891,6428,836,8155,1302,611,84,1997,4495,372,6864,7502,760,541,8803,4687,630,14120,10045,689,687,11421,4469,747,16637,3054,2336,165,5555,10405,757,16717,228,3940,28,4196,10237,863,15296,54,1593,7,1654,7759,947,10360,20,243,0,263,5081,1137,6481,3,16,0,19,2336,467,2822,22389,10886,1524,34799,55897,6756,97452,261,1082,12,1355,13448,1830,16633,1882,924,101,2907,10358,962,14227,12722,1297,710,14729,11862,1716,28307,18427,1152,980,20559,10104,1905,32568,6890,3297,301,10488,20959,1831,33278,732,5752,51,6535,21973,1901,30409,137,2786,13,2936,15938,1923,20797,32,421,3,456,9364,1919,11739,6,19,0,25,Hunter Valley exc Newcastle
107,79,392,3,474,8352,991,9817,325,355,7,687,8587,599,9873,4776,605,141,5522,10116,939,16577,9470,426,378,10274,6754,919,17947,4708,838,167,5713,12225,964,18902,596,2218,23,2837,12090,917,15844,110,1798,4,1912,8305,906,11123,24,416,0,440,5503,1010,6953,6,12,0,18,1709,335,2062,20094,7060,723,27877,73641,7580,109098,120,784,8,912,7474,819,9205,836,708,42,1586,7243,484,9313,7314,966,499,8779,7002,664,16445,11419,766,925,13110,4999,699,18808,4042,2227,271,6540,12176,769,19485,298,4683,29,5010,10553,806,16369,84,2574,9,2667,8439,1014,12120,34,432,0,466,6841,1346,8653,6,23,0,29,3151,557,3737,24153,13163,1783,39099,67878,7158,114135,199,1176,11,1386,15826,1810,19022,1161,1063,49,2273,15830,1083,19186,12090,1571,640,14301,17118,1603,33022,20889,1192,1303,23384,11753,1618,36755,8750,3065,438,12253,24401,1733,38387,894,6901,52,7847,22643,1723,32213,194,4372,13,4579,16744,1920,23243,58,848,0,906,12344,2356,15606,12,35,0,47,Illawarra
108,61,225,0,286,5234,785,6305,347,180,9,536,3055,398,3989,2670,276,107,3053,3656,632,7341,5224,298,211,5733,3991,729,10453,2962,631,116,3709,8969,847,13525,550,1230,26,1806,12271,964,15041,91,895,0,986,10806,1077,12869,21,149,3,173,6391,1096,7660,0,8,0,8,1908,478,2394,11926,3892,472,16290,56281,7006,79577,142,492,9,643,4631,668,5942,861,315,43,1219,2424,203,3846,4247,418,328,4993,2636,349,7978,6934,521,481,7936,3243,534,11713,2696,1544,158,4398,9806,632,14836,212,2604,21,2837,11908,758,15503,48,1338,10,1396,10668,1090,13154,23,192,4,219,6948,1467,8634,6,24,0,30,3148,832,4010,15169,7448,1054,23671,55412,6533,85616,203,717,9,929,9865,1453,12247,1208,495,52,1755,5479,601,7835,6917,694,435,8046,6292,981,15319,12158,819,692,13669,7234,1263,22166,5658,2175,274,8107,18775,1479,28361,762,3834,47,4643,24179,1722,30544,139,2233,10,2382,21474,2167,26023,44,341,7,392,13339,2563,16294,6,32,0,38,Mid North Coast
109,29,157,3,189,3252,513,3954,154,145,4,303,2404,224,2931,1850,198,44,2092,3072,361,5525,3365,166,121,3652,2485,397,6534,1834,319,58,2211,4864,456,7531,290,689,8,987,6128,505,7620,47,424,3,474,4488,573,5535,10,79,0,89,2589,526,3204,3,11,0,14,705,197,916,7582,2188,241,10011,29987,3752,43750,56,333,3,392,2862,386,3640,428,298,25,751,2094,177,3022,2796,333,170,3299,2175,277,5751,4123,296,272,4691,1889,316,6896,1588,880,87,2555,4959,348,7862,110,1498,10,1618,5376,394,7388,29,734,3,766,4186,570,5522,8,132,0,140,2819,660,3619,0,15,0,15,1275,360,1650,9138,4519,570,14227,27635,3488,45350,85,490,6,581,6114,899,7594,582,443,29,1054,4498,401,5953,4646,531,214,5391,5247,638,11276,7488,462,393,8343,4374,713,13430,3422,1199,145,4766,9823,804,15393,400,2187,18,2605,11504,899,15008,76,1158,6,1240,8674,1143,11057,18,211,0,229,5408,1186,6823,3,26,0,29,Murray
110,55,264,4,323,5067,815,6205,394,222,11,627,4069,402,5098,3126,278,98,3502,4684,736,8922,5120,283,190,5593,3985,779,10357,2645,578,88,3311,7820,824,11955,418,954,19,1391,9404,836,11631,82,628,6,716,6833,854,8403,13,129,0,142,3527,733,4402,0,11,0,11,976,219,1206,11853,3347,416,15616,46365,6198,68179,174,549,11,734,4576,713,6023,1003,433,57,1493,3327,304,5124,4774,520,351,5645,3241,533,9419,6310,518,431,7259,3216,628,11103,2236,1485,136,3857,7938,607,12402,167,2096,16,2279,8352,623,11254,41,1076,6,1123,6545,859,8527,16,197,0,213,4158,943,5314,5,18,0,23,1905,489,2417,14726,6892,1008,22626,43258,5699,71583,229,813,15,1057,9643,1528,12228,1397,655,68,2120,7396,706,10222,7900,798,449,9147,7925,1269,18341,11430,801,621,12852,7201,1407,21460,4881,2063,224,7168,15758,1431,24357,585,3050,35,3670,17756,1459,22885,123,1704,12,1839,13378,1713,16930,29,326,0,355,7685,1676,9716,5,29,0,34,New England and North West
