SA4_MAIN11,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings,SA4_NAME11
101,4690,27751,29057,9725,4918,76141,2503,78644,Capital Region
102,10512,46022,39982,11272,5177,112965,4240,117205,Central Coast
103,5584,24764,26403,8982,4631,70364,2739,73103,Central West
104,3830,20341,17516,4914,2015,48616,1724,50340,Coffs Harbour - Grafton
105,4082,15354,14126,4597,2345,40504,1852,42356,Far West and Orana
106,5289,29392,33887,11159,5611,85338,2693,88031,Hunter Valley exc Newcastle
107,10131,36946,35699,10678,4806,98260,3339,101599,Illawarra
108,6282,33554,26880,7382,2990,77088,2837,79925,Mid North Coast
109,3246,15259,15725,4717,2189,41136,1707,42843,Murray
110,5126,23009,23373,8003,3886,63397,2483,65880,New England and North West
111,11877,48055,46962,13671,6088,126653,4256,130909,Newcastle and Lake Macquarie
112,6662,35750,31259,8588,3537,85796,3064,88860,Richmond - Tweed
113,3914,18536,20352,6610,3365,52777,2063,54840,Riverina
114,3196,21059,18836,5353,2448,50892,1684,52576,Southern Highlands and Shoalhaven
115,1697,15213,29736,11002,6710,64358,1119,65477,Sydney - Baulkham Hills and Hawkesbury
116,8595,33401,34719,10263,4342,91320,3150,94470,Sydney - Blacktown
117,35352,49091,17231,2777,1012,105463,3425,108888,Sydney - City and Inner South
118,17487,42344,25276,4988,1847,91942,3059,95001,Sydney - Eastern Suburbs
119,22668,70259,53743,15136,6747,168553,6293,174846,Sydney - Inner South West
120,14598,44089,27834,5841,2249,94611,2550,97161,Sydney - Inner West
121,14639,59252,46821,10908,4116,135736,2640,138376,Sydney - North Sydney and Hornsby
122,6650,31436,33324,8345,3728,83483,2064,85547,Sydney - Northern Beaches
123,5378,24522,28574,9892,5292,73658,2307,75965,Sydney - Outer South West
