SA4_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,SA4_NAME11
101,17556,10551,5304,1954,93116,Capital Region
102,21721,14808,9932,4351,136735,Central Coast
103,13426,8119,4499,1497,80351,Central West
104,11148,6524,3766,1507,56066,Coffs Harbour - Grafton
105,6805,4067,2447,845,43164,Far West and Orana
106,16152,9782,5105,1721,100522,Hunter Valley exc Newcastle
107,18813,10807,6722,2306,123540,Illawarra
108,16737,12329,7609,2981,86338,Mid North Coast
109,7451,4670,2777,1154,45053,Murray
110,11933,7363,3884,1437,69916,New England and North West
111,24674,15097,9406,3846,156771,Newcastle and Lake Macquarie
112,19112,10638,6749,2738,100150,Richmond - Tweed
113,8932,5032,2929,1116,58683,Riverina
114,11932,9180,5295,1857,63447,Southern Highlands and Shoalhaven
115,17739,8766,3535,1648,103862,Sydney - Baulkham Hills and Hawkesbury
116,14954,6674,3189,988,121573,Sydney - Blacktown
117,14597,7227,3559,1293,164801,Sydney - City and Inner South
118,17285,10077,5757,2858,148929,Sydney - Eastern Suburbs
119,26197,14756,9940,4495,226254,Sydney - Inner South West
120,17684,8418,4890,2351,146324,Sydney - Inner West
121,32318,19246,10505,4995,219665,Sydney - North Sydney and Hornsby
122,18044,11559,6419,3385,127215,Sydney - Northern Beaches
123,14126,6161,2752,1058,94337,Sydney - Outer South West
124,20017,9694,4592,1819,123907,Sydney - Outer West and Blue Mountains
125,19402,10708,6347,2605,178001,Sydney - Parramatta
126,12513,6751,4351,2253,89037,Sydney - Ryde
127,15544,7707,3932,1204,126429,Sydney - South West
128,16454,8884,5422,2123,105348,Sydney - Sutherland
197,10,16,13,0,66,Migratory - Offshore - Shipping (NSW)
199,1017,562,137,71,7322,Special Purpose Codes SA4 (NSW)
201,10548,6284,3438,1340,62386,Ballarat
202,10575,6244,3535,1546,61174,Bendigo
203,17644,10650,6494,2627,112620,Geelong
204,12335,7200,3954,1494,67532,Hume
205,19466,12305,6639,2282,107382,Latrobe - Gippsland
206,29759,14683,7705,3334,304180,Melbourne - Inner
207,26421,16429,10168,5020,182261,Melbourne - Inner East
208,28148,15449,10243,5557,198185,Melbourne - Inner South
209,24989,12678,7085,3156,193594,Melbourne - North East
210,15141,8674,5333,1880,125199,Melbourne - North West
