SA4_MAIN11,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot,SA4_NAME11
101,95,86,1137,1004,358,1999,132,1170,109,6090,385,554,1772,1060,988,921,312,903,107,7002,1719,2820,2685,1659,2201,1133,900,1535,297,14949,3595,3975,3027,2398,3436,1461,1253,1828,401,21374,4328,4458,3026,2537,3827,1572,1616,2329,466,24159,3418,3256,1823,1426,2404,1113,1199,1687,293,16619,1250,599,335,177,442,240,265,352,96,3756,367,86,26,8,35,23,18,41,41,645,38,4,3,0,0,0,0,6,18,69,15195,15838,13834,10269,13691,8462,5695,9851,1828,94663,Capital Region
102,155,143,1305,1251,476,3340,201,1865,134,8870,586,1264,2719,1983,1344,2140,511,1401,155,12103,2387,4849,4441,2714,3189,2045,1358,2064,374,23421,3959,5957,4650,3444,4695,2393,1836,2631,494,30059,4174,6255,4456,3470,5282,2730,2231,3105,490,32193,2448,4136,2640,1955,3485,1717,1556,1982,375,20294,535,770,365,241,624,339,327,354,112,3667,58,91,32,17,46,30,18,28,38,358,8,3,3,0,0,3,0,3,26,46,14310,23468,20611,15075,19141,14737,8038,13433,2198,131011,Central Coast
103,118,106,1080,724,270,1790,167,1134,100,5489,389,729,1892,1085,725,1013,638,970,101,7542,1585,2687,2764,1460,1706,1121,1584,1510,215,14632,2741,3317,2651,1887,2512,1227,1955,1894,288,18472,3545,3369,2562,1892,2863,1236,2089,2430,300,20286,3143,2545,1593,1165,1850,821,1385,1699,253,14454,1649,502,272,192,365,194,320,340,100,3934,517,42,31,9,37,24,24,44,38,766,55,3,3,3,5,0,5,0,13,87,13742,13300,12848,8417,10333,7426,8167,10021,1408,85662,Central West
104,82,32,544,501,144,1399,85,773,79,3639,227,287,805,593,348,597,163,544,42,3606,731,1287,1331,927,930,762,431,862,93,7354,1405,2146,1521,1398,1573,931,664,1183,173,10994,1825,2556,1676,1780,2052,1124,860,1572,183,13628,1489,1958,1112,934,1369,733,699,1077,146,9517,450,251,133,97,183,107,142,146,38,1547,112,21,13,6,10,13,7,22,28,232,7,3,0,0,3,0,0,3,7,23,6328,8541,7135,6236,6612,5666,3051,6182,789,50540,Coffs Harbour - Grafton
105,74,44,604,366,150,940,104,688,72,3042,266,475,853,593,402,482,270,606,58,4005,1007,1812,1354,1061,894,635,650,908,112,8433,1734,1700,1209,1296,1361,651,917,1026,157,10051,2407,1725,1268,1353,1568,777,1025,1333,187,11643,1941,1231,845,722,982,472,807,965,150,8115,940,233,183,141,219,106,178,226,63,2289,308,20,24,12,19,13,18,26,22,462,46,3,0,0,0,0,0,0,0,49,8723,7243,6340,5544,5595,4076,3969,5778,821,48089,Far West and Orana
106,124,111,1588,993,439,2535,205,1722,133,7850,450,825,2935,1434,1125,1351,794,1330,150,10394,1669,3155,4602,1952,2459,1521,2791,2130,278,20557,2891,3679,4412,2330,3470,1712,3333,2368,430,24625,3220,3782,3977,2336,3515,1696,3328,2712,411,24977,2277,2590,2116,1178,2161,1034,2289,1699,242,15586,721,476,284,137,344,197,304,296,84,2843,189,47,31,10,32,16,10,31,41,407,25,0,3,0,6,0,0,0,13,47,11566,14665,19948,10370,13551,10062,13054,12288,1782,107286,Hunter Valley exc Newcastle
107,115,239,1336,1276,464,2413,171,1419,124,7557,542,1710,2511,2270,1422,1879,540,1129,214,12217,2118,5915,4274,2712,3245,1819,1717,1793,324,23917,3294,6111,4101,3008,4412,2010,2294,2161,402,27793,3539,6168,4112,2935,4484,1957,2509,2662,463,28829,1920,3911,2230,1346,2498,992,1673,1544,254,16368,327,573,287,156,345,177,229,248,92,2434,64,54,19,18,25,22,15,23,48,288,6,4,3,0,0,0,0,0,9,22,11925,24685,18873,13721,16895,11269,9148,10979,1930,119425,Illawarra
108,90,51,731,673,199,1904,102,1014,103,4867,235,417,1126,700,400,793,222,689,50,4632,886,1676,1904,1254,1189,1032,604,1164,125,9834,1944,2858,2259,2008,2151,1338,1012,1622,198,15390,2499,3588,2548,2551,2814,1657,1321,2319,261,19558,2133,2674,1683,1332,1926,1124,1015,1611,211,13709,849,436,258,162,366,174,213,298,84,2840,210,62,20,6,39,17,8,30,38,430,24,0,3,3,6,0,0,4,4,44,8870,11762,10532,8689,9090,8039,4497,8751,1074,71304,Mid North Coast
109,77,49,642,433,173,1109,79,692,69,3323,269,401,1074,627,383,576,219,568,52,4169,1127,1718,1513,857,904,627,588,887,123,8344,1942,1705,1370,1081,1452,726,870,1147,156,10449,2375,1959,1474,1103,1701,804,1056,1490,171,12133,1916,1368,890,721,1137,591,917,1172,155,8867,789,275,169,113,239,112,196,221,71,2185,220,32,18,3,15,20,5,29,33,375,30,3,0,0,0,0,0,6,7,46,8745,7510,7150,4938,6004,4565,3930,6212,837,49891,Murray
110,109,90,809,580,229,1704,184,1115,113,4933,392,640,1353,855,619,855,402,1078,66,6260,1537,2314,2122,1256,1475,1046,948,1727,192,12617,2818,2822,1942,1615,2102,1176,1216,1868,261,15820,3493,3145,2035,1732,2495,1211,1523,2263,264,18161,3248,2310,1361,1035,1614,759,1159,1577,221,13284,1577,443,275,155,357,183,264,357,105,3716,455,44,31,7,48,18,20,52,39,714,52,0,4,3,6,0,0,5,9,79,13681,11808,9932,7238,8945,6952,5716,10042,1270,75584,New England and North West
